date,open,high,low,close,volume
2020-10-20,32.095,37.099,31.716,35.107,0.0
2020-10-21,35.087,39.748,33.509,37.948,0.0
2020-10-22,37.892,42.698,37.043,41.428,0.0
2020-10-23,41.441,42.389,38.618,39.397,0.0
2020-10-24,39.42,40.953,37.243,37.866,0.0
2020-10-25,37.859,39.212,35.018,35.958,0.0
2020-10-26,35.96,39.0,34.356,34.933,0.0
2020-10-27,34.924,35.811,31.963,32.43,0.0
2020-10-28,32.451,33.263,28.101,29.236,0.0
2020-10-29,29.222,31.99,27.73,31.055,0.0
2020-10-30,31.06,32.9,29.524,29.696,0.0
2020-10-31,29.691,30.99,28.47,30.727,0.0
2020-11-01,30.732,34.175,29.117,29.672,0.0
2020-11-02,29.672,30.085,27.323,28.105,0.0
2020-11-03,28.11,28.504,25.97,27.689,0.0
2020-11-04,27.694,32.275,25.887,30.895,0.0
2020-11-05,30.875,40.95,30.746,38.546,0.0
2020-11-06,38.554,52.18,38.327,44.476,0.0
2020-11-07,44.435,54.794,42.511,53.852,0.0
2020-11-08,53.86,59.08,49.303,55.204,0.0
2020-11-09,55.237,71.0,52.88,66.989,0.0
2020-11-10,66.942,69.1,53.458,54.523,0.0
2020-11-11,54.598,59.95,50.5,51.854,0.0
2020-11-12,51.936,66.333,51.176,63.551,0.0
2020-11-13,63.536,68.98,57.818,66.796,0.0
2020-11-14,66.849,71.25,59.35,64.244,0.0
2020-11-15,64.262,74.637,60.9,73.052,0.0
2020-11-16,73.045,80.32,68.75,79.463,0.0
2020-11-17,79.493,80.562,67.2,75.395,0.0
2020-11-18,75.398,81.739,70.32,76.429,0.0
2020-11-19,76.425,83.016,74.5,75.134,0.0
2020-11-20,75.187,77.45,68.015,70.838,0.0
2020-11-21,70.84,75.14,63.0,68.899,0.0
2020-11-22,68.879,74.442,65.733,72.671,0.0
2020-11-23,72.737,75.88,66.23,66.843,0.0
2020-11-24,66.896,68.033,59.208,61.67,0.0
2020-11-25,61.712,65.326,47.343,64.339,0.0
2020-11-26,64.393,69.31,56.153,60.843,0.0
2020-11-27,60.897,66.406,58.786,63.795,0.0
2020-11-28,63.827,69.9,61.646,68.978,0.0
2020-11-29,68.991,80.0,68.984,76.146,0.0
2020-11-30,76.197,79.236,69.0,74.215,0.0
2020-12-01,74.126,91.041,71.752,86.714,0.0
2020-12-02,86.674,94.49,83.0,91.64,0.0
2020-12-03,91.656,92.954,79.21,80.843,0.0
2020-12-04,80.774,92.9,79.5,92.77,0.0
2020-12-05,92.715,93.154,84.65,87.92,0.0
2020-12-06,87.956,95.619,86.778,90.815,0.0
2020-12-07,90.833,91.311,77.995,80.198,0.0
2020-12-08,80.186,86.5,75.03,82.56,0.0
2020-12-09,82.561,83.09,75.766,76.542,0.0
2020-12-10,76.612,79.0,70.724,74.792,0.0
2020-12-11,74.814,80.3,74.628,77.859,0.0
2020-12-12,77.856,85.0,76.648,83.96,0.0
2020-12-13,83.908,91.974,79.828,86.423,0.0
2020-12-14,86.511,89.105,84.3,87.15,0.0
2020-12-15,87.188,89.94,80.159,87.618,0.0
2020-12-16,87.589,90.627,82.869,85.077,0.0
2020-12-17,85.093,90.557,81.807,90.435,0.0
2020-12-18,90.484,96.463,88.017,89.093,0.0
2020-12-19,89.043,90.285,83.766,85.767,0.0
2020-12-20,85.782,88.101,77.523,80.842,0.0
2020-12-21,80.86,86.321,75.628,84.345,0.0
