date,open,high,low,close,volume
2021-01-25,0.34309,0.35131,0.3227,0.34387,0.0
2021-01-26,0.34386,0.34441,0.30432,0.31143,0.0
2021-01-27,0.31141,0.356,0.30435,0.3443,0.0
2021-01-28,0.34424,0.36972,0.3305,0.34787,0.0
2021-01-29,0.34788,0.3782,0.33715,0.36452,0.0
2021-01-30,0.36451,0.37798,0.33847,0.34505,0.0
2021-01-31,0.34519,0.4262,0.33127,0.40983,0.0
2021-02-01,0.40984,0.45588,0.38926,0.42559,0.0
2021-02-02,0.42571,0.45065,0.41562,0.44273,0.0
2021-02-03,0.44273,0.45165,0.4099,0.44037,0.0
2021-02-04,0.44037,0.56117,0.43737,0.53929,0.0
2021-02-05,0.53905,0.66801,0.52006,0.63596,0.0
2021-02-06,0.63599,0.71043,0.579,0.66126,0.0
2021-02-07,0.66088,0.72735,0.63147,0.67672,0.0
2021-02-08,0.67708,0.71467,0.65773,0.70682,0.0
2021-02-09,0.70673,0.96,0.70673,0.943,0.0
2021-02-10,0.943,0.99398,0.86569,0.93026,0.0
2021-02-11,0.93021,0.95103,0.868,0.92426,0.0
2021-02-12,0.92462,0.9563,0.79888,0.91496,0.0
2021-02-13,0.91496,0.92276,0.80781,0.84508,0.0
2021-02-14,0.84499,0.91198,0.68222,0.86003,0.0
2021-02-15,0.86056,0.90676,0.83276,0.87,0.0
2021-02-16,0.87012,0.90248,0.82112,0.89407,0.0
2021-02-17,0.89407,0.96222,0.89388,0.9158,0.0
2021-02-18,0.91578,0.9505,0.8777,0.92743,0.0
2021-02-19,0.92743,1.2025,0.9155,1.11542,0.0
2021-02-20,1.11541,1.15399,1.06665,1.10047,0.0
2021-02-21,1.10075,1.14621,0.80566,1.09729,0.0
2021-02-22,1.09732,1.145,0.80364,0.96177,0.0
2021-02-23,0.96144,1.07717,0.89722,1.04891,0.0
2021-02-24,1.0487,1.1799,1.01118,1.07694,0.0
2021-02-25,1.07638,1.3006,0.98678,1.24484,0.0
2021-02-26,1.24483,1.486,1.228,1.31376,0.0
2021-02-27,1.31406,1.36312,1.15415,1.3132,0.0
2021-02-28,1.31367,1.35,1.23151,1.298,0.0
2021-03-01,1.29823,1.30159,1.1801,1.22294,0.0
2021-03-02,1.22288,1.26997,1.20786,1.21399,0.0
2021-03-03,1.21411,1.23255,1.067,1.11288,0.0
2021-03-04,1.1129,1.19663,1.03237,1.15845,0.0
2021-03-05,1.15842,1.18225,1.08475,1.12936,0.0
2021-03-06,1.12927,1.14619,1.10499,1.13081,0.0
2021-03-07,1.13111,1.17994,1.10468,1.1204,0.0
2021-03-08,1.12029,1.222,1.11268,1.19879,0.0
2021-03-09,1.19886,1.21161,1.11065,1.13289,0.0
2021-03-10,1.13293,1.14079,1.11,1.12587,0.0
2021-03-11,1.12587,1.13094,1.01823,1.03356,0.0
2021-03-12,1.03371,1.19321,0.98427,1.10128,0.0
2021-03-13,1.10127,1.10509,1.05305,1.05358,0.0
2021-03-14,1.05358,1.07405,1.0,1.03161,0.0
2021-03-15,1.0315,1.28,1.001,1.25166,0.0
2021-03-16,1.25197,1.43928,1.2057,1.3803,0.0
2021-03-17,1.3803,1.48098,1.161,1.23068,0.0
2021-03-18,1.23016,1.3439,1.18,1.29577,0.0
2021-03-19,1.29584,1.31155,1.20032,1.20201,0.0
2021-03-20,1.2022,1.24287,1.16131,1.18788,0.0
2021-03-21,1.18786,1.21007,1.058,1.10267,0.0
2021-03-22,1.10266,1.17444,1.08205,1.11709,0.0
2021-03-23,1.11697,1.16623,1.02807,1.06886,0.0
2021-03-24,1.0689,1.15514,1.04549,1.09694,0.0
2021-03-25,1.09669,1.28948,1.096,1.21608,0.0
2021-03-26,1.21608,1.24119,1.158,1.17727,0.0
2021-03-27,1.17725,1.22077,1.16771,1.19102,0.0
2021-03-28,1.19111,1.23135,1.18005,1.20366,0.0
2021-03-29,1.20366,1.23964,1.191,1.21415,0.0
2021-03-30,1.21422,1.21607,1.14534,1.19364,0.0
2021-03-31,1.19365,1.21153,1.17318,1.18623,0.0
2021-04-01,1.18625,1.2472,1.183,1.19283,0.0
2021-04-02,1.19292,1.24576,1.16008,1.16378,0.0
2021-04-03,1.16379,1.19593,1.15114,1.18403,0.0
2021-04-04,1.18404,1.23084,1.164,1.214,0.0
2021-04-05,1.21422,1.3461,1.19092,1.25529,0.0
2021-04-06,1.25529,1.29326,1.15858,1.17391,0.0
2021-04-07,1.17414,1.22774,1.17148,1.2203,0.0
2021-04-08,1.2203,1.2314,1.1922,1.20364,0.0
2021-04-09,1.20362,1.25456,1.19619,1.21892,0.0
2021-04-10,1.21899,1.29319,1.20106,1.26757,0.0
2021-04-11,1.26757,1.35201,1.26363,1.31676,0.0
2021-04-12,1.31698,1.44532,1.285,1.41587,0.0
2021-04-13,1.41588,1.5669,1.33383,1.45412,0.0
2021-04-14,1.45443,1.50173,1.41224,1.48103,0.0
2021-04-15,1.48077,1.526,1.32515,1.41272,0.0
2021-04-16,1.41283,1.462,1.35853,1.3704,0.0
2021-04-17,1.37042,1.38554,1.04066,1.27744,0.0
2021-04-18,1.27744,1.32539,1.17041,1.1949,0.0
2021-04-19,1.19494,1.28359,1.12,1.26764,0.0
2021-04-20,1.26748,1.28792,1.19772,1.20426,0.0
2021-04-21,1.20441,1.28336,1.11403,1.14487,0.0
2021-04-22,1.14485,1.16894,0.90494,1.15866,0.0
2021-04-23,1.15898,1.19828,1.09395,1.10326,0.0
2021-04-24,1.1033,1.14767,1.02005,1.09093,0.0
2021-04-25,1.09086,1.25313,1.07916,1.23816,0.0
2021-04-26,1.23814,1.33592,1.22438,1.30745,0.0
2021-04-27,1.30744,1.35101,1.23456,1.33871,0.0
2021-04-28,1.33871,1.41392,1.26743,1.30785,0.0
2021-04-29,1.30785,1.37113,1.288,1.35455,0.0
2021-04-30,1.35455,1.36996,1.31385,1.35357,0.0
2021-05-01,1.35357,1.3575,1.295,1.32811,0.0
2021-05-02,1.32816,1.38351,1.32217,1.36372,0.0
2021-05-03,1.36373,1.36959,1.25526,1.27048,0.0
2021-05-04,1.27055,1.498,1.25941,1.48206,0.0
2021-05-05,1.48234,1.70441,1.43114,1.6518,0.0
2021-05-06,1.65181,1.7522,1.52537,1.65339,0.0
2021-05-07,1.65343,1.65565,1.56243,1.62207,0.0
2021-05-08,1.62207,1.8365,1.57353,1.76859,0.0
2021-05-09,1.76836,1.82646,1.51077,1.6419,0.0
2021-05-10,1.64248,1.7812,1.59509,1.7631,0.0
2021-05-11,1.7633,1.823,1.54,1.5664,0.0
2021-05-12,1.5666,1.9731,1.4937,1.9292,0.0
2021-05-13,1.9297,2.0452,1.8135,2.0101,0.0
2021-05-14,2.0101,2.381,1.965,2.1756,0.0
2021-05-15,2.1754,2.4705,2.0141,2.301,0.0
2021-05-16,2.301,2.33,1.92,2.0316,0.0
2021-05-17,2.0309,2.1493,1.9735,2.0046,0.0
2021-05-18,2.0045,2.0303,1.0,1.4655,0.0
2021-05-19,1.4665,1.9453,1.3142,1.7998,0.0
2021-05-20,1.7999,1.8698,1.3197,1.5474,0.0
2021-05-21,1.5473,1.6025,1.3656,1.4625,0.0
2021-05-22,1.4629,1.5399,1.05,1.3145,0.0
2021-05-23,1.3136,1.5963,1.257,1.5483,0.0
2021-05-24,1.5481,1.6503,1.4346,1.5528,0.0
2021-05-25,1.5529,1.8316,1.552,1.778,0.0
2021-05-26,1.778,1.7889,1.6075,1.6549,0.0
2021-05-27,1.6547,1.6764,1.45,1.5144,0.0
2021-05-28,1.5143,1.5639,1.3341,1.401,0.0
2021-05-29,1.401,1.6993,1.3447,1.5754,0.0
2021-05-30,1.5755,1.75,1.525,1.7369,0.0
2021-05-31,1.7369,1.7796,1.6527,1.7366,0.0
2021-06-01,1.7367,1.8048,1.7171,1.7532,0.0
2021-06-02,1.7532,1.8907,1.7123,1.8456,0.0
2021-06-03,1.8455,1.8496,1.6088,1.7085,0.0
2021-06-04,1.7086,1.782,1.6097,1.6556,0.0
2021-06-05,1.6556,1.7081,1.645,1.6765,0.0
2021-06-06,1.6765,1.7409,1.5487,1.5658,0.0
2021-06-07,1.5658,1.5957,1.4,1.5811,0.0
2021-06-08,1.5809,1.6358,1.4824,1.628,0.0
2021-06-09,1.628,1.6374,1.5063,1.5331,0.0
2021-06-10,1.533,1.5479,1.4172,1.4363,0.0
2021-06-11,1.4366,1.492,1.356,1.4783,0.0
2021-06-12,1.4781,1.5791,1.3995,1.5561,0.0
2021-06-13,1.5562,1.5943,1.5052,1.5758,0.0
2021-06-14,1.5757,1.6105,1.5435,1.5548,0.0
2021-06-15,1.5548,1.5759,1.4734,1.4845,0.0
2021-06-16,1.4844,1.5385,1.4554,1.481,0.0
2021-06-17,1.481,1.4928,1.373,1.4154,0.0
2021-06-18,1.4152,1.4406,1.3821,1.3829,0.0
2021-06-19,1.3829,1.4595,1.3052,1.4264,0.0
2021-06-20,1.4264,1.4371,1.1661,1.1731,0.0
2021-06-21,1.1733,1.2626,1.0,1.1562,0.0
2021-06-22,1.1563,1.3089,1.107,1.25,0.0
2021-06-23,1.25,1.3987,1.199,1.3598,0.0
2021-06-24,1.3598,1.3963,1.2426,1.251,0.0
2021-06-25,1.2509,1.2915,1.196,1.2504,0.0
2021-06-26,1.2503,1.3498,1.2405,1.3371,0.0
2021-06-27,1.3373,1.35,1.3033,1.3256,0.0
2021-06-28,1.3255,1.4198,1.318,1.3729,0.0
2021-06-29,1.373,1.398,1.2795,1.3851,0.0
2021-06-30,1.3852,1.3861,1.3015,1.3307,0.0
2021-07-01,1.3306,1.3954,1.2836,1.3941,0.0
2021-07-02,1.3941,1.4445,1.3568,1.4037,0.0
2021-07-03,1.4036,1.495,1.3802,1.4609,0.0
2021-07-04,1.4609,1.4609,1.3746,1.4024,0.0
2021-07-05,1.4027,1.4575,1.3871,1.4145,0.0
2021-07-06,1.4145,1.4407,1.3982,1.403,0.0
2021-07-07,1.4031,1.4055,1.3184,1.3266,0.0
2021-07-08,1.3267,1.3742,1.285,1.3501,0.0
2021-07-09,1.3501,1.3657,1.3165,1.3356,0.0
2021-07-10,1.3356,1.3666,1.3224,1.3475,0.0
2021-07-11,1.3475,1.3735,1.291,1.3116,0.0
2021-07-12,1.3115,1.3216,1.2486,1.2644,0.0
2021-07-13,1.2644,1.2887,1.1968,1.263,0.0
2021-07-14,1.263,1.29,1.205,1.2253,0.0
2021-07-15,1.2254,1.2447,1.1647,1.1703,0.0
2021-07-16,1.1701,1.1944,1.1486,1.1713,0.0
2021-07-17,1.1714,1.2178,1.166,1.1808,0.0
2021-07-18,1.1808,1.1919,1.115,1.1214,0.0
2021-07-19,1.1214,1.1355,1.02,1.0534,0.0
2021-07-20,1.0532,1.2217,1.0356,1.1705,0.0
2021-07-21,1.1705,1.2077,1.1481,1.1851,0.0
2021-07-22,1.1852,1.2084,1.1458,1.2077,0.0
2021-07-23,1.2076,1.2489,1.1957,1.2324,0.0
2021-07-24,1.2325,1.2387,1.1901,1.2274,0.0
2021-07-25,1.2273,1.3995,1.2211,1.2547,0.0
2021-07-26,1.2548,1.315,1.2123,1.279,0.0
2021-07-27,1.279,1.3174,1.256,1.2871,0.0
