date,open,high,low,close,volume
2024-12-19,0.2585,0.36852,0.2585,0.32062,0.0
2024-12-20,0.32105,0.37997,0.29355,0.30318,0.0
2024-12-21,0.30322,0.31421,0.26532,0.27335,0.0
2024-12-22,0.27338,0.33775,0.26193,0.33174,0.0
2024-12-23,0.33167,0.34592,0.303,0.30687,0.0
2024-12-24,0.30687,0.36035,0.3,0.35577,0.0
2024-12-25,0.35578,0.3798,0.338,0.35477,0.0
2024-12-26,0.35495,0.3917,0.31188,0.36155,0.0
2024-12-27,0.36154,0.426,0.3454,0.41402,0.0
2024-12-28,0.41397,0.52742,0.403,0.50165,0.0
2024-12-29,0.50154,0.56799,0.47431,0.53274,0.0
2024-12-30,0.53281,0.66562,0.51004,0.60238,0.0
2024-12-31,0.65237,0.65833,0.50426,0.57628,23862748.0
2025-01-01,0.5763,0.66672,0.48613,0.51222,32017744.0
2025-01-02,0.51207,0.55131,0.47758,0.51662,30136984.0
2025-01-03,0.51651,0.53985,0.46136,0.51092,22422457.0
2025-01-04,0.51162,0.54852,0.48568,0.49247,14978217.0
2025-01-05,0.49518,0.60728,0.48235,0.5502,19459316.0
2025-01-06,0.54737,0.56208,0.47073,0.47581,20327657.0
2025-01-07,0.47576,0.4772,0.3853,0.43727,21314706.0
2025-01-08,0.43552,0.47569,0.38198,0.3936,21863817.0
2025-01-09,0.39476,0.602,0.38905,0.50566,69260010.0
2025-01-10,0.50592,0.53537,0.4378,0.49715,27491394.0
2025-01-11,0.49735,0.51694,0.445,0.4522,15535603.0
2025-01-12,0.45203,0.47435,0.36588,0.43013,30254125.0
2025-01-13,0.43055,0.6701,0.4213,0.6406,53760730.0
2025-01-14,0.63909,0.96323,0.61591,0.87326,78725984.0
2025-01-15,0.87421,0.95202,0.7601,0.81039,40446914.0
2025-01-16,0.81069,0.84294,0.73037,0.76989,21217293.0
2025-01-17,0.77002,0.77002,0.62793,0.7355,28732022.0
2025-01-18,0.73462,0.86357,0.65569,0.66478,47146399.0
2025-01-19,0.66462,0.73446,0.58971,0.72689,30211649.0
2025-01-20,0.72371,0.75657,0.59124,0.66195,24998000.0
2025-01-21,0.66136,0.88959,0.64451,0.7477,41909985.0
2025-01-22,0.74711,0.78657,0.67644,0.70175,37706957.0
2025-01-23,0.70275,0.73696,0.64144,0.65475,22551312.0
2025-01-24,0.65477,0.67356,0.61924,0.64983,11274177.0
2025-01-25,0.64952,0.66893,0.56941,0.57353,9502217.0
2025-01-26,0.57338,0.58581,0.46934,0.53167,35139620.0
2025-01-27,0.53206,0.55941,0.42312,0.43139,17924207.0
2025-01-28,0.43144,0.52278,0.42905,0.45855,23355877.0
2025-01-29,0.4585,0.54382,0.44103,0.46967,30340445.0
2025-01-30,0.46941,0.50558,0.43805,0.44014,20365453.0
2025-01-31,0.43805,0.45108,0.33899,0.33899,23043012.0
2025-02-01,0.33901,0.36665,0.28793,0.31002,33397068.0
2025-02-02,0.31037,0.39021,0.22914,0.36144,74334592.0
2025-02-03,0.36129,0.36129,0.29464,0.31372,26301143.0
2025-02-04,0.31466,0.33405,0.29,0.2965,17332700.0
2025-02-05,0.29788,0.30719,0.24043,0.24345,23059441.0
2025-02-06,0.24314,0.30355,0.2307,0.23794,34141900.0
2025-02-07,0.23794,0.26339,0.23536,0.25497,12035607.0
2025-02-08,0.2554,0.27447,0.21645,0.22767,15454566.0
2025-02-09,0.22886,0.31608,0.2212,0.25551,36311572.0
2025-02-10,0.25529,0.31714,0.25528,0.26215,42164341.0
2025-02-11,0.26215,0.268,0.22065,0.25819,24239024.0
2025-02-12,0.25881,0.27391,0.22971,0.23543,19926909.0
2025-02-13,0.23523,0.27059,0.23217,0.24297,33537291.0
2025-02-14,0.24302,0.24698,0.20943,0.21413,16936049.0
2025-02-15,0.21422,0.22596,0.20914,0.21755,15099320.0
2025-02-16,0.2176,0.22821,0.1928,0.2005,21551113.0
2025-02-17,0.20013,0.20395,0.16645,0.18188,16919463.0
2025-02-18,0.18188,0.1855,0.1727,0.17816,12467343.0
2025-02-19,0.17877,0.19834,0.17498,0.19274,24920247.0
2025-02-20,0.19282,0.23734,0.18361,0.19766,46609762.0
2025-02-21,0.19757,0.22686,0.19441,0.2175,21792772.0
2025-02-22,0.21799,0.22044,0.1977,0.20805,13037106.0
2025-02-23,0.20806,0.22465,0.17198,0.17407,24037092.0
2025-02-24,0.17407,0.20591,0.1588,0.19371,34838599.0
2025-02-25,0.19382,0.2159,0.18916,0.21262,21171752.0
2025-02-26,0.21286,0.2262,0.1984,0.19937,15398923.0
2025-02-27,0.19993,0.21612,0.18064,0.20724,15946939.0
2025-02-28,0.20807,0.21386,0.18596,0.1907,7389572.0
2025-03-01,0.1906,0.23366,0.19034,0.22783,12453006.0
2025-03-02,0.228,0.23185,0.17515,0.17824,20928608.0
2025-03-03,0.17833,0.1805,0.15382,0.1666,27355878.0
2025-03-04,0.16677,0.17239,0.15054,0.15567,11871674.0
2025-03-05,0.15577,0.15695,0.13763,0.13853,21442545.0
2025-03-06,0.13885,0.14283,0.12944,0.13129,15035483.0
2025-03-07,0.13096,0.13574,0.11587,0.11825,7823380.0
2025-03-08,0.1188,0.12439,0.10768,0.10955,14093873.0
2025-03-09,0.10975,0.1173,0.10094,0.10434,14234694.0
2025-03-10,0.10474,0.11074,0.093927,0.10538,44015609.0
2025-03-11,0.10556,0.10839,0.09821,0.10746,18477969.0
2025-03-12,0.10757,0.11642,0.10482,0.11088,13515899.0
2025-03-13,0.11078,0.12392,0.11078,0.11373,13904194.0
2025-03-14,0.11391,0.12337,0.11144,0.11812,11931338.0
2025-03-15,0.11814,0.13442,0.11275,0.11397,31828597.0
2025-03-16,0.11414,0.12255,0.11381,0.11631,11654436.0
2025-03-17,0.11635,0.11635,0.093059,0.097669,25686604.0
2025-03-18,0.09765,0.10625,0.09427,0.10564,32578965.0
2025-03-19,0.10569,0.10718,0.10011,0.10447,11068327.0
2025-03-20,0.1046,0.10666,0.098744,0.10267,7975150.0
2025-03-21,0.10282,0.10722,0.10048,0.103,5833635.0
2025-03-22,0.10293,0.10666,0.099455,0.10532,3804969.0
2025-03-23,0.10537,0.13898,0.10157,0.11798,24884225.0
2025-03-24,0.11794,0.1275,0.1151,0.12246,19822200.0
2025-03-25,0.12248,0.13273,0.1184,0.12196,30560219.0
2025-03-26,0.12198,0.1443,0.12033,0.12799,36479464.0
2025-03-27,0.12827,0.13407,0.11219,0.11655,20237840.0
2025-03-28,0.11644,0.11757,0.10261,0.10408,14635287.0
2025-03-29,0.10406,0.10992,0.10236,0.10665,9967752.0
2025-03-30,0.10695,0.11295,0.10277,0.10514,10413040.0
2025-03-31,0.10516,0.1156,0.10316,0.10435,12761878.0
2025-04-01,0.1037,0.10439,0.076931,0.079561,60125670.0
2025-04-02,0.079806,0.085194,0.075086,0.080545,28985224.0
2025-04-03,0.08073,0.086813,0.078179,0.083622,33496534.0
2025-04-04,0.083845,0.084872,0.078881,0.081377,6165883.0
2025-04-05,0.081258,0.081258,0.068283,0.07124,20075198.0
2025-04-06,0.071291,0.08,0.066874,0.075885,32574334.0
2025-04-07,0.075951,0.078756,0.068258,0.068579,14165100.0
2025-04-08,0.068686,0.081412,0.065813,0.079758,13314698.0
2025-04-09,0.079748,0.079831,0.072958,0.076946,11045377.0
2025-04-10,0.076778,0.084497,0.075831,0.080671,16101369.0
2025-04-11,0.080645,0.090461,0.077455,0.089738,20082249.0
2025-04-12,0.08985,0.093796,0.080876,0.083332,38687222.0
2025-04-13,0.083185,0.087484,0.078881,0.079673,32519485.0
2025-04-14,0.079871,0.083706,0.075861,0.076535,14731541.0
2025-04-15,0.076544,0.079306,0.073159,0.075439,7954883.0
2025-04-16,0.075379,0.078297,0.072464,0.07554,8352971.0
2025-04-17,0.075777,0.0807,0.074836,0.077816,14796071.0
2025-04-18,0.077374,0.084555,0.076776,0.08347,6037454.0
2025-04-19,0.081242,0.085481,0.080857,0.084087,5437059.0
2025-04-20,0.083937,0.088485,0.082288,0.082989,6646744.0
2025-04-21,0.083029,0.10083,0.080884,0.10023,19116122.0
2025-04-22,0.10026,0.13568,0.10026,0.11203,80170763.0
