date,open,high,low,close,volume
2020-09-22,3.93,4.6092,3.3778,3.5136,0.0
2020-09-23,3.5123,4.86,3.4171,4.6133,0.0
2020-09-24,4.6129,5.0295,4.189,4.6867,0.0
2020-09-25,4.6892,4.8025,4.3459,4.5203,0.0
2020-09-26,4.5244,4.7,4.0976,4.6391,0.0
2020-09-27,4.6383,4.687,4.15,4.1955,0.0
2020-09-28,4.195,4.2786,3.95,4.1314,0.0
2020-09-29,4.1334,4.3976,3.99,4.321,0.0
2020-09-30,4.3246,4.5269,4.0,4.1477,0.0
2020-10-01,4.1471,4.2137,3.6414,3.8972,0.0
2020-10-02,3.8952,4.1864,3.8554,4.0169,0.0
2020-10-03,4.0102,4.0691,3.8143,3.9608,0.0
2020-10-04,3.956,4.0456,3.8675,3.976,0.0
2020-10-05,3.978,3.9928,3.48,3.5338,0.0
2020-10-06,3.536,3.5397,3.1893,3.4413,0.0
2020-10-07,3.4445,3.9534,3.3088,3.9034,0.0
2020-10-08,3.9024,4.3209,3.7964,4.2356,0.0
2020-10-09,4.2327,4.2689,3.9765,4.0142,0.0
2020-10-10,4.0143,4.1896,3.9279,4.0924,0.0
2020-10-11,4.0917,4.6939,4.0503,4.4123,0.0
2020-10-12,4.4137,4.5481,4.3252,4.4774,0.0
2020-10-13,4.4785,4.4879,4.0105,4.1513,0.0
2020-10-14,4.1517,4.2283,3.9922,4.1266,0.0
2020-10-15,4.1262,4.1368,3.8578,4.0281,0.0
2020-10-16,4.0324,4.2024,3.9559,4.189,0.0
2020-10-17,4.1927,4.2464,4.072,4.1186,0.0
2020-10-18,4.1197,4.1689,3.982,4.0401,0.0
2020-10-19,4.0397,4.0787,3.6789,3.7938,0.0
2020-10-20,3.7909,4.0958,3.7724,3.9601,0.0
2020-10-21,3.9612,4.4853,3.9608,4.3346,0.0
2020-10-22,4.3336,4.4724,4.1338,4.2541,0.0
2020-10-23,4.2538,4.36,4.1586,4.1815,0.0
2020-10-24,4.1802,4.2548,4.1021,4.1429,0.0
2020-10-25,4.1422,4.4907,4.026,4.142,0.0
2020-10-26,4.1419,4.3497,4.0302,4.1245,0.0
2020-10-27,4.1229,4.182,3.9213,4.0505,0.0
2020-10-28,4.0504,4.1074,3.7272,3.7776,0.0
2020-10-29,3.7767,3.826,3.5757,3.716,0.0
2020-10-30,3.7215,3.7619,3.5811,3.6403,0.0
2020-10-31,3.64,3.7118,3.5433,3.6866,0.0
2020-11-01,3.6891,3.8747,3.6026,3.6079,0.0
2020-11-02,3.607,3.649,3.2485,3.3318,0.0
2020-11-03,3.3335,3.3802,2.996,3.1748,0.0
2020-11-04,3.1757,3.3925,3.0121,3.337,0.0
2020-11-05,3.3389,3.6757,3.3213,3.5966,0.0
2020-11-06,3.5998,3.92,3.3534,3.4209,0.0
2020-11-07,3.4226,3.676,3.3615,3.475,0.0
2020-11-08,3.4731,3.5424,3.2632,3.4189,0.0
2020-11-09,3.421,3.6396,3.3735,3.5736,0.0
2020-11-10,3.5754,3.8193,3.4575,3.4865,0.0
2020-11-11,3.4865,3.5746,3.3142,3.4219,0.0
2020-11-12,3.4255,3.7041,3.3894,3.6781,0.0
2020-11-13,3.6836,3.7026,3.3926,3.4863,0.0
2020-11-14,3.4887,3.6441,3.4035,3.5424,0.0
2020-11-15,3.5411,3.8212,3.4547,3.7074,0.0
2020-11-16,3.7029,3.935,3.6916,3.8463,0.0
2020-11-17,3.8482,3.8736,3.5046,3.7491,0.0
2020-11-18,3.7518,3.8324,3.5531,3.6398,0.0
2020-11-19,3.6431,4.0179,3.6224,3.7217,0.0
2020-11-20,3.7184,4.1135,3.6717,4.0412,0.0
2020-11-21,4.0444,4.0776,3.7102,3.9028,0.0
2020-11-22,3.9061,4.2633,3.8561,4.0805,0.0
2020-11-23,4.0833,4.348,3.8576,4.2712,0.0
2020-11-24,4.2666,4.4149,3.9042,4.0444,0.0
2020-11-25,4.0422,4.0898,3.2859,3.5386,0.0
2020-11-26,3.541,3.7621,3.4235,3.5851,0.0
2020-11-27,3.5855,3.702,3.4684,3.6317,0.0
2020-11-28,3.63,3.7665,3.5342,3.7037,0.0
2020-11-29,3.7047,3.8265,3.6418,3.7075,0.0
2020-11-30,3.7082,3.8241,3.4515,3.5574,0.0
2020-12-01,3.553,3.8533,3.5005,3.7354,0.0
2020-12-02,3.7344,3.901,3.7116,3.8171,0.0
2020-12-03,3.8144,3.866,3.5071,3.5359,0.0
2020-12-04,3.5331,3.718,3.4992,3.6408,0.0
2020-12-05,3.6408,3.6772,3.4997,3.5984,0.0
2020-12-06,3.5998,3.6074,3.3198,3.3765,0.0
2020-12-07,3.375,3.378,3.0701,3.1113,0.0
2020-12-08,3.1096,3.4039,2.7881,3.2588,0.0
2020-12-09,3.2566,3.3538,3.066,3.1474,0.0
2020-12-10,3.148,3.3078,3.0102,3.2383,0.0
2020-12-11,3.2392,3.45,3.238,3.3375,0.0
2020-12-12,3.3356,3.4201,3.2849,3.3445,0.0
2020-12-13,3.3432,3.3455,3.1396,3.1491,0.0
2020-12-14,3.1515,3.3749,3.0648,3.3012,0.0
2020-12-15,3.3012,3.3758,3.1501,3.3461,0.0
2020-12-16,3.3482,3.3797,3.1866,3.2177,0.0
2020-12-17,3.2168,3.48,3.1463,3.4123,0.0
2020-12-18,3.4147,3.6127,3.3846,3.466,0.0
2020-12-19,3.4663,3.4991,3.2801,3.3144,0.0
2020-12-20,3.3114,3.3608,3.0266,3.0923,0.0
2020-12-21,3.0909,3.136,2.923,3.0735,0.0
2020-12-22,3.0726,3.6024,2.7583,2.9529,0.0
2020-12-23,2.9535,3.1186,2.7843,3.1062,0.0
2020-12-24,3.1064,3.135,2.8469,2.9534,0.0
2020-12-25,2.9522,3.0024,2.8475,2.9265,0.0
2020-12-26,2.9236,3.0809,2.842,2.91,0.0
2020-12-27,2.9115,3.05,2.8721,2.9646,0.0
2020-12-28,2.964,3.0212,2.8356,2.9253,0.0
2020-12-29,2.9261,2.9519,2.8356,2.9166,0.0
2020-12-30,2.9172,3.2901,2.78,3.1926,0.0
2020-12-31,3.1894,3.8455,3.0479,3.6541,0.0
2021-01-01,3.6565,3.945,3.2954,3.505,0.0
2021-01-02,3.5046,3.8508,3.4002,3.4907,0.0
2021-01-03,3.4927,3.8861,3.2,3.6036,0.0
2021-01-04,3.6034,4.3703,3.4648,4.2626,0.0
2021-01-05,4.2632,4.9949,4.1491,4.5808,0.0
2021-01-06,4.5808,4.8294,4.1735,4.4722,0.0
2021-01-07,4.4765,5.8591,4.03,5.7084,0.0
2021-01-08,5.6965,7.4707,5.5763,7.1895,0.0
2021-01-09,7.1915,7.509,6.151,6.5449,0.0
2021-01-10,6.5428,6.9974,5.6944,6.4571,0.0
2021-01-11,6.4587,8.2125,6.3814,7.7118,0.0
2021-01-12,7.7083,8.4953,7.1157,8.4617,0.0
2021-01-13,8.4608,9.6014,8.202,9.3204,0.0
2021-01-14,9.3284,9.9147,8.5623,9.3586,0.0
2021-01-15,9.3597,13.6592,9.1269,12.7952,0.0
