date,open,high,low,close,volume
2025-02-05,8.8217,14.256,6.6364,8.5593,46917160.9
2025-02-06,8.5551,8.9826,7.1978,7.6879,19417570.4
2025-02-07,7.6897,7.7739,5.7417,6.0422,16958824.2
2025-02-08,6.0398,6.5,4.897,5.175,12592210.4
2025-02-09,5.1755,5.6857,4.735,5.2768,16805253.2
2025-02-10,5.2667,6.3248,5.2349,5.8012,11442900.1
2025-02-11,5.8006,6.1031,5.3873,5.8711,8891266.0
2025-02-12,5.8791,6.3004,5.5338,5.5967,5348811.2
2025-02-13,5.5977,6.0,5.4149,5.9015,3881185.3
2025-02-14,5.8988,6.1747,5.61,5.6469,2467331.0
2025-02-15,5.647,5.7618,5.4815,5.605,1943113.3
2025-02-16,5.6085,6.732,5.5561,6.1311,5098412.0
2025-02-17,6.1296,6.2729,5.659,6.2254,3423197.3
2025-02-18,6.2255,6.873,6.1938,6.6051,5138564.2
2025-02-19,6.6051,9.1412,6.4728,8.7799,13068799.2
2025-02-20,8.7798,8.84,7.4536,7.4835,9386838.6
2025-02-21,7.484,7.7638,7.0004,7.4809,4487230.9
2025-02-22,7.4786,7.6694,6.6781,6.8903,3045104.3
2025-02-23,6.8933,7.236,6.5134,6.7825,4913599.2
2025-02-24,6.7841,7.0362,6.0164,6.7722,4097353.3
2025-02-25,6.7807,7.9967,6.6658,7.3931,5101954.9
2025-02-26,7.3968,8.2853,7.2,8.1005,3318401.7
2025-02-27,8.0952,8.778,7.2077,8.6613,6913533.2
2025-02-28,8.6677,8.91,8.0947,8.2618,3179768.5
2025-03-01,8.2618,9.1647,8.0607,8.5332,4141312.8
2025-03-02,8.5319,8.599,6.7968,6.8099,2492792.1
2025-03-03,6.8064,6.8845,6.011,6.6099,3807659.1
2025-03-04,6.6078,7.1793,6.4332,6.923,2678260.8
2025-03-05,6.923,7.1728,6.6665,6.7613,2557600.7
2025-03-06,6.7607,6.883,6.4995,6.6096,1928883.2
2025-03-07,6.6168,6.8964,6.4832,6.7541,988431.0
2025-03-08,6.7553,6.795,5.754,5.7697,2225785.5
2025-03-09,5.7697,6.1931,5.4384,5.5768,2976919.8
2025-03-10,5.5731,6.068,5.2543,5.8676,1806808.0
2025-03-11,5.8681,6.2942,5.716,6.2438,1784576.5
2025-03-12,6.2506,6.2999,5.7671,5.9012,1964139.8
2025-03-13,5.9037,6.2305,5.8902,6.119,1292983.3
2025-03-14,6.121,6.4914,6.1173,6.4635,621139.2
2025-03-15,6.4633,6.545,6.2607,6.3403,1839393.4
2025-03-16,6.3462,7.0362,6.3439,6.6065,2602432.0
2025-03-17,6.6058,6.6063,5.7819,5.9204,1687862.6
2025-03-18,5.9214,6.17,5.8277,6.1478,1191901.2
2025-03-19,6.1484,6.262,5.9681,6.0551,970638.2
2025-03-20,6.0565,6.7719,6.0347,6.7053,2087218.9
2025-03-21,6.7066,6.8982,6.5436,6.769,1737144.0
2025-03-22,6.7764,6.8241,6.5922,6.7415,1173057.7
2025-03-23,6.7336,8.0552,6.5653,7.9457,5785180.9
2025-03-24,7.9447,8.2798,7.461,8.048,4419868.8
2025-03-25,8.0403,8.1022,7.5021,7.7153,3419559.3
2025-03-26,7.7157,8.7118,7.6566,8.5653,4531494.5
2025-03-27,8.5567,8.7462,8.088,8.5173,3206952.0
2025-03-28,8.5152,8.9602,7.3433,7.3952,3889104.2
2025-03-29,7.3913,7.6444,7.1716,7.2272,2015362.6
2025-03-30,7.2298,7.2474,6.573,6.8643,3296024.8
2025-03-31,6.8595,7.6144,6.8148,7.1831,2202852.4
2025-04-01,7.1821,7.3999,6.4432,6.5091,2257992.9
2025-04-02,6.509,6.787,5.9012,6.1417,2265953.4
2025-04-03,6.1402,6.2082,5.4265,5.8169,5938917.9
2025-04-04,5.8199,5.9908,5.5002,5.818,1028718.9
2025-04-05,5.8298,5.8959,4.6082,4.6945,3575257.3
2025-04-06,4.6987,4.8464,3.998,4.3424,5994972.0
2025-04-07,4.3324,4.4508,3.5748,3.6032,5697753.4
2025-04-08,3.6036,5.0287,3.1772,4.159,14248271.8
2025-04-09,4.1547,4.1675,3.7147,3.8658,5758923.9
2025-04-10,3.8664,4.4171,3.8221,4.1157,3732005.8
2025-04-11,4.1172,4.3709,4.0691,4.23,3110724.5
2025-04-12,4.2301,4.2301,3.8296,3.8911,1931619.1
2025-04-13,3.8906,4.1212,3.8614,3.996,1698907.6
2025-04-14,3.9962,4.2357,3.8635,3.8954,1908354.4
2025-04-15,3.8901,3.904,3.5768,3.6578,4099282.3
2025-04-16,3.6583,3.84,3.4467,3.5173,2427202.8
2025-04-17,3.5232,3.56,3.2155,3.289,2441339.1
2025-04-18,3.2843,3.4388,3.2553,3.3626,1774196.9
2025-04-19,3.2757,3.416,3.2608,3.3148,363670.0
2025-04-20,3.3148,3.5841,3.3089,3.4363,2574694.0
2025-04-21,3.4362,3.696,3.3611,3.666,3304159.8
2025-04-22,3.6683,3.8505,3.4083,3.6248,4289947.2
2025-04-23,3.6249,3.6463,3.3724,3.6058,2423485.9
2025-04-24,3.6059,3.7559,3.495,3.7126,824210.6
