date,open,high,low,close,volume
2020-08-31,4.6,5.748,4.5,5.359,0.0
2020-09-01,5.364,5.393,3.718,4.333,0.0
2020-09-02,4.334,4.371,2.693,2.92,0.0
2020-09-03,2.92,3.296,2.698,2.86,0.0
2020-09-04,2.857,3.069,1.57,1.903,0.0
2020-09-05,1.902,2.337,1.521,2.164,0.0
2020-09-06,2.162,2.295,1.707,2.097,0.0
2020-09-07,2.092,2.103,1.759,1.839,0.0
2020-09-08,1.836,2.145,1.767,1.971,0.0
2020-09-09,1.972,2.199,1.948,1.964,0.0
2020-09-10,1.963,2.011,1.71,1.903,0.0
2020-09-11,1.903,2.152,1.811,2.106,0.0
2020-09-12,2.107,2.145,1.752,1.911,0.0
2020-09-13,1.913,1.983,1.785,1.852,0.0
2020-09-14,1.851,1.893,1.339,1.416,0.0
2020-09-15,1.417,1.464,1.201,1.283,0.0
2020-09-16,1.283,1.434,1.195,1.335,0.0
2020-09-17,1.334,1.435,1.22,1.261,0.0
2020-09-18,1.261,1.64,1.232,1.483,0.0
2020-09-19,1.484,1.626,1.3,1.363,0.0
2020-09-20,1.364,1.404,1.067,1.093,0.0
2020-09-21,1.093,1.152,1.01,1.078,0.0
2020-09-22,1.078,1.134,0.853,0.89,0.0
2020-09-23,0.888,0.999,0.872,0.989,0.0
2020-09-24,0.988,1.044,0.879,0.973,0.0
2020-09-25,0.975,1.141,0.968,1.112,0.0
2020-09-26,1.113,1.134,0.978,1.038,0.0
2020-09-27,1.038,1.099,0.99,1.003,0.0
2020-09-28,1.002,1.021,0.901,0.951,0.0
2020-09-29,0.951,0.966,0.909,0.947,0.0
2020-09-30,0.949,0.984,0.815,0.865,0.0
2020-10-01,0.864,0.879,0.722,0.762,0.0
2020-10-02,0.762,0.81,0.741,0.765,0.0
2020-10-03,0.764,0.768,0.671,0.696,0.0
2020-10-04,0.696,0.72,0.616,0.63,0.0
2020-10-05,0.629,0.632,0.478,0.502,0.0
2020-10-06,0.504,0.525,0.447,0.522,0.0
2020-10-07,0.523,0.578,0.454,0.558,0.0
2020-10-08,0.557,0.639,0.516,0.621,0.0
2020-10-09,0.621,0.646,0.543,0.557,0.0
2020-10-10,0.558,0.581,0.523,0.559,0.0
2020-10-11,0.558,0.598,0.535,0.568,0.0
2020-10-12,0.568,0.572,0.529,0.547,0.0
2020-10-13,0.547,0.554,0.475,0.504,0.0
2020-10-14,0.504,0.508,0.477,0.498,0.0
2020-10-15,0.498,0.512,0.421,0.429,0.0
2020-10-16,0.429,0.449,0.416,0.436,0.0
2020-10-17,0.435,0.473,0.433,0.457,0.0
2020-10-18,0.456,0.459,0.405,0.413,0.0
2020-10-19,0.413,0.417,0.353,0.359,0.0
2020-10-20,0.358,0.403,0.355,0.382,0.0
2020-10-21,0.382,0.429,0.38,0.407,0.0
2020-10-22,0.408,0.413,0.368,0.379,0.0
2020-10-23,0.378,0.382,0.355,0.372,0.0
2020-10-24,0.372,0.382,0.326,0.336,0.0
2020-10-25,0.336,0.44,0.331,0.405,0.0
2020-10-26,0.405,0.632,0.386,0.624,0.0
2020-10-27,0.622,0.635,0.45,0.489,0.0
2020-10-28,0.489,0.52,0.426,0.443,0.0
2020-10-29,0.443,0.462,0.374,0.393,0.0
2020-10-30,0.393,0.445,0.389,0.416,0.0
2020-10-31,0.415,0.421,0.386,0.401,0.0
2020-11-01,0.401,0.423,0.354,0.359,0.0
2020-11-02,0.359,0.367,0.34,0.356,0.0
2020-11-03,0.355,0.372,0.329,0.342,0.0
2020-11-04,0.342,0.383,0.33,0.361,0.0
2020-11-05,0.361,0.448,0.356,0.436,0.0
2020-11-06,0.435,0.545,0.391,0.428,0.0
2020-11-07,0.427,0.491,0.415,0.471,0.0
2020-11-08,0.472,0.497,0.428,0.454,0.0
2020-11-09,0.454,0.597,0.441,0.564,0.0
2020-11-10,0.563,0.642,0.527,0.543,0.0
2020-11-11,0.542,0.586,0.508,0.562,0.0
2020-11-12,0.561,0.698,0.548,0.68,0.0
2020-11-13,0.68,0.745,0.594,0.71,0.0
2020-11-14,0.71,0.835,0.702,0.781,0.0
2020-11-15,0.78,0.842,0.693,0.821,0.0
2020-11-16,0.821,0.904,0.801,0.875,0.0
2020-11-17,0.874,0.887,0.69,0.755,0.0
2020-11-18,0.755,0.846,0.71,0.803,0.0
2020-11-19,0.803,0.968,0.791,0.856,0.0
2020-11-20,0.856,0.902,0.788,0.857,0.0
2020-11-21,0.858,0.878,0.686,0.747,0.0
2020-11-22,0.747,0.81,0.715,0.745,0.0
2020-11-23,0.745,0.801,0.66,0.687,0.0
2020-11-24,0.687,0.758,0.622,0.64,0.0
2020-11-25,0.639,0.662,0.473,0.589,0.0
2020-11-26,0.588,0.643,0.541,0.641,0.0
2020-11-27,0.64,0.651,0.587,0.608,0.0
2020-11-28,0.608,0.688,0.592,0.656,0.0
2020-11-29,0.656,0.723,0.656,0.677,0.0
2020-11-30,0.677,0.761,0.628,0.68,0.0
2020-12-01,0.679,0.818,0.659,0.802,0.0
2020-12-02,0.801,0.859,0.767,0.83,0.0
2020-12-03,0.83,0.838,0.664,0.683,0.0
