date,open,high,low,close,volume
2020-12-16,5.372,5.775,5.259,5.35,0.0
2020-12-17,5.35,5.518,5.253,5.365,0.0
2020-12-18,5.365,5.59,5.275,5.343,0.0
2020-12-19,5.344,5.45,5.08,5.19,0.0
2020-12-20,5.191,5.457,4.782,4.877,0.0
2020-12-21,4.879,5.181,4.801,5.154,0.0
2020-12-22,5.153,5.197,4.582,4.717,0.0
2020-12-23,4.717,5.207,4.631,5.115,0.0
2020-12-24,5.114,5.29,5.04,5.212,0.0
2020-12-25,5.213,5.295,5.076,5.193,0.0
2020-12-26,5.195,5.435,4.938,5.149,0.0
2020-12-27,5.151,6.737,5.111,6.608,0.0
2020-12-28,6.608,7.73,6.2,7.554,0.0
2020-12-29,7.555,7.69,7.057,7.244,0.0
2020-12-30,7.244,9.532,7.17,9.264,0.0
2020-12-31,9.264,9.445,8.097,8.287,0.0
2021-01-01,8.287,9.876,7.888,9.213,0.0
2021-01-02,9.213,10.558,8.862,10.187,0.0
2021-01-03,10.188,10.584,8.666,9.524,0.0
2021-01-04,9.524,10.09,9.005,9.727,0.0
2021-01-05,9.736,10.55,9.463,10.082,0.0
2021-01-06,10.089,10.757,9.35,9.66,0.0
2021-01-07,9.663,9.846,8.8,9.303,0.0
2021-01-08,9.306,9.866,9.051,9.756,0.0
2021-01-09,9.762,10.036,8.635,9.306,0.0
2021-01-10,9.306,9.341,7.08,8.269,0.0
2021-01-11,8.262,8.717,7.927,8.299,0.0
2021-01-12,8.301,11.423,7.98,10.955,0.0
2021-01-13,10.964,14.799,10.9,14.5,0.0
2021-01-14,14.53,15.021,11.771,13.158,0.0
2021-01-15,13.158,19.492,13.152,17.943,0.0
2021-01-16,17.946,18.252,16.281,17.091,0.0
2021-01-17,17.09,18.25,15.801,16.601,0.0
2021-01-18,16.595,17.579,16.019,16.411,0.0
2021-01-19,16.411,18.273,14.8,18.017,0.0
2021-01-20,18.022,18.2,14.936,16.01,0.0
2021-01-21,16.016,18.021,14.666,17.134,0.0
2021-01-22,17.134,18.848,16.804,18.771,0.0
2021-01-23,18.774,18.786,17.23,18.002,0.0
2021-01-24,18.003,19.17,17.082,17.216,0.0
2021-01-25,17.215,17.809,16.03,17.117,0.0
2021-01-26,17.123,17.148,15.065,15.451,0.0
2021-01-27,15.448,17.506,15.276,16.896,0.0
2021-01-28,16.897,17.82,16.0,16.831,0.0
2021-01-29,16.833,17.099,16.126,16.55,0.0
2021-01-30,16.553,17.602,15.655,16.144,0.0
2021-01-31,16.144,16.579,15.703,16.468,0.0
2021-02-01,16.466,17.704,16.065,17.213,0.0
2021-02-02,17.216,20.97,16.864,20.88,0.0
2021-02-03,20.879,21.946,19.01,19.695,0.0
2021-02-04,19.695,21.472,19.377,20.881,0.0
2021-02-05,20.873,21.509,19.839,20.405,0.0
