date,open,high,low,close,volume
2024-04-01,0.66413,0.90323,0.6616,0.77752,11175010.0
2024-04-02,0.77513,1.2908,0.70539,1.1357,13677621.0
2024-04-03,1.1365,1.1693,0.91302,0.97522,11784070.0
2024-04-04,0.97291,1.0628,0.86258,1.015,11686865.0
2024-04-05,1.0165,1.1963,0.9653,1.0888,5456700.0
2024-04-06,1.092,1.2626,1.066,1.1886,4425803.0
2024-04-07,1.1858,1.3587,1.08,1.2981,6848706.0
2024-04-08,1.2989,1.4044,1.1909,1.2457,7971507.0
2024-04-09,1.2419,1.5,1.2259,1.4581,10728004.0
2024-04-10,1.4583,1.5265,1.352,1.3772,7712957.0
2024-04-11,1.3762,1.4825,0.98794,1.2749,14535445.0
2024-04-12,1.2739,1.3398,0.89,1.0512,11373362.0
2024-04-13,1.0495,1.2185,0.98889,1.2082,7951631.0
2024-04-14,1.1996,1.2078,1.0216,1.0545,8730277.0
2024-04-15,1.0539,1.0789,0.8953,0.97974,9623021.0
2024-04-16,0.97844,1.0536,0.90353,0.92415,9085819.0
2024-04-17,0.92372,0.9505,0.82031,0.91295,7327226.0
2024-04-18,0.91182,1.0411,0.81472,0.96722,10026702.0
2024-04-19,0.96813,1.1199,0.94956,1.0816,6248637.0
2024-04-20,1.0817,1.1043,1.027,1.0491,3453577.0
2024-04-21,1.0508,1.0981,1.0261,1.0468,5628028.0
2024-04-22,1.0479,1.0662,0.928,0.93733,5693934.0
2024-04-23,0.93733,0.98385,0.86104,0.87376,8206857.0
2024-04-24,0.871,0.90242,0.83154,0.87085,4605660.0
2024-04-25,0.87085,0.88507,0.8098,0.82306,3107662.0
2024-04-26,0.82339,0.84616,0.76598,0.83904,3254283.0
2024-04-27,0.84466,0.89566,0.83167,0.84927,3623378.0
2024-04-28,0.84906,0.942,0.77551,0.92619,4436028.0
2024-04-29,0.92426,0.93737,0.79234,0.812,3979779.0
2024-04-30,0.81125,0.8311,0.73559,0.79975,5338429.0
2024-05-01,0.79997,0.83067,0.76242,0.79703,2195487.0
2024-05-02,0.79826,0.87659,0.78071,0.85032,5612246.0
2024-05-03,0.85083,0.87504,0.82217,0.82904,5090653.0
2024-05-04,0.82873,0.83224,0.79533,0.81257,2869789.0
2024-05-05,0.81191,0.93197,0.81116,0.89361,5810187.0
2024-05-06,0.89428,1.0054,0.85579,0.91905,12689658.0
2024-05-07,0.91799,0.95322,0.85526,0.87244,11622931.0
2024-05-08,0.871,0.90767,0.84938,0.89257,4530853.0
2024-05-09,0.89278,0.93657,0.82473,0.84828,3794296.0
2024-05-10,0.84717,0.87058,0.83915,0.84112,1460211.0
2024-05-11,0.84089,0.85224,0.81841,0.82967,930210.0
2024-05-12,0.83001,0.83477,0.75516,0.76644,6147818.0
2024-05-13,0.76542,0.77174,0.67099,0.69208,4583243.0
2024-05-14,0.69271,0.7494,0.66613,0.73473,5393233.0
2024-05-15,0.73488,0.74939,0.6492,0.67122,4972171.0
2024-05-16,0.67093,0.74832,0.66931,0.71883,5598534.0
2024-05-17,0.719,0.79219,0.70949,0.75348,4641368.0
2024-05-18,0.75349,0.75679,0.69847,0.71148,2659804.0
2024-05-19,0.71163,0.84717,0.69079,0.83299,6706508.0
2024-05-20,0.83267,0.90015,0.82137,0.88673,13194036.0
2024-05-21,0.88531,0.89574,0.80403,0.85167,7106842.0
2024-05-22,0.8524,0.9158,0.83119,0.86731,14173911.0
2024-05-23,0.86709,0.92052,0.83218,0.85022,9630111.0
2024-05-24,0.85086,0.94988,0.84543,0.91161,5269129.0
2024-05-25,0.91095,0.97067,0.9029,0.91836,6083429.0
2024-05-26,0.91893,0.9559,0.89109,0.91876,5451895.0
2024-05-27,0.91893,0.92734,0.86506,0.89437,7090499.0
2024-05-28,0.89546,0.90668,0.8305,0.83599,3282766.0
2024-05-29,0.83594,0.89746,0.81359,0.86978,3736531.0
2024-05-30,0.8699,0.90949,0.85975,0.87813,7299439.0
2024-05-31,0.87876,0.93956,0.87519,0.91078,1717391.0
2024-06-01,0.9096,0.93527,0.88,0.92101,2495603.0
2024-06-02,0.91924,1.0331,0.90361,1.0214,8927044.0
2024-06-03,1.0226,1.0761,0.94051,0.97782,13133013.0
2024-06-04,0.97697,0.9956,0.93423,0.97787,4551023.0
2024-06-05,0.97902,1.0075,0.93888,0.95097,5140361.0
2024-06-06,0.95094,0.96521,0.78096,0.88311,9979412.0
2024-06-07,0.88399,0.88958,0.81184,0.82908,2928573.0
2024-06-08,0.82911,0.83895,0.80986,0.82962,2059599.0
2024-06-09,0.82987,0.82987,0.76785,0.76943,3037852.0
2024-06-10,0.76948,0.77448,0.70158,0.70928,4821137.0
2024-06-11,0.71123,0.78588,0.6851,0.73072,13128439.0
2024-06-12,0.72983,0.72983,0.67787,0.69741,3505219.0
2024-06-13,0.69654,0.73405,0.65816,0.70954,5050586.0
2024-06-14,0.70983,0.74961,0.69556,0.74853,1532742.0
2024-06-15,0.74725,0.77464,0.72456,0.76653,1487901.0
2024-06-16,0.76593,0.77295,0.66522,0.67547,9716196.0
2024-06-17,0.67458,0.67706,0.55041,0.62635,10231241.0
2024-06-18,0.6259,0.68419,0.62173,0.6336,11124963.0
2024-06-19,0.63295,0.66713,0.60077,0.61237,4843066.0
