date,open,high,low,close,volume
2020-08-18,422.33,427.1,393.28,407.65,0.0
2020-08-19,407.63,419.48,402.41,416.29,0.0
2020-08-20,416.3,418.95,385.09,388.25,0.0
2020-08-21,388.27,397.34,380.0,395.44,0.0
2020-08-22,395.44,397.2,383.69,391.0,0.0
2020-08-23,391.0,410.7,387.64,407.94,0.0
2020-08-24,407.91,409.43,370.14,383.11,0.0
2020-08-25,383.07,393.44,377.63,386.02,0.0
2020-08-26,386.02,397.38,371.31,383.6,0.0
2020-08-27,383.58,398.8,379.94,395.14,0.0
2020-08-28,395.16,405.8,391.81,398.66,0.0
2020-08-29,398.71,430.28,398.37,429.11,0.0
2020-08-30,429.12,439.49,418.2,434.03,0.0
2020-08-31,434.03,489.32,429.25,475.61,0.0
2020-09-01,475.7,482.44,418.3,439.75,0.0
2020-09-02,439.74,450.91,371.0,381.62,0.0
2020-09-03,381.52,400.63,356.14,385.2,0.0
2020-09-04,385.24,394.89,307.36,334.85,0.0
2020-09-05,334.85,360.0,316.03,352.69,0.0
2020-09-06,352.62,358.48,323.02,353.49,0.0
2020-09-07,353.49,356.67,325.0,337.32,0.0
2020-09-08,337.38,359.0,330.58,350.65,0.0
2020-09-09,350.58,377.0,349.66,367.69,0.0
2020-09-10,367.69,375.07,355.6,373.45,0.0
2020-09-11,373.42,388.36,364.43,387.65,0.0
2020-09-12,387.58,390.45,353.12,366.24,0.0
2020-09-13,366.24,384.42,355.48,377.13,0.0
2020-09-14,377.13,382.49,362.29,364.06,0.0
2020-09-15,364.0,373.3,354.75,364.95,0.0
2020-09-16,364.97,394.07,363.1,389.24,0.0
2020-09-17,389.23,392.43,375.39,384.44,0.0
2020-09-18,384.43,388.71,376.67,384.96,0.0
2020-09-19,384.95,385.33,364.52,370.85,0.0
2020-09-20,370.86,377.2,330.66,340.19,0.0
2020-09-21,340.19,346.75,335.27,344.06,0.0
2020-09-22,344.05,344.6,312.36,320.64,0.0
2020-09-23,320.64,353.09,316.37,348.77,0.0
2020-09-24,348.73,357.88,337.5,351.88,0.0
2020-09-25,351.88,356.58,345.76,353.88,0.0
2020-09-26,353.89,362.22,346.79,357.4,0.0
2020-09-27,357.29,368.45,351.6,353.85,0.0
2020-09-28,353.84,360.55,350.07,359.7,0.0
2020-09-29,359.7,361.55,351.02,359.71,0.0
2020-09-30,359.71,370.44,345.1,352.53,0.0
2020-10-01,352.54,354.34,334.01,345.41,0.0
2020-10-02,345.44,350.86,343.38,345.72,0.0
2020-10-03,345.69,354.3,343.68,352.23,0.0
2020-10-04,352.15,356.51,348.2,353.45,0.0
2020-10-05,353.45,354.95,336.44,340.65,0.0
2020-10-06,340.66,342.9,332.22,341.41,0.0
2020-10-07,341.42,353.43,333.88,351.08,0.0
2020-10-08,351.07,368.3,347.26,365.04,0.0
2020-10-09,365.03,378.7,364.71,370.68,0.0
2020-10-10,370.68,378.1,369.07,374.39,0.0
2020-10-11,374.39,395.43,365.5,386.73,0.0
2020-10-12,386.72,388.15,374.25,381.12,0.0
2020-10-13,381.11,387.72,373.12,378.75,0.0
2020-10-14,378.75,382.6,369.5,377.63,0.0
2020-10-15,377.63,379.92,360.53,365.41,0.0
2020-10-16,365.42,370.91,363.19,368.26,0.0
2020-10-17,368.26,378.8,367.16,378.29,0.0
2020-10-18,378.28,384.53,372.72,379.47,0.0
2020-10-19,379.47,381.19,364.9,368.74,0.0
2020-10-20,368.74,402.8,367.9,390.96,0.0
2020-10-21,390.95,421.9,390.57,414.39,0.0
2020-10-22,414.38,419.99,401.82,409.4,0.0
2020-10-23,409.41,417.16,407.33,412.34,0.0
2020-10-24,412.34,417.89,402.6,406.14,0.0
2020-10-25,406.14,411.18,382.18,392.43,0.0
2020-10-26,392.43,410.58,390.0,403.6,0.0
2020-10-27,403.59,409.65,379.28,388.17,0.0
2020-10-28,388.17,394.27,380.5,386.94,0.0
2020-10-29,386.94,392.1,373.03,382.4,0.0
2020-10-30,382.49,394.14,380.14,386.29,0.0
2020-10-31,386.28,398.0,384.32,396.82,0.0
2020-11-01,396.9,405.0,377.71,383.16,0.0
2020-11-02,383.16,390.28,370.0,388.11,0.0
2020-11-03,388.11,408.99,375.71,402.92,0.0
2020-11-04,402.95,423.79,395.89,417.14,0.0
2020-11-05,417.13,459.0,414.81,456.38,0.0
2020-11-06,456.38,469.74,423.7,435.58,0.0
2020-11-07,435.64,461.1,432.33,454.75,0.0
2020-11-08,454.74,459.9,433.76,444.72,0.0
2020-11-09,444.73,455.82,439.07,450.67,0.0
2020-11-10,450.67,476.89,449.69,463.35,0.0
2020-11-11,463.34,470.83,451.09,462.68,0.0
2020-11-12,462.69,479.0,457.25,476.8,0.0
2020-11-13,476.8,478.1,451.97,461.0,0.0
2020-11-14,461.02,462.96,440.1,448.16,0.0
2020-11-15,448.16,466.6,445.53,460.72,0.0
2020-11-16,460.7,485.93,460.0,482.49,0.0
2020-11-17,482.56,497.0,455.0,478.61,0.0
2020-11-18,478.6,480.68,465.15,471.38,0.0
2020-11-19,471.38,514.52,471.01,510.37,0.0
2020-11-20,510.43,555.44,502.8,554.1,0.0
2020-11-21,554.04,582.93,511.0,560.42,0.0
2020-11-22,560.41,611.88,550.81,609.12,0.0
2020-11-23,609.12,624.65,586.15,605.72,0.0
2020-11-24,605.71,607.09,555.0,569.79,0.0
2020-11-25,569.79,577.53,480.12,520.25,0.0
2020-11-26,520.2,530.83,493.8,518.92,0.0
2020-11-27,518.89,548.0,507.0,537.46,0.0
2020-11-28,537.37,577.0,530.5,576.38,0.0
2020-11-29,576.38,617.53,570.9,617.42,0.0
2020-11-30,617.5,638.66,558.0,585.98,0.0
2020-12-01,585.92,605.88,574.73,596.96,0.0
2020-12-02,596.96,624.7,585.95,616.2,0.0
2020-12-03,616.21,620.99,564.91,567.68,0.0
2020-12-04,567.69,598.2,561.06,596.97,0.0
2020-12-05,596.98,607.93,583.2,601.86,0.0
2020-12-06,601.86,603.63,584.67,591.84,0.0
2020-12-07,591.84,595.75,548.0,555.17,0.0
2020-12-08,555.08,578.62,531.0,573.27,0.0
2020-12-09,573.28,575.67,548.52,559.71,0.0
2020-12-10,559.69,561.37,533.11,544.74,0.0
2020-12-11,544.8,574.0,543.34,568.34,0.0
2020-12-12,568.3,595.47,563.11,590.91,0.0
2020-12-13,590.92,591.63,575.57,586.33,0.0
2020-12-14,586.32,598.0,579.0,588.8,0.0
2020-12-15,588.8,640.47,581.04,637.8,0.0
2020-12-16,637.79,678.2,625.0,643.12,0.0
2020-12-17,643.09,665.85,630.1,654.51,0.0
2020-12-18,654.44,671.95,646.0,658.81,0.0
2020-12-19,658.82,662.99,620.93,638.27,0.0
2020-12-20,638.25,648.88,595.54,608.18,0.0
2020-12-21,608.24,638.7,588.41,637.2,0.0
2020-12-22,637.2,639.54,546.81,585.34,0.0
2020-12-23,585.49,615.42,565.2,612.31,0.0
2020-12-24,612.31,634.96,604.5,627.18,0.0
2020-12-25,627.17,654.32,615.1,637.9,0.0
2020-12-26,637.89,718.75,625.0,685.97,0.0
2020-12-27,685.97,749.5,681.91,731.07,0.0
2020-12-28,731.06,742.0,690.1,733.45,0.0
2020-12-29,733.45,760.76,717.52,753.04,0.0
