date,open,high,low,close,volume
2024-10-27,0.82531,0.98253,0.61334,0.8941,8638431.3
2024-10-28,0.8941,1.1184,0.77554,0.98947,7075910.3
2024-10-29,0.98909,1.0345,0.79441,0.95947,5773426.6
2024-10-30,0.95836,1.1378,0.94794,1.0706,7839315.4
2024-10-31,1.0694,1.6442,1.0517,1.3951,7740699.8
2024-11-01,1.3908,1.9604,1.3908,1.6903,16736913.3
2024-11-02,1.6924,1.7982,1.3061,1.7754,16238695.5
2024-11-03,1.7743,1.8193,1.477,1.494,12726230.8
2024-11-04,1.4965,1.7237,1.4331,1.5661,7266103.8
2024-11-05,1.5637,3.1261,1.5625,2.6178,16445915.6
2024-11-06,2.6114,3.1001,2.3557,2.9008,10337682.9
2024-11-07,2.9042,3.9289,2.8445,3.1385,11333954.7
2024-11-08,3.1394,3.3876,2.7973,3.2966,8574566.0
2024-11-09,3.2991,3.38,2.6301,2.8985,9463762.9
2024-11-10,2.9,3.6686,2.6694,3.4806,8434418.4
2024-11-11,3.4881,3.5304,2.9155,2.972,7016942.3
2024-11-12,2.9716,3.115,2.6993,2.896,4713968.8
2024-11-13,2.8937,3.0661,2.431,2.6148,5971390.9
2024-11-14,2.6163,2.896,2.502,2.7549,4928428.2
2024-11-15,2.7548,2.9236,2.4479,2.5265,5254319.9
2024-11-16,2.5288,2.7876,2.3513,2.51,5095825.2
2024-11-17,2.5089,2.5698,2.3033,2.3861,3434923.2
2024-11-18,2.3889,2.833,2.329,2.6399,7046064.6
2024-11-19,2.6397,2.6397,2.0776,2.1326,7633333.4
2024-11-20,2.1339,2.5574,2.0464,2.4099,4741933.5
2024-11-21,2.4067,2.4105,1.9218,2.2,6622850.4
2024-11-22,2.2016,2.3368,2.0632,2.2352,4777977.7
2024-11-23,2.2324,2.618,2.072,2.5377,6919897.7
2024-11-24,2.536,3.0055,2.4556,2.7304,10554759.3
2024-11-25,2.7271,3.4721,2.7244,3.3158,9586754.0
2024-11-26,3.3151,3.4375,3.077,3.2022,3720602.2
2024-11-27,3.2017,3.7995,3.2012,3.6229,3147259.3
2024-11-28,3.6412,3.8443,3.42,3.4406,1954214.1
2024-11-29,3.4422,3.4673,3.1652,3.2554,2014720.9
2024-11-30,3.2551,3.4221,3.2179,3.2676,1503171.7
2024-12-01,3.2669,3.4009,2.9396,3.3944,2479683.9
2024-12-02,3.3923,3.4119,2.9561,3.2662,2428033.9
2024-12-03,3.2669,3.5288,2.8645,2.9182,3445617.1
2024-12-04,2.9168,3.3808,2.7845,3.2522,4657689.2
2024-12-05,3.2521,3.3603,2.8652,2.8954,4504830.5
2024-12-06,2.8954,3.0078,2.8576,2.8691,2673593.4
