date,open,high,low,close,volume
2022-08-16,2.025,2.199,1.862,1.915,0.0
2022-08-17,1.911,1.963,1.738,1.78,0.0
2022-08-18,1.778,1.78,1.552,1.673,0.0
2022-08-19,1.671,1.746,1.54,1.603,0.0
2022-08-20,1.602,1.865,1.592,1.841,0.0
2022-08-21,1.84,1.844,1.643,1.76,0.0
2022-08-22,1.761,1.886,1.745,1.816,0.0
2022-08-23,1.816,1.88,1.749,1.76,0.0
2022-08-24,1.76,1.851,1.759,1.772,0.0
2022-08-25,1.771,1.825,1.572,1.59,0.0
2022-08-26,1.59,1.625,1.546,1.566,0.0
2022-08-27,1.566,1.62,1.482,1.5,0.0
2022-08-28,1.5,1.614,1.474,1.613,0.0
2022-08-29,1.612,1.638,1.492,1.52,0.0
2022-08-30,1.52,1.598,1.52,1.555,0.0
2022-08-31,1.554,1.575,1.46,1.524,0.0
2022-09-01,1.524,1.58,1.491,1.534,0.0
2022-09-02,1.534,1.558,1.511,1.526,0.0
2022-09-03,1.526,1.625,1.515,1.599,0.0
2022-09-04,1.599,1.627,1.524,1.606,0.0
2022-09-05,1.604,1.652,1.44,1.452,0.0
2022-09-06,1.452,1.58,1.425,1.552,0.0
2022-09-07,1.552,1.602,1.485,1.531,0.0
2022-09-08,1.531,1.735,1.524,1.681,0.0
2022-09-09,1.681,1.737,1.602,1.635,0.0
2022-09-10,1.633,2.022,1.614,1.874,0.0
2022-09-11,1.872,1.937,1.755,1.808,0.0
2022-09-12,1.808,2.058,1.637,1.65,0.0
2022-09-13,1.65,1.751,1.605,1.649,0.0
2022-09-14,1.648,1.664,1.543,1.627,0.0
2022-09-15,1.627,1.684,1.581,1.675,0.0
2022-09-16,1.675,1.715,1.639,1.694,0.0
2022-09-17,1.694,1.694,1.413,1.448,0.0
2022-09-18,1.446,1.627,1.417,1.572,0.0
2022-09-19,1.57,1.632,1.504,1.527,0.0
2022-09-20,1.526,1.595,1.439,1.461,0.0
2022-09-21,1.46,1.548,1.457,1.529,0.0
2022-09-22,1.528,1.656,1.461,1.575,0.0
2022-09-23,1.576,1.683,1.536,1.644,0.0
2022-09-24,1.644,1.935,1.605,1.799,0.0
2022-09-25,1.798,1.902,1.681,1.78,0.0
2022-09-26,1.78,1.85,1.705,1.736,0.0
2022-09-27,1.736,1.753,1.62,1.706,0.0
2022-09-28,1.705,1.72,1.633,1.684,0.0
2022-09-29,1.684,1.752,1.623,1.701,0.0
2022-09-30,1.701,1.722,1.639,1.652,0.0
2022-10-01,1.653,1.681,1.539,1.562,0.0
2022-10-02,1.562,1.745,1.546,1.705,0.0
2022-10-03,1.705,1.877,1.688,1.794,0.0
2022-10-04,1.794,1.977,1.752,1.916,0.0
2022-10-05,1.917,1.925,1.822,1.833,0.0
2022-10-06,1.833,2.025,1.823,1.988,0.0
2022-10-07,1.987,2.031,1.95,1.989,0.0
2022-10-08,1.988,2.009,1.881,1.914,0.0
2022-10-09,1.913,1.954,1.752,1.753,0.0
2022-10-10,1.754,1.909,1.696,1.827,0.0
2022-10-11,1.827,1.843,1.757,1.786,0.0
2022-10-12,1.786,1.788,1.563,1.743,0.0
2022-10-13,1.743,1.894,1.718,1.762,0.0
2022-10-14,1.761,1.786,1.71,1.756,0.0
2022-10-15,1.755,1.959,1.751,1.902,0.0
2022-10-16,1.902,2.2,1.882,2.107,0.0
2022-10-17,2.106,2.179,2.03,2.089,0.0
2022-10-18,2.088,2.089,1.957,1.976,0.0
2022-10-19,1.976,2.039,1.816,1.852,0.0
2022-10-20,1.852,1.894,1.761,1.855,0.0
2022-10-21,1.855,1.968,1.822,1.912,0.0
2022-10-22,1.912,1.981,1.892,1.935,0.0
2022-10-23,1.934,1.936,1.849,1.894,0.0
2022-10-24,1.894,2.03,1.885,1.953,0.0
2022-10-25,1.954,2.173,1.918,2.059,0.0
2022-10-26,2.059,2.211,1.988,2.018,0.0
2022-10-27,2.019,2.079,1.9,2.045,0.0
2022-10-28,2.046,2.386,2.034,2.289,0.0
2022-10-29,2.289,2.433,2.132,2.192,0.0
2022-10-30,2.192,2.698,2.144,2.432,0.0
2022-10-31,2.431,2.573,2.273,2.502,0.0
2022-11-01,2.502,2.681,2.306,2.521,0.0
2022-11-02,2.521,3.045,2.473,2.629,0.0
2022-11-03,2.629,2.923,2.61,2.71,0.0
2022-11-04,2.711,2.997,2.633,2.683,0.0
2022-11-05,2.684,2.882,2.564,2.587,0.0
2022-11-06,2.587,2.804,2.415,2.677,0.0
2022-11-07,2.678,2.76,1.558,1.975,0.0
2022-11-08,1.975,2.0,1.344,1.455,0.0
2022-11-09,1.455,1.889,1.429,1.795,0.0
2022-11-10,1.796,1.876,1.61,1.753,0.0
2022-11-11,1.754,1.867,1.646,1.72,0.0
2022-11-12,1.72,1.957,1.697,1.812,0.0
2022-11-13,1.812,1.832,1.617,1.761,0.0
2022-11-14,1.76,1.948,1.711,1.795,0.0
2022-11-15,1.796,1.887,1.705,1.744,0.0
2022-11-16,1.743,1.761,1.68,1.714,0.0
