date,open,high,low,close,volume
2025-02-12,2.5793,2.5795,1.7032,1.8758,27028071.7
2025-02-13,1.8726,2.1927,1.7569,1.9118,15991713.2
2025-02-14,1.9085,1.9199,1.4293,1.4739,7300477.3
2025-02-15,1.4695,2.0051,1.3523,1.732,20022108.8
2025-02-16,1.7289,1.9678,1.6004,1.9064,10015225.6
2025-02-17,1.906,2.13,1.8261,1.9552,12937331.5
2025-02-18,1.9522,2.914,1.923,2.7826,16419650.7
2025-02-19,2.7853,9.6419,2.6493,5.6648,39761369.0
2025-02-20,5.6628,5.8787,4.2146,4.5675,19466754.9
2025-02-21,4.5678,5.2633,4.237,4.4039,7537251.1
2025-02-22,4.4064,4.5566,3.7,3.9768,3717611.6
2025-02-23,3.9814,4.9488,3.7783,4.5177,6783465.6
2025-02-24,4.5257,6.561,4.4276,5.715,8206613.5
2025-02-25,5.7115,7.4524,5.3555,7.0134,9332286.8
2025-02-26,7.0281,7.1702,5.5636,5.693,4864240.9
2025-02-27,5.6958,5.9829,5.2067,5.4805,4326819.6
2025-02-28,5.48,5.8789,5.0797,5.1734,3269966.1
2025-03-01,5.1778,6.5465,5.1759,6.2121,2384273.8
2025-03-02,6.2071,6.9356,5.4852,5.4852,2248978.1
2025-03-03,5.4881,5.8657,5.0122,5.4958,1888647.7
2025-03-04,5.4856,5.881,5.1088,5.3687,1606271.3
2025-03-05,5.3688,5.4691,4.9614,5.1611,1363848.2
2025-03-06,5.1628,5.247,4.5239,4.5897,1842588.8
2025-03-07,4.595,4.9789,4.5591,4.7309,760736.1
2025-03-08,4.7414,5.0801,4.6584,4.9354,1111430.1
2025-03-09,4.9367,5.4518,4.7936,5.1629,2008379.2
2025-03-10,5.1704,5.8422,4.9916,5.451,1478818.0
2025-03-11,5.4538,6.6777,5.3366,6.3426,1863812.3
2025-03-12,6.3406,6.3489,5.5682,5.7153,1528544.2
2025-03-13,5.718,6.368,5.5886,5.8785,1871472.0
2025-03-14,5.8877,5.9314,5.6443,5.6577,811704.3
2025-03-15,5.6564,5.724,5.405,5.4495,697751.4
2025-03-16,5.451,5.6072,5.279,5.5905,386097.8
2025-03-17,5.5759,5.7331,5.1238,5.3298,544133.6
2025-03-18,5.3298,5.6342,5.2609,5.4729,545752.1
2025-03-19,5.474,5.6652,5.2958,5.4972,409063.3
2025-03-20,5.4959,5.9184,5.4652,5.6549,395000.7
2025-03-21,5.6544,6.0875,5.6273,5.8156,527389.6
2025-03-22,5.8325,5.9649,5.4188,5.5487,413238.8
2025-03-23,5.5489,6.5298,5.4432,6.0016,993297.4
2025-03-24,6.0052,6.6,5.8918,6.1615,941009.7
2025-03-25,6.1527,6.3526,5.681,5.726,697736.7
2025-03-26,5.7251,5.8549,5.5594,5.5898,483907.3
2025-03-27,5.5871,5.5969,5.0421,5.5422,862333.5
2025-03-28,5.5392,5.5443,5.1747,5.2435,564775.4
2025-03-29,5.2436,5.4593,5.1744,5.2865,383553.8
2025-03-30,5.2837,5.2891,4.5772,4.784,1369233.9
2025-03-31,4.7832,4.8672,4.5411,4.5492,1352535.6
2025-04-01,4.549,4.6968,4.1002,4.3298,2401985.4
2025-04-02,4.3321,4.509,4.08,4.2325,703563.2
2025-04-03,4.2358,4.3104,3.9462,4.0966,663720.9
2025-04-04,4.0945,4.3583,4.0736,4.262,969205.9
2025-04-05,4.2633,4.3497,3.8565,4.0169,774650.8
2025-04-06,4.0183,4.4514,3.8221,4.0851,1410527.9
2025-04-07,4.0881,4.3203,3.9211,4.1005,1104635.4
2025-04-08,4.0932,4.6797,3.8778,4.5689,952465.0
2025-04-09,4.5638,4.5706,4.0127,4.1173,749609.5
2025-04-10,4.1009,4.1438,3.95,3.9716,744470.9
2025-04-11,3.9715,4.3151,3.8525,4.1675,550842.2
2025-04-12,4.178,4.3085,3.8643,3.9477,619431.3
2025-04-13,3.9344,4.1262,2.9582,3.8129,5594015.0
2025-04-14,3.8103,4.2674,3.6989,4.0791,2331478.5
2025-04-15,4.0781,4.1618,3.8713,3.9467,1343520.1
2025-04-16,3.9471,4.1032,3.8388,3.9071,533123.5
2025-04-17,3.9069,3.985,3.7824,3.8307,567325.7
2025-04-18,3.827,3.9174,3.8013,3.8651,689380.6
2025-04-19,3.6611,3.7958,3.6499,3.7294,251908.8
2025-04-20,3.7212,3.8375,3.5805,3.5935,793245.9
2025-04-21,3.5931,3.6827,3.4418,3.5595,477203.3
2025-04-22,3.5689,3.9134,3.5526,3.7467,1429770.9
2025-04-23,3.7462,3.8221,3.6098,3.8029,977979.2
2025-04-24,3.7908,4.1048,3.7908,4.0348,460441.1
