date,open,high,low,close,volume
2025-02-19,1.1106,2.0789,0.87021,1.6406,184271329.0
2025-02-20,1.6394,2.0943,1.2603,1.422,115629658.0
2025-02-21,1.4207,1.8031,1.355,1.5407,41347214.0
2025-02-22,1.5397,1.6235,1.4246,1.5653,19225410.0
2025-02-23,1.5662,1.98,1.5156,1.7125,37940252.0
2025-02-24,1.7107,1.8698,1.603,1.7282,26722209.0
2025-02-25,1.7297,2.5551,1.6924,2.4469,51328161.0
2025-02-26,2.4323,2.8321,2.097,2.1422,41026328.0
2025-02-27,2.1412,2.1901,1.8823,1.985,22807395.0
2025-02-28,1.9842,2.3655,1.972,2.2008,16396452.0
2025-03-01,2.2006,2.4219,2.0408,2.1186,17153202.0
2025-03-02,2.1186,2.1901,1.6484,1.6563,11423155.0
2025-03-03,1.6564,1.6915,1.4492,1.5446,12126153.0
2025-03-04,1.5428,2.193,1.4755,1.7842,42166187.0
2025-03-05,1.784,1.8507,1.6019,1.6252,13330567.0
2025-03-06,1.6265,1.714,1.5363,1.5441,8215343.0
2025-03-07,1.5436,1.7882,1.5129,1.6512,6735759.0
2025-03-08,1.6523,1.6784,1.4647,1.4794,4342089.0
2025-03-09,1.4812,1.5261,1.2804,1.3121,8245497.0
2025-03-10,1.3138,1.4485,1.2566,1.3588,6076194.0
2025-03-11,1.3583,1.4975,1.2896,1.4918,3889104.0
2025-03-12,1.4912,1.5942,1.3677,1.3953,4118334.0
2025-03-13,1.3944,1.4825,1.3889,1.4116,3294432.0
2025-03-14,1.4125,1.5856,1.2915,1.4408,37361088.0
2025-03-15,1.4417,1.4453,1.3573,1.3762,3858311.0
2025-03-16,1.3764,1.4376,1.3685,1.4325,1785226.0
2025-03-17,1.4331,1.4505,1.3022,1.3191,2666336.0
2025-03-18,1.3191,1.3489,1.2834,1.3375,1856423.0
2025-03-19,1.3371,1.4056,1.3106,1.402,2044429.0
2025-03-20,1.4018,1.4301,1.2996,1.304,2359338.0
2025-03-21,1.3041,1.3655,1.2917,1.3268,1626602.0
2025-03-22,1.328,1.3518,1.2463,1.2766,2847163.0
2025-03-23,1.2742,1.3987,1.2527,1.3804,3596582.0
2025-03-24,1.3796,1.3915,1.3169,1.3615,3864172.0
2025-03-25,1.3619,1.3911,1.2585,1.2693,3259615.0
2025-03-26,1.2693,1.3169,1.2595,1.2823,1456362.0
2025-03-27,1.2835,1.2988,1.0658,1.1418,5128301.0
2025-03-28,1.1418,1.1506,1.0301,1.0534,1542261.0
2025-03-29,1.0527,1.0917,1.0333,1.0654,1362554.0
2025-03-30,1.0677,1.0834,1.0056,1.0198,2231625.0
2025-03-31,1.0203,1.0939,1.0172,1.0219,1365146.0
2025-04-01,1.0208,1.0229,0.86772,0.86805,4566427.0
2025-04-02,0.87029,0.96483,0.87029,0.93508,1693941.0
2025-04-03,0.93625,0.98706,0.91099,0.9493,1072466.0
2025-04-04,0.95036,1.0227,0.9227,0.97603,987993.0
2025-04-05,0.97775,0.98013,0.78907,0.80549,1571543.0
2025-04-06,0.80546,0.93261,0.78595,0.8968,2776137.0
2025-04-07,0.89668,0.97288,0.85634,0.86334,3959926.0
2025-04-08,0.86247,0.92164,0.81385,0.89466,4944051.0
2025-04-09,0.8955,0.90895,0.78907,0.79809,3979713.0
2025-04-10,0.79822,0.84546,0.79126,0.81845,2335965.0
2025-04-11,0.8184,0.8882,0.79585,0.86418,5959023.0
2025-04-12,0.86418,0.87485,0.73497,0.75875,6492480.0
2025-04-13,0.75835,0.7855,0.71991,0.7532,4004104.0
2025-04-14,0.75411,0.76537,0.71054,0.72184,3800827.0
2025-04-15,0.72068,0.72301,0.67327,0.69292,4000142.0
2025-04-16,0.69078,0.70945,0.66892,0.69777,2566984.0
2025-04-17,0.69761,0.72444,0.68909,0.72277,1649092.0
2025-04-18,0.72306,0.75097,0.71617,0.74958,1010648.0
2025-04-19,0.74208,0.77513,0.73446,0.77513,907431.0
2025-04-20,0.77557,0.79928,0.76022,0.7733,2125977.0
2025-04-21,0.77154,0.85693,0.74961,0.8447,2578384.0
2025-04-22,0.84534,0.92273,0.84339,0.88737,4712699.0
2025-04-23,0.88641,0.94817,0.85053,0.94168,3315084.0
2025-04-24,0.94124,0.96276,0.89826,0.95906,685228.0
