date,open,high,low,close,volume
2025-02-10,0.96436,1.0,0.7,0.88506,94927396.0
2025-02-11,0.88684,1.39,0.8582,0.9692,128732494.0
2025-02-12,0.96918,1.002,0.79905,0.82893,28800521.0
2025-02-13,0.82892,0.8877,0.77077,0.80262,13950150.0
2025-02-14,0.80263,0.87529,0.71703,0.74448,9011620.0
2025-02-15,0.74549,0.77362,0.71103,0.74377,5612429.0
2025-02-16,0.74361,0.74361,0.67756,0.70181,3409812.0
2025-02-17,0.70221,0.71021,0.59695,0.62266,3342910.0
2025-02-18,0.62287,0.66678,0.6073,0.63608,1944724.0
2025-02-19,0.63878,0.7673,0.62423,0.74736,4737802.0
2025-02-20,0.74475,0.78075,0.68081,0.6835,5633714.0
2025-02-21,0.68429,0.70337,0.65045,0.68128,2772627.0
2025-02-22,0.68066,0.71113,0.64386,0.66991,1094031.0
2025-02-23,0.67118,0.71725,0.63388,0.68403,2238288.0
2025-02-24,0.68757,0.75255,0.62801,0.7037,3995253.0
2025-02-25,0.70225,0.78937,0.70225,0.77055,1938724.0
2025-02-26,0.77127,0.82169,0.73776,0.79625,2408953.0
2025-02-27,0.79615,0.87257,0.7098,0.82793,3803311.0
2025-02-28,0.83096,0.86617,0.78144,0.81286,1136420.0
2025-03-01,0.81215,0.90775,0.79708,0.8696,1474000.0
2025-03-02,0.8711,1.0961,0.8387,0.93583,4295004.0
2025-03-03,0.93601,1.0233,0.85123,0.93362,6544161.0
2025-03-04,0.92929,0.99826,0.87522,0.97776,2303143.0
2025-03-05,0.97722,1.0929,0.83465,0.84883,3583307.0
2025-03-06,0.84602,0.85058,0.76146,0.77426,1638704.0
2025-03-07,0.77035,0.79656,0.73489,0.78829,543516.0
2025-03-08,0.78944,0.83175,0.76877,0.79015,2958792.0
2025-03-09,0.78982,0.8965,0.75986,0.84938,4021166.0
2025-03-10,0.85004,0.94502,0.8414,0.91765,3374995.0
2025-03-11,0.91994,1.0768,0.89816,1.0588,3424659.0
2025-03-12,1.0586,1.2355,1.0352,1.1979,6617936.0
2025-03-13,1.1988,1.2879,1.1243,1.2176,4014521.0
2025-03-14,1.2176,1.2429,1.143,1.1575,1476911.0
2025-03-15,1.1584,1.2413,1.115,1.1831,2347729.0
2025-03-16,1.1731,1.1964,1.0987,1.1082,961230.0
2025-03-17,1.1086,1.1099,0.97279,0.99154,1695552.0
2025-03-18,0.99175,1.0514,0.91731,0.95629,1235076.0
2025-03-19,0.95635,1.0784,0.93552,1.0652,745840.0
2025-03-20,1.0649,1.2706,1.0472,1.1862,2726556.0
2025-03-21,1.188,1.2659,1.0686,1.0753,2138788.0
2025-03-22,1.0736,1.112,0.99371,1.0363,1599782.0
2025-03-23,1.0356,1.1687,1.0096,1.1409,1576821.0
2025-03-24,1.1433,1.4441,1.1351,1.374,4111846.0
2025-03-25,1.3765,1.4925,1.3546,1.4483,3345799.0
2025-03-26,1.4471,1.507,1.2498,1.3,2018523.0
2025-03-27,1.3003,1.3556,1.2236,1.3155,2149048.0
2025-03-28,1.3151,1.4746,1.2571,1.4249,4223564.0
2025-03-29,1.42,1.5666,1.3734,1.4718,3033773.0
2025-03-30,1.4751,1.4951,1.3053,1.4475,3648390.0
2025-03-31,1.4485,1.56,1.4324,1.503,2353779.0
2025-04-01,1.5018,1.5079,1.3331,1.3437,3317156.0
2025-04-02,1.3458,1.524,1.3458,1.4206,3348382.0
2025-04-03,1.4234,1.6211,1.358,1.535,3317205.0
2025-04-04,1.5347,1.6058,1.483,1.5516,1004057.0
2025-04-05,1.5515,1.6566,1.4702,1.5035,3580601.0
2025-04-06,1.5022,1.5765,1.4325,1.4866,3119471.0
2025-04-07,1.4858,1.492,1.3428,1.3627,5163870.0
2025-04-08,1.3634,1.9856,1.3513,1.8122,5476620.0
2025-04-09,1.812,1.8539,1.7163,1.8175,3222499.0
2025-04-10,1.8157,2.0162,1.7619,1.7804,2501159.0
2025-04-11,1.7727,1.8723,1.7346,1.8387,815669.0
2025-04-12,1.8421,2.074,1.8319,1.9344,1472239.0
2025-04-13,1.9369,2.0472,1.9044,1.9389,1467939.0
2025-04-14,1.9405,2.078,1.8197,1.8675,1794464.0
2025-04-15,1.8666,2.188,1.8274,2.0826,3328571.0
2025-04-16,2.0826,2.0964,1.9376,2.0022,2352051.0
2025-04-17,2.0032,2.1188,1.9461,2.0194,1073331.0
2025-04-18,2.0198,2.2143,2.0094,2.1066,1272414.0
2025-04-19,2.171,2.1831,2.1233,2.1402,263824.0
2025-04-20,2.1398,2.1882,2.0343,2.0554,1482209.0
2025-04-21,2.0555,2.0555,1.8955,1.9531,1894569.0
2025-04-22,1.9537,2.2916,1.9438,2.1833,1896631.0
2025-04-23,2.184,2.3051,2.1445,2.2,1164419.0
2025-04-24,2.197,2.2842,2.1655,2.2648,919122.0
