date,open,high,low,close,volume
2020-08-21,13.853,16.347,13.667,15.823,0.0
2020-08-22,15.817,16.017,14.666,15.172,0.0
2020-08-23,15.174,15.899,14.7,15.165,0.0
2020-08-24,15.165,15.4,13.455,14.131,0.0
2020-08-25,14.124,15.69,14.065,15.228,0.0
2020-08-26,15.225,15.56,13.988,14.531,0.0
2020-08-27,14.531,15.521,14.247,15.135,0.0
2020-08-28,15.135,17.059,14.982,16.367,0.0
2020-08-29,16.371,17.798,16.361,16.498,0.0
2020-08-30,16.5,16.968,15.505,15.586,0.0
2020-08-31,15.585,16.525,15.066,16.058,0.0
2020-09-01,16.052,16.397,13.92,14.799,0.0
2020-09-02,14.803,15.0,10.9,11.861,0.0
2020-09-03,11.857,12.923,10.981,12.372,0.0
2020-09-04,12.377,12.773,8.955,10.6,0.0
2020-09-05,10.6,13.25,9.7,12.8,0.0
2020-09-06,12.802,13.175,11.158,12.462,0.0
2020-09-07,12.462,12.735,11.026,11.737,0.0
2020-09-08,11.738,12.667,11.433,12.343,0.0
2020-09-09,12.344,13.281,12.11,12.506,0.0
2020-09-10,12.501,12.695,12.015,12.435,0.0
2020-09-11,12.44,12.75,12.089,12.729,0.0
2020-09-12,12.722,13.238,11.738,12.064,0.0
2020-09-13,12.068,12.398,11.63,12.137,0.0
2020-09-14,12.136,12.249,10.728,10.921,0.0
2020-09-15,10.921,11.28,10.475,10.735,0.0
2020-09-16,10.736,11.68,10.495,11.016,0.0
2020-09-17,11.016,11.139,9.782,10.094,0.0
2020-09-18,10.093,10.501,9.877,10.124,0.0
2020-09-19,10.124,10.63,9.454,9.74,0.0
2020-09-20,9.736,9.929,8.451,8.706,0.0
2020-09-21,8.708,9.073,8.52,8.733,0.0
2020-09-22,8.732,8.791,7.309,7.64,0.0
2020-09-23,7.642,10.4,7.464,9.865,0.0
2020-09-24,9.867,11.184,9.363,10.714,0.0
2020-09-25,10.714,11.094,9.964,10.306,0.0
2020-09-26,10.306,10.985,9.88,10.788,0.0
2020-09-27,10.789,11.07,10.135,10.278,0.0
2020-09-28,10.279,10.382,9.43,10.129,0.0
2020-09-29,10.13,10.237,9.563,9.859,0.0
2020-09-30,9.859,10.41,9.27,9.632,0.0
2020-10-01,9.631,9.84,8.794,9.202,0.0
2020-10-02,9.202,9.533,9.088,9.26,0.0
2020-10-03,9.26,9.45,9.102,9.383,0.0
2020-10-04,9.379,9.731,9.256,9.605,0.0
2020-10-05,9.605,9.652,8.55,8.765,0.0
2020-10-06,8.767,9.013,8.377,8.963,0.0
2020-10-07,8.964,9.676,8.422,9.544,0.0
2020-10-08,9.547,10.51,9.356,10.386,0.0
2020-10-09,10.386,10.92,10.36,10.514,0.0
2020-10-10,10.513,11.026,10.147,10.834,0.0
2020-10-11,10.833,11.793,10.67,11.418,0.0
2020-10-12,11.418,11.573,10.516,10.998,0.0
2020-10-13,10.998,11.332,10.611,10.888,0.0
2020-10-14,10.887,10.933,10.47,10.752,0.0
2020-10-15,10.752,10.89,10.261,10.58,0.0
2020-10-16,10.58,10.71,10.41,10.616,0.0
2020-10-17,10.616,10.98,10.588,10.936,0.0
2020-10-18,10.935,11.227,10.651,10.92,0.0
2020-10-19,10.92,10.937,9.756,9.852,0.0
2020-10-20,9.852,11.14,9.781,10.78,0.0
2020-10-21,10.781,12.426,10.711,11.948,0.0
2020-10-22,11.949,12.274,11.58,12.156,0.0
2020-10-23,12.153,12.95,11.979,12.691,0.0
2020-10-24,12.692,12.85,11.9,12.148,0.0
2020-10-25,12.146,12.45,11.256,11.701,0.0
2020-10-26,11.701,12.465,11.487,11.912,0.0
2020-10-27,11.911,12.158,11.14,11.434,0.0
2020-10-28,11.433,11.803,11.068,11.269,0.0
2020-10-29,11.269,11.476,10.75,11.091,0.0
2020-10-30,11.092,11.396,10.906,11.222,0.0
2020-10-31,11.222,11.59,11.015,11.57,0.0
2020-11-01,11.569,11.69,10.707,10.779,0.0
2020-11-02,10.779,10.782,9.953,10.394,0.0
2020-11-03,10.392,10.666,9.741,10.469,0.0
2020-11-04,10.469,11.271,10.077,10.971,0.0
2020-11-05,10.971,12.294,10.916,12.171,0.0
2020-11-06,12.172,13.741,11.45,11.766,0.0
2020-11-07,11.765,13.1,11.475,12.71,0.0
2020-11-08,12.71,13.013,12.044,12.508,0.0
2020-11-09,12.508,13.3,12.306,13.018,0.0
2020-11-10,13.017,13.438,12.745,12.757,0.0
2020-11-11,12.758,13.097,12.262,12.405,0.0
2020-11-12,12.405,13.012,12.299,12.867,0.0
2020-11-13,12.867,12.938,12.316,12.565,0.0
2020-11-14,12.566,12.662,11.815,12.121,0.0
2020-11-15,12.123,12.825,11.991,12.628,0.0
2020-11-16,12.629,13.473,12.556,13.427,0.0
2020-11-17,13.426,14.394,12.51,13.573,0.0
2020-11-18,13.575,14.03,13.017,13.62,0.0
2020-11-19,13.62,14.517,13.471,14.106,0.0
2020-11-20,14.106,15.56,13.68,15.477,0.0
2020-11-21,15.48,15.75,13.8,14.528,0.0
2020-11-22,14.526,15.448,14.279,15.279,0.0
2020-11-23,15.278,16.413,14.96,15.694,0.0
2020-11-24,15.693,15.918,13.795,14.226,0.0
2020-11-25,14.226,14.484,11.14,12.6,0.0
2020-11-26,12.6,12.947,11.952,12.51,0.0
2020-11-27,12.511,13.433,12.36,13.09,0.0
2020-11-28,13.087,13.488,12.848,13.395,0.0
2020-11-29,13.396,14.467,13.394,14.284,0.0
2020-11-30,14.287,14.885,13.061,13.358,0.0
2020-12-01,13.359,14.171,13.055,13.995,0.0
2020-12-02,13.995,14.244,13.668,13.985,0.0
2020-12-03,13.986,14.053,12.5,12.689,0.0
2020-12-04,12.685,13.357,12.53,13.177,0.0
2020-12-05,13.177,13.55,12.771,13.519,0.0
2020-12-06,13.52,13.574,12.88,13.082,0.0
2020-12-07,13.083,13.207,11.994,12.135,0.0
2020-12-08,12.14,12.832,11.568,12.617,0.0
2020-12-09,12.616,12.671,11.855,11.916,0.0
2020-12-10,11.916,11.994,11.423,11.644,0.0
2020-12-11,11.645,12.358,11.603,12.228,0.0
2020-12-12,12.229,13.277,12.026,12.941,0.0
2020-12-13,12.942,12.991,12.322,12.858,0.0
2020-12-14,12.858,13.034,12.47,12.692,0.0
2020-12-15,12.693,13.519,12.313,13.498,0.0
2020-12-16,13.497,14.547,13.1,13.457,0.0
2020-12-17,13.457,14.038,13.187,13.517,0.0
2020-12-18,13.518,14.007,13.311,13.486,0.0
2020-12-19,13.487,13.819,12.65,13.064,0.0
2020-12-20,13.064,13.287,12.082,12.317,0.0
2020-12-21,12.314,12.848,11.809,12.788,0.0
2020-12-22,12.788,12.87,8.022,10.972,0.0
2020-12-23,10.971,11.683,9.849,11.563,0.0
2020-12-24,11.562,11.915,11.05,11.56,0.0
2020-12-25,11.561,11.816,10.62,10.98,0.0
2020-12-26,10.98,13.274,10.478,12.169,0.0
2020-12-27,12.172,12.974,11.979,12.62,0.0
2020-12-28,12.619,13.057,10.806,11.781,0.0
2020-12-29,11.779,11.99,11.071,11.248,0.0
2020-12-30,11.248,11.756,10.944,11.244,0.0
2020-12-31,11.244,12.485,11.071,11.869,0.0
2021-01-01,11.868,12.455,11.456,12.226,0.0
2021-01-02,12.228,14.069,11.85,13.719,0.0
2021-01-03,13.724,15.86,12.333,13.611,0.0
