date,open,high,low,close,volume
2020-08-18,65.5,67.26,58.75,62.13,0.0
2020-08-19,62.15,63.78,61.02,62.87,0.0
2020-08-20,62.88,64.0,58.81,59.23,0.0
2020-08-21,59.25,60.61,57.8,60.28,0.0
2020-08-22,60.27,61.7,58.06,60.62,0.0
2020-08-23,60.62,63.09,60.02,62.11,0.0
2020-08-24,62.1,62.38,56.65,58.36,0.0
2020-08-25,58.36,59.21,57.04,58.2,0.0
2020-08-26,58.2,59.36,53.85,56.16,0.0
2020-08-27,56.17,58.33,55.37,57.4,0.0
2020-08-28,57.45,58.25,56.97,57.01,0.0
2020-08-29,57.01,63.07,56.96,62.99,0.0
2020-08-30,63.0,63.77,60.58,61.01,0.0
2020-08-31,61.0,64.5,59.75,62.76,0.0
2020-09-01,62.75,63.3,56.2,58.09,0.0
2020-09-02,58.11,58.71,45.08,47.28,0.0
2020-09-03,47.28,52.36,46.12,50.3,0.0
2020-09-04,50.3,51.31,45.06,47.83,0.0
2020-09-05,47.84,49.22,46.26,47.91,0.0
2020-09-06,47.9,49.21,45.18,48.88,0.0
2020-09-07,48.88,49.38,45.95,47.46,0.0
2020-09-08,47.46,48.84,46.51,47.84,0.0
2020-09-09,47.83,49.45,47.78,48.68,0.0
2020-09-10,48.67,49.44,47.36,48.96,0.0
2020-09-11,48.94,51.37,48.4,50.87,0.0
2020-09-12,50.86,51.12,47.27,48.19,0.0
2020-09-13,48.18,49.67,47.09,49.12,0.0
2020-09-14,49.14,50.39,48.1,48.33,0.0
2020-09-15,48.33,48.75,46.94,47.74,0.0
2020-09-16,47.74,49.73,47.62,48.88,0.0
2020-09-17,48.88,49.12,47.48,48.59,0.0
2020-09-18,48.59,49.08,47.96,48.56,0.0
2020-09-19,48.55,48.57,46.17,47.1,0.0
2020-09-20,47.11,47.69,41.51,43.15,0.0
2020-09-21,43.15,44.82,42.74,44.47,0.0
2020-09-22,44.46,45.19,42.21,43.0,0.0
2020-09-23,42.99,45.28,42.55,44.94,0.0
2020-09-24,44.93,46.59,43.96,46.04,0.0
2020-09-25,46.03,46.57,45.08,46.02,0.0
2020-09-26,46.02,46.64,44.51,46.04,0.0
