date,open,high,low,close,volume
2025-01-19,11.272,16.9,3.63,3.7704,59825549.1
2025-01-20,3.7772,5.1365,3.3,4.1692,41329161.6
2025-01-21,4.1629,4.2576,3.3751,3.4621,12112224.4
2025-01-22,3.4611,3.5043,2.54,2.7401,26269742.7
2025-01-23,2.7456,2.8338,2.42,2.474,12339574.8
2025-01-24,2.4711,3.0319,2.2564,2.7349,17097573.1
2025-01-25,2.7349,2.8838,2.3684,2.3902,8028641.1
2025-01-26,2.3927,2.6831,2.2725,2.5867,7798670.9
2025-01-27,2.5874,2.7809,2.2558,2.3078,6229503.4
2025-01-28,2.3153,2.3842,2.18,2.2368,4551650.1
2025-01-29,2.2363,2.3107,2.108,2.1112,4750048.4
2025-01-30,2.1113,2.1456,1.9105,1.933,6227414.7
2025-01-31,1.933,1.97,1.5599,1.5661,12594796.6
2025-02-01,1.5671,1.771,1.4509,1.5744,14379131.0
2025-02-02,1.578,1.583,1.2288,1.4928,14089808.8
2025-02-03,1.4931,1.77,1.3779,1.6347,19852690.9
2025-02-04,1.6368,1.795,1.576,1.6152,9884244.2
2025-02-05,1.6156,1.6312,1.4501,1.471,4048424.5
2025-02-06,1.4708,1.5601,1.4352,1.4798,4417953.6
2025-02-07,1.4792,1.5141,1.4484,1.4884,2371689.0
2025-02-08,1.4885,1.5263,1.3935,1.4547,2684999.8
2025-02-09,1.4548,1.5,1.4106,1.4286,2695599.9
2025-02-10,1.4314,1.4979,1.39,1.4037,2544215.2
2025-02-11,1.4033,1.444,1.3743,1.4303,2831668.6
2025-02-12,1.4303,1.4784,1.3744,1.3959,2654870.9
2025-02-13,1.3991,1.6071,1.3963,1.4419,7896643.2
2025-02-14,1.4426,1.4513,1.3112,1.3319,4548971.9
2025-02-15,1.3319,1.3468,1.282,1.2988,3354751.7
2025-02-16,1.2971,1.3087,1.2179,1.2734,13179473.0
2025-02-17,1.2738,1.2922,1.1911,1.2448,6989458.6
2025-02-18,1.2468,1.2612,1.1916,1.2188,4602422.6
2025-02-19,1.2205,1.275,1.2146,1.2681,3641686.4
2025-02-20,1.2724,1.2911,1.2224,1.2556,4337836.5
2025-02-21,1.2545,1.282,1.2515,1.2731,1922021.7
2025-02-22,1.273,1.2969,1.2387,1.2504,1361190.7
2025-02-23,1.2535,1.2632,0.98112,0.9962,6147564.7
2025-02-24,0.99696,1.0253,0.88758,0.94091,8739995.3
2025-02-25,0.94053,0.94937,0.83625,0.86981,8697146.1
2025-02-26,0.86992,0.9033,0.83859,0.8568,3839576.4
2025-02-27,0.8567,0.87552,0.7928,0.8647,10999073.4
2025-02-28,0.86473,0.91707,0.839,0.8529,4139870.8
2025-03-01,0.85181,0.9421,0.83454,0.92444,6431771.3
2025-03-02,0.9252,0.9252,0.7793,0.80306,6541390.9
2025-03-03,0.80207,0.84499,0.7583,0.82917,7114650.5
2025-03-04,0.82917,0.834,0.7939,0.7939,4033521.8
2025-03-05,0.79417,0.81444,0.76992,0.77451,3872309.5
2025-03-06,0.77451,0.7916,0.74857,0.75281,6051032.6
2025-03-07,0.75281,0.78381,0.7489,0.75894,1808306.0
2025-03-08,0.75872,0.77627,0.724,0.73159,3642799.1
2025-03-09,0.73207,0.7497,0.67912,0.6945,7237355.0
2025-03-10,0.69449,0.78495,0.50548,0.68426,50203713.3
2025-03-11,0.68381,0.71143,0.67069,0.69953,5611867.9
2025-03-12,0.69896,0.72072,0.6748,0.67879,4784599.4
2025-03-13,0.67859,0.7181,0.67536,0.6904,4271240.3
2025-03-14,0.69009,0.70274,0.6868,0.6975,1258734.7
2025-03-15,0.69673,0.74875,0.64905,0.74225,15131950.5
2025-03-16,0.7422,0.75704,0.64796,0.6669,14239197.6
2025-03-17,0.66626,0.746,0.66119,0.6995,19079115.9
2025-03-18,0.6994,0.8,0.67585,0.73395,20959636.4
2025-03-19,0.73496,0.76334,0.7109,0.72554,7773906.7
2025-03-20,0.7255,0.73862,0.6955,0.7099,3620313.9
2025-03-21,0.7094,0.7263,0.68334,0.69451,3876331.4
2025-03-22,0.69451,0.71185,0.6751,0.68242,4599966.5
2025-03-23,0.6817,0.69872,0.6669,0.69141,3426954.9
2025-03-24,0.69108,0.69232,0.66856,0.6771,2225056.0
2025-03-25,0.677,0.68959,0.65658,0.66365,2490236.6
2025-03-26,0.66391,0.6742,0.64546,0.6627,2339883.8
2025-03-27,0.6622,0.6679,0.62275,0.6336,2873879.3
2025-03-28,0.63371,0.63666,0.59189,0.60871,2501994.5
2025-03-29,0.6088,0.62296,0.59239,0.59425,1229176.6
2025-03-30,0.59482,0.61088,0.58966,0.60393,2565207.1
2025-03-31,0.60391,0.61517,0.59258,0.59601,2219497.4
2025-04-01,0.5954,0.61651,0.56446,0.58183,9878714.8
