date,open,high,low,close,volume
2020-10-24,600.2,601.32,579.03,583.54,0.0
2020-10-25,583.14,611.15,556.33,567.95,0.0
2020-10-26,567.7,596.5,566.92,583.38,0.0
2020-10-27,583.57,596.94,531.51,542.52,0.0
2020-10-28,542.52,550.22,515.28,532.61,0.0
2020-10-29,533.1,538.29,510.51,518.84,0.0
2020-10-30,518.78,533.52,515.28,523.03,0.0
2020-10-31,522.67,544.55,520.24,540.26,0.0
2020-11-01,540.63,557.08,520.86,522.95,0.0
2020-11-02,522.5,524.56,501.9,520.43,0.0
2020-11-03,520.71,528.27,498.65,520.22,0.0
2020-11-04,520.65,554.15,518.31,530.78,0.0
2020-11-05,530.78,547.06,523.49,542.23,0.0
2020-11-06,542.31,562.75,503.47,520.15,0.0
2020-11-07,520.15,540.71,511.04,535.11,0.0
2020-11-08,535.06,541.49,512.88,524.15,0.0
2020-11-09,524.15,557.92,520.0,552.27,0.0
2020-11-10,552.14,568.0,540.02,543.82,0.0
2020-11-11,544.19,551.44,523.54,534.08,0.0
2020-11-12,534.0,557.11,530.81,556.4,0.0
2020-11-13,556.34,558.21,519.73,529.3,0.0
2020-11-14,529.79,536.12,501.11,516.94,0.0
2020-11-15,516.81,530.23,508.5,518.71,0.0
2020-11-16,518.65,530.32,512.23,526.82,0.0
2020-11-17,527.27,537.39,505.76,511.0,0.0
2020-11-18,511.07,528.49,500.83,510.15,0.0
2020-11-19,510.11,528.62,508.2,517.71,0.0
2020-11-20,517.67,554.43,517.61,552.25,0.0
2020-11-21,552.8,583.43,514.36,564.78,0.0
2020-11-22,564.89,608.75,548.22,603.69,0.0
2020-11-23,603.51,619.99,578.2,602.43,0.0
2020-11-24,602.61,616.11,546.34,562.16,0.0
2020-11-25,562.02,571.6,485.96,527.13,0.0
2020-11-26,527.38,541.95,508.38,514.66,0.0
2020-11-27,514.44,534.85,509.82,529.91,0.0
2020-11-28,529.56,548.68,522.6,545.96,0.0
2020-11-29,546.11,581.65,535.39,569.33,0.0
2020-11-30,569.42,570.95,520.26,528.98,0.0
2020-12-01,528.84,565.04,523.11,560.61,0.0
2020-12-02,560.38,598.42,557.66,592.89,0.0
2020-12-03,592.76,599.88,521.76,524.9,0.0
2020-12-04,524.8,538.32,520.0,533.18,0.0
2020-12-05,533.36,537.86,510.1,529.74,0.0
2020-12-06,530.03,531.09,510.81,519.04,0.0
2020-12-07,519.27,525.69,491.15,502.84,0.0
2020-12-08,502.93,508.49,473.12,506.21,0.0
2020-12-09,505.8,530.46,490.74,522.25,0.0
2020-12-10,522.2,522.84,501.0,503.21,0.0
2020-12-11,503.18,526.25,502.54,514.46,0.0
2020-12-12,514.39,533.0,511.62,526.15,0.0
2020-12-13,526.18,540.0,519.9,539.5,0.0
2020-12-14,539.66,545.21,525.36,529.38,0.0
2020-12-15,529.63,540.85,514.25,540.43,0.0
2020-12-16,540.2,565.75,531.51,539.85,0.0
2020-12-17,539.8,579.16,531.93,569.35,0.0
2020-12-18,569.08,581.85,562.8,566.76,0.0
2020-12-19,566.87,571.26,540.14,546.17,0.0
2020-12-20,546.06,554.4,511.17,523.85,0.0
2020-12-21,523.84,550.66,517.0,549.41,0.0
2020-12-22,549.15,553.24,482.31,516.69,0.0
2020-12-23,516.72,528.75,494.52,526.99,0.0
2020-12-24,527.13,573.17,518.89,536.29,0.0
2020-12-25,536.06,552.44,522.28,546.4,0.0
2020-12-26,546.43,579.43,531.39,570.67,0.0
2020-12-27,570.8,601.33,561.32,586.54,0.0
2020-12-28,586.79,596.46,545.67,565.79,0.0
2020-12-29,565.7,585.82,551.71,576.51,0.0
2020-12-30,576.48,591.15,559.37,586.59,0.0
2020-12-31,586.25,603.1,572.3,581.67,0.0
2021-01-01,581.53,618.0,568.55,611.01,0.0
2021-01-02,611.4,701.14,609.4,678.98,0.0
2021-01-03,678.98,754.29,631.0,690.47,0.0
2021-01-04,690.63,779.95,654.31,766.77,0.0
2021-01-05,766.62,1241.77,746.24,1040.98,0.0
2021-01-06,1040.9,1196.0,987.25,1059.03,0.0
2021-01-07,1059.32,1134.03,947.6,1039.71,0.0
