date,open,high,low,close,volume
2024-09-05,0.1565,0.1707,0.118,0.1372,0.0
2024-09-06,0.1371,0.181,0.1204,0.1285,0.0
2024-09-07,0.1286,0.1657,0.1222,0.1507,0.0
2024-09-08,0.1508,0.1886,0.1489,0.1726,0.0
2024-09-09,0.1727,0.2065,0.1652,0.1835,0.0
2024-09-10,0.1834,0.1909,0.1617,0.1655,0.0
2024-09-11,0.1654,0.1695,0.1551,0.1667,0.0
2024-09-12,0.1666,0.1748,0.1571,0.1692,0.0
2024-09-13,0.1692,0.1779,0.1483,0.1498,0.0
2024-09-14,0.1498,0.1531,0.1254,0.1301,0.0
2024-09-15,0.13,0.1504,0.0704,0.0717,0.0
2024-09-16,0.0717,0.086,0.068,0.0735,0.0
2024-09-17,0.0736,0.0806,0.0692,0.0783,0.0
2024-09-18,0.0783,0.123,0.0776,0.0999,0.0
2024-09-19,0.0999,0.1059,0.0851,0.087,0.0
2024-09-20,0.0869,0.0893,0.0813,0.0859,0.0
2024-09-21,0.0859,0.0868,0.0771,0.0831,0.0
2024-09-22,0.0832,0.097,0.0804,0.0894,0.0
2024-09-23,0.0895,0.101,0.0868,0.0922,0.0
2024-09-24,0.0923,0.0986,0.0867,0.0887,0.0
2024-09-25,0.0887,0.0949,0.0859,0.0927,0.0
2024-09-26,0.0928,0.0981,0.0878,0.0912,0.0
2024-09-27,0.0912,0.0992,0.0889,0.092,0.0
2024-09-28,0.092,0.0927,0.0701,0.0736,0.0
2024-09-29,0.0735,0.0757,0.0673,0.0694,0.0
2024-09-30,0.0694,0.0768,0.0554,0.0624,0.0
2024-10-01,0.0624,0.065,0.0582,0.0614,0.0
2024-10-02,0.0615,0.0631,0.0557,0.0603,0.0
2024-10-03,0.0604,0.0649,0.059,0.0625,0.0
2024-10-04,0.0624,0.0639,0.0581,0.0605,0.0
2024-10-05,0.0604,0.067,0.0587,0.0663,0.0
2024-10-06,0.0662,0.0781,0.0654,0.0656,0.0
2024-10-07,0.0656,0.0673,0.0566,0.0585,0.0
2024-10-08,0.0585,0.0616,0.0542,0.0555,0.0
2024-10-09,0.0555,0.0766,0.0547,0.0737,0.0
2024-10-10,0.0738,0.0996,0.0729,0.0977,0.0
2024-10-11,0.0977,0.1238,0.097,0.1188,0.0
2024-10-12,0.1188,0.135,0.115,0.125,0.0
2024-10-13,0.1249,0.1382,0.1226,0.1233,0.0
2024-10-14,0.1233,0.1252,0.099,0.104,0.0
2024-10-15,0.1039,0.1063,0.0922,0.0928,0.0
2024-10-16,0.0927,0.0958,0.082,0.0837,0.0
2024-10-17,0.0837,0.1047,0.0828,0.0869,0.0
2024-10-18,0.0869,0.102,0.0869,0.0906,0.0
2024-10-19,0.0906,0.0942,0.08,0.0875,0.0
2024-10-20,0.0874,0.0901,0.081,0.0827,0.0
2024-10-21,0.0827,0.0939,0.0782,0.0797,0.0
2024-10-22,0.07709,0.079478,0.06775,0.068828,4720616.0
2024-10-23,0.068744,0.075201,0.068744,0.073863,13063053.0
2024-10-24,0.073885,0.08354,0.060078,0.061239,32695277.0
2024-10-25,0.061165,0.065381,0.06021,0.064216,19904160.0
2024-10-26,0.06419,0.10809,0.063703,0.10606,46441767.0
2024-10-27,0.10616,0.1152,0.084838,0.087711,59990584.0
2024-10-28,0.087607,0.11129,0.0872,0.09494,62058390.0
2024-10-29,0.094661,0.10013,0.089168,0.097296,35907582.0
2024-10-30,0.097375,0.10253,0.081504,0.083071,40370722.0
2024-10-31,0.083202,0.099069,0.075575,0.096312,52802387.0
2024-11-01,0.096352,0.10334,0.083275,0.085376,34949619.0
2024-11-02,0.085448,0.088835,0.077006,0.086564,41292985.0
2024-11-03,0.086591,0.089398,0.070757,0.073105,38526906.0
2024-11-04,0.07305,0.07878,0.070544,0.07536,28446940.0
2024-11-05,0.075349,0.10645,0.075349,0.10566,58539460.0
2024-11-06,0.10588,0.11847,0.10182,0.10809,28400068.0
2024-11-07,0.10836,0.10909,0.090975,0.10069,17660618.0
2024-11-08,0.10067,0.10509,0.092415,0.10275,15031111.0
2024-11-09,0.10344,0.1132,0.095348,0.099617,15635183.0
2024-11-10,0.099204,0.10684,0.091597,0.10048,17913608.0
