date,open,high,low,close,volume
2024-02-12,0.3,0.3,0.265,0.285,0.0
2024-02-13,0.28502,0.296,0.27559,0.28152,0.0
2024-02-14,0.28152,0.29346,0.25508,0.26325,0.0
2024-02-15,0.26329,0.27446,0.24107,0.24286,0.0
2024-02-16,0.24294,0.24958,0.23,0.24816,0.0
2024-02-17,0.24815,0.25678,0.233,0.23962,0.0
2024-02-18,0.23966,0.2481,0.22563,0.2323,0.0
2024-02-19,0.23231,0.2448,0.2046,0.22023,0.0
2024-02-20,0.22031,0.22579,0.20632,0.21817,0.0
2024-02-21,0.21817,0.22331,0.20849,0.21567,0.0
2024-02-22,0.2155,0.24663,0.21101,0.21531,0.0
2024-02-23,0.21536,0.22205,0.2054,0.22069,0.0
2024-02-24,0.22069,0.222,0.20807,0.21401,0.0
2024-02-25,0.21398,0.22504,0.21021,0.22273,0.0
2024-02-26,0.22273,0.2308,0.2113,0.22577,0.0
2024-02-27,0.22577,0.2782,0.22015,0.24734,0.0
2024-02-28,0.24739,0.26317,0.234,0.25833,0.0
2024-02-29,0.25841,0.295,0.25301,0.27087,0.0
2024-03-01,0.27088,0.27735,0.25829,0.27246,0.0
2024-03-02,0.27235,0.28212,0.25728,0.27906,0.0
2024-03-03,0.27916,0.38,0.27063,0.32637,0.0
2024-03-04,0.32646,0.34805,0.23901,0.30801,0.0
2024-03-05,0.30807,0.32036,0.29393,0.31129,0.0
2024-03-06,0.31126,0.31319,0.29658,0.30529,0.0
2024-03-07,0.30536,0.32256,0.28832,0.30018,0.0
2024-03-08,0.30014,0.3073,0.2949,0.30469,0.0
2024-03-09,0.3047,0.31441,0.2869,0.30402,0.0
2024-03-10,0.30401,0.34724,0.29063,0.32255,0.0
2024-03-11,0.32257,0.33938,0.291,0.33937,0.0
2024-03-12,0.33939,0.34659,0.30968,0.32662,0.0
2024-03-13,0.32653,0.39922,0.32009,0.39205,0.0
2024-03-14,0.3921,0.437,0.3444,0.43364,0.0
2024-03-15,0.43363,0.47958,0.40279,0.46153,0.0
2024-03-16,0.46155,0.6503,0.40697,0.61048,0.0
2024-03-17,0.61048,0.87,0.58481,0.83285,0.0
2024-03-18,0.83314,0.9486,0.60743,0.68124,0.0
2024-03-19,0.68128,0.7628,0.65001,0.69438,0.0
2024-03-20,0.69437,0.71523,0.58819,0.59528,0.0
2024-03-21,0.59528,0.60815,0.55372,0.60072,0.0
2024-03-22,0.60072,0.6345,0.55033,0.55097,0.0
2024-03-23,0.55097,0.58955,0.54124,0.58886,0.0
2024-03-24,0.5888,0.72,0.568,0.70122,0.0
2024-03-25,0.70126,0.84683,0.68336,0.81001,0.0
2024-03-26,0.80986,0.84794,0.72508,0.73216,0.0
2024-03-27,0.73216,0.78437,0.71403,0.72356,0.0
2024-03-28,0.72356,0.7391,0.69301,0.7054,0.0
2024-03-29,0.7054,0.74041,0.68101,0.68604,0.0
2024-03-30,0.68605,0.76,0.68049,0.72006,0.0
2024-03-31,0.72006,0.72101,0.63,0.66936,0.0
2024-04-01,0.66934,0.66947,0.58401,0.66592,0.0
2024-04-02,0.66595,0.69348,0.62339,0.66744,0.0
2024-04-03,0.66747,0.7244,0.65259,0.67327,0.0
2024-04-04,0.67332,0.74774,0.63119,0.709,0.0
2024-04-05,0.709,0.74141,0.66618,0.68167,0.0
