date,open,high,low,close,volume
2024-01-19,0.19611,0.20716,0.18726,0.20698,15195396.0
2024-01-20,0.20686,0.29627,0.18776,0.28355,45336594.0
2024-01-21,0.28252,0.32484,0.242,0.24559,50600800.0
2024-01-22,0.24482,0.26487,0.19955,0.25161,36285631.0
2024-01-23,0.25084,0.25864,0.22948,0.25763,19303967.0
2024-01-24,0.25659,0.26581,0.214,0.22346,25624338.0
2024-01-25,0.22353,0.2391,0.20814,0.22773,14824384.0
2024-01-26,0.22764,0.27702,0.22169,0.26406,18970005.0
2024-01-27,0.26427,0.29423,0.24249,0.25664,14171317.0
2024-01-28,0.25616,0.28053,0.24264,0.26696,13604107.0
2024-01-29,0.26762,0.27414,0.23569,0.23966,10478890.0
2024-01-30,0.23979,0.24,0.21,0.21593,12784635.0
2024-01-31,0.21657,0.22041,0.1971,0.20921,12396206.0
2024-02-01,0.20959,0.22712,0.20463,0.22189,13095385.0
2024-02-02,0.22225,0.22349,0.20616,0.20749,5548107.0
2024-02-03,0.20732,0.21804,0.20051,0.20687,4255916.0
2024-02-04,0.20712,0.23088,0.20299,0.21337,13794862.0
2024-02-05,0.21343,0.23739,0.21027,0.22341,19166406.0
2024-02-06,0.22398,0.24458,0.21891,0.24212,15477446.0
2024-02-07,0.24148,0.24931,0.225,0.22834,13346864.0
2024-02-08,0.22848,0.24027,0.22067,0.22269,13054388.0
2024-02-09,0.22353,0.23052,0.21956,0.2232,7546255.0
2024-02-10,0.22389,0.2458,0.22389,0.24115,11438870.0
2024-02-11,0.24098,0.24852,0.22223,0.24313,19630074.0
2024-02-12,0.24301,0.26467,0.23521,0.25042,26584670.0
2024-02-13,0.25047,0.28806,0.24592,0.28669,22909368.0
2024-02-14,0.28671,0.3101,0.25101,0.26094,27573104.0
2024-02-15,0.2609,0.27473,0.24435,0.26204,14977443.0
2024-02-16,0.26183,0.26717,0.23478,0.25279,7190134.0
2024-02-17,0.25241,0.28278,0.24928,0.26911,12715914.0
2024-02-18,0.26975,0.35491,0.26679,0.34825,22033769.0
2024-02-19,0.34911,0.36536,0.31,0.34496,21401731.0
2024-02-20,0.34403,0.38103,0.3008,0.37074,17081435.0
2024-02-21,0.36903,0.4648,0.34946,0.43402,22359674.0
2024-02-22,0.43416,0.45606,0.38114,0.4127,30492934.0
2024-02-23,0.41294,0.43959,0.39049,0.42011,16399858.0
2024-02-24,0.41945,0.46377,0.41216,0.42044,13359589.0
2024-02-25,0.42092,0.44351,0.39651,0.42948,15410359.0
2024-02-26,0.43058,0.48014,0.41419,0.44245,17992950.0
2024-02-27,0.44292,0.44545,0.25691,0.40623,28278563.0
2024-02-28,0.4067,0.4901,0.35533,0.43075,19743020.0
2024-02-29,0.43086,0.5412,0.42461,0.50526,29794322.0
2024-03-01,0.50582,0.52644,0.47085,0.48873,11283758.0
2024-03-02,0.48904,0.54325,0.44,0.50299,9495452.0
2024-03-03,0.50193,0.54213,0.47,0.48814,12151288.0
2024-03-04,0.48981,0.52587,0.40124,0.51414,20903579.0
2024-03-05,0.51636,0.5789,0.47764,0.57616,15264515.0
2024-03-06,0.57864,0.61182,0.55266,0.60313,7621142.0
2024-03-07,0.60253,0.6605,0.58961,0.60137,6955176.0
2024-03-08,0.60367,0.64545,0.60288,0.61251,2801444.0
2024-03-09,0.61423,0.62926,0.56875,0.60019,2688805.0
2024-03-10,0.59943,0.63094,0.55,0.61622,3388799.0
2024-03-11,0.61645,0.642,0.56,0.58897,4243545.0
2024-03-12,0.58818,0.59666,0.55714,0.57028,4759451.0
2024-03-13,0.5704,0.57397,0.51276,0.55432,8190680.0
2024-03-14,0.55429,0.56271,0.4707,0.5197,7417064.0
2024-03-15,0.521,0.54255,0.4562,0.47149,3946906.0
2024-03-16,0.47424,0.50265,0.44535,0.49194,3730773.0
2024-03-17,0.49314,0.49952,0.43917,0.44424,2980064.0
2024-03-18,0.44448,0.53835,0.38571,0.51389,19488843.0
2024-03-19,0.51104,0.66926,0.47848,0.65799,24395174.0
2024-03-20,0.65724,0.8257,0.64308,0.74746,16725865.0
2024-03-21,0.74945,0.79726,0.6641,0.74129,15955324.0
2024-03-22,0.7406,0.75,0.68439,0.70385,7704494.0
2024-03-23,0.70358,0.88843,0.70073,0.8762,13800151.0
2024-03-24,0.87607,0.97859,0.84531,0.92861,13695458.0
2024-03-25,0.92873,0.99777,0.84103,0.87998,8962157.0
2024-03-26,0.8793,0.95,0.8318,0.8647,8442975.0
2024-03-27,0.86502,0.96393,0.85259,0.91384,4719287.0
2024-03-28,0.91415,0.9424,0.86209,0.87789,3283343.0
2024-03-29,0.8779,0.94828,0.86993,0.89803,3580074.0
2024-03-30,0.8977,1.0551,0.89039,0.97936,4455815.0
2024-03-31,0.97724,0.98347,0.8415,0.90263,3903630.0
2024-04-01,0.90275,0.90275,0.77288,0.79537,5431011.0
2024-04-02,0.79515,0.83872,0.752,0.80296,7056092.0
2024-04-03,0.80229,0.84956,0.75172,0.80836,5355736.0
2024-04-04,0.80757,0.81358,0.73517,0.77341,4880523.0
2024-04-05,0.77339,0.83214,0.76463,0.79897,3711797.0
2024-04-06,0.79838,0.85355,0.7826,0.80541,2483374.0
2024-04-07,0.80462,0.86385,0.78436,0.84555,3301813.0
2024-04-08,0.84515,0.84707,0.75468,0.76075,6083076.0
2024-04-09,0.75968,0.79,0.72003,0.77765,5373050.0
2024-04-10,0.77761,0.84628,0.74228,0.82217,7164449.0
2024-04-11,0.81959,0.86,0.57143,0.7005,16388245.0
2024-04-12,0.69795,0.84238,0.60562,0.77323,22989063.0
2024-04-13,0.77339,0.93944,0.70912,0.90168,18448492.0
2024-04-14,0.90035,1.0304,0.83001,0.86024,17488789.0
2024-04-15,0.86052,0.88921,0.76379,0.82422,21159466.0
2024-04-16,0.82316,0.8901,0.76845,0.79543,16290033.0
2024-04-17,0.79543,0.83737,0.741,0.765,8559550.0
2024-04-18,0.7655,0.80018,0.68985,0.74642,10187965.0
2024-04-19,0.74669,0.83149,0.731,0.8232,6134576.0
2024-04-20,0.82231,0.85098,0.79983,0.81219,5380871.0
2024-04-21,0.8117,0.87074,0.78087,0.78801,7278796.0
2024-04-22,0.78742,0.85,0.76098,0.8005,7894180.0
