date,open,high,low,close,volume
2024-04-27,0.47573,0.50429,0.43933,0.45064,3742537.0
2024-04-28,0.45752,0.48236,0.36484,0.44951,4618838.0
2024-04-29,0.43775,0.46196,0.32017,0.38237,4173283.0
2024-04-30,0.38666,0.49149,0.33739,0.47432,4903672.0
2024-05-01,0.47271,0.66575,0.44256,0.59346,7412792.0
2024-05-02,0.59838,0.61928,0.51914,0.58952,4780337.0
2024-05-03,0.5894,0.73183,0.57481,0.65282,4115541.0
2024-05-04,0.66,0.6618,0.50181,0.61819,7480275.0
2024-05-05,0.61938,0.6613,0.5373,0.54822,4231490.0
2024-05-06,0.54832,0.5996,0.48283,0.48436,3509718.0
2024-05-07,0.48473,0.51401,0.42954,0.45142,4859940.0
2024-05-08,0.4506,0.57193,0.42669,0.54094,7671594.0
2024-05-09,0.53946,0.58683,0.456,0.46218,7178184.0
2024-05-10,0.46346,0.48,0.41111,0.41631,4434851.0
2024-05-11,0.41589,0.44399,0.40157,0.41673,1781591.0
2024-05-12,0.41703,0.5216,0.3727,0.48838,9068194.0
2024-05-13,0.48426,0.55494,0.45273,0.46797,6934288.0
2024-05-14,0.46837,0.54675,0.45506,0.53478,4822568.0
2024-05-15,0.53568,0.5462,0.44669,0.45125,5632445.0
2024-05-16,0.45123,0.50015,0.42349,0.43897,4650069.0
2024-05-17,0.43947,0.44478,0.34733,0.36314,5725931.0
2024-05-18,0.36297,0.37849,0.3359,0.36263,4613752.0
2024-05-19,0.36291,0.42078,0.35651,0.41184,4502513.0
2024-05-20,0.41184,0.45403,0.38261,0.38937,6194046.0
2024-05-21,0.38915,0.4401,0.35364,0.38926,8943998.0
2024-05-22,0.39072,0.43925,0.37857,0.39491,6337858.0
2024-05-23,0.39477,0.40444,0.35271,0.38251,3667230.0
2024-05-24,0.38139,0.484,0.37766,0.48167,8972645.0
2024-05-25,0.48333,0.5033,0.43935,0.4444,9287089.0
2024-05-26,0.4453,0.542,0.44321,0.50215,6726783.0
2024-05-27,0.49995,0.53509,0.45648,0.48237,7200425.0
2024-05-28,0.48189,0.56,0.47433,0.49179,9387782.0
2024-05-29,0.49229,0.50608,0.42593,0.43607,7240978.0
2024-05-30,0.43607,0.44997,0.39387,0.40704,3938594.0
2024-05-31,0.40696,0.41403,0.3795,0.3822,3558885.0
2024-06-01,0.38207,0.42265,0.3613,0.41493,2911215.0
2024-06-02,0.41393,0.46833,0.39702,0.46432,6270720.0
2024-06-03,0.46372,0.51422,0.4551,0.49281,3394176.0
2024-06-04,0.49217,0.53627,0.47321,0.48567,2533162.0
2024-06-05,0.48338,0.48831,0.391,0.39178,3654002.0
2024-06-06,0.391,0.44501,0.32945,0.37207,12511485.0
2024-06-07,0.37217,0.38946,0.3493,0.36092,2638060.0
2024-06-08,0.36177,0.3976,0.33854,0.38788,2057749.0
2024-06-09,0.38818,0.39999,0.35469,0.35695,3010149.0
2024-06-10,0.35558,0.36653,0.28822,0.31754,4940817.0
2024-06-11,0.31789,0.36336,0.2843,0.30248,2925224.0
2024-06-12,0.29916,0.30849,0.26716,0.27242,4210606.0
2024-06-13,0.27415,0.28,0.23918,0.25807,2891380.0
2024-06-14,0.25756,0.27371,0.2498,0.26454,1601797.0
2024-06-15,0.26414,0.31572,0.2439,0.31013,2850696.0
2024-06-16,0.31171,0.31926,0.2684,0.27594,3837498.0
2024-06-17,0.27574,0.2765,0.21623,0.23927,2532688.0
2024-06-18,0.23775,0.28,0.23147,0.26054,2169166.0
2024-06-19,0.26151,0.3189,0.23699,0.27533,6550714.0
2024-06-20,0.27497,0.28954,0.20251,0.24844,9533579.0
2024-06-21,0.24854,0.29128,0.23862,0.27549,22249829.0
2024-06-22,0.2755,0.30885,0.2613,0.26257,13576331.0
2024-06-23,0.26273,0.37905,0.24057,0.36567,13753006.0
2024-06-24,0.36785,0.4854,0.36541,0.45555,15226887.0
2024-06-25,0.45571,0.50999,0.44504,0.46698,6634468.0
2024-06-26,0.46726,0.64438,0.45267,0.56192,7414295.0
2024-06-27,0.56373,0.61824,0.52641,0.586,6050659.0
2024-06-28,0.58805,0.67991,0.58704,0.60412,7023362.0
2024-06-29,0.60407,0.6713,0.54223,0.64901,8641557.0
2024-06-30,0.6478,0.71747,0.57704,0.57704,5546961.0
2024-07-01,0.57589,0.6511,0.55845,0.639,7097681.0
2024-07-02,0.6394,0.65693,0.43416,0.47376,23686399.0
2024-07-03,0.47376,0.50648,0.4066,0.42182,13658338.0
2024-07-04,0.4187,0.53921,0.3258,0.5108,15735411.0
2024-07-05,0.51307,0.56022,0.48394,0.48888,10445183.0
2024-07-06,0.48989,0.50096,0.3951,0.39626,4730513.0
2024-07-07,0.39706,0.47901,0.36315,0.42545,12039099.0
2024-07-08,0.42543,0.5502,0.39988,0.51306,6705525.0
2024-07-09,0.51443,0.55244,0.46439,0.47304,10069317.0
2024-07-10,0.47245,0.5395,0.43826,0.44404,8153152.0
2024-07-11,0.44529,0.4913,0.42763,0.46268,8062300.0
2024-07-12,0.46188,0.53431,0.46038,0.50409,7781917.0
2024-07-13,0.50409,0.63578,0.50359,0.60853,7768098.0
2024-07-14,0.60733,0.77409,0.59231,0.76612,18624675.0
2024-07-15,0.76541,0.93914,0.73486,0.83765,18426882.0
2024-07-16,0.83641,0.91283,0.74834,0.76204,11681962.0
2024-07-17,0.76718,0.84222,0.71412,0.74773,13707612.0
2024-07-18,0.74562,0.95584,0.6884,0.93149,13024671.0
2024-07-19,0.931,0.994,0.88,0.97402,8086273.0
2024-07-20,0.98002,1.0056,0.86,0.96633,8352831.0
2024-07-21,0.96605,0.98566,0.8165,0.84051,7887283.0
2024-07-22,0.84061,0.89256,0.77201,0.83499,7043685.0
2024-07-23,0.83494,0.89557,0.7768,0.77916,6747994.0
2024-07-24,0.78165,0.85638,0.74206,0.81759,8676498.0
2024-07-25,0.81717,0.9603,0.81296,0.94193,7460343.0
2024-07-26,0.94187,0.96693,0.80086,0.82464,9265630.0
2024-07-27,0.82432,0.84108,0.77089,0.78452,4360057.0
2024-07-28,0.78477,0.8803,0.72074,0.7232,10192564.0
2024-07-29,0.72819,0.77073,0.688,0.72227,9890438.0
2024-07-30,0.72227,0.75802,0.65282,0.65448,6986260.0
2024-07-31,0.65537,0.72324,0.60295,0.70803,14360710.0
2024-08-01,0.70776,0.7384,0.55,0.577,18106028.0
2024-08-02,0.57586,0.57763,0.44999,0.47997,14988397.0
2024-08-03,0.48067,0.52399,0.40648,0.47282,21409438.0
2024-08-04,0.47151,0.48529,0.25474,0.3774,45745480.0
2024-08-05,0.3771,0.4815,0.3771,0.41804,19253559.0
2024-08-06,0.41765,0.6147,0.41008,0.51009,26572549.0
2024-08-07,0.51102,0.65837,0.49488,0.63831,18822540.0
2024-08-08,0.63795,0.673,0.56569,0.62374,14218476.0
2024-08-09,0.61778,0.6389,0.5608,0.57062,11748091.0
2024-08-10,0.56829,0.614,0.51,0.53744,11739980.0
2024-08-11,0.53744,0.60823,0.51155,0.557,10805150.0
2024-08-12,0.55685,0.58643,0.52086,0.56087,9438194.0
2024-08-13,0.56119,0.60815,0.52738,0.53333,13411524.0
2024-08-14,0.53359,0.56027,0.46917,0.48757,11498070.0
2024-08-15,0.48894,0.50648,0.41724,0.4301,11809279.0
2024-08-16,0.43,0.45353,0.41392,0.43588,7110853.0
2024-08-17,0.43603,0.44803,0.39608,0.40513,9242343.0
2024-08-18,0.4046,0.439,0.38215,0.43336,12211483.0
2024-08-19,0.43346,0.51746,0.42114,0.43512,18178406.0
2024-08-20,0.43511,0.48727,0.42345,0.4437,18490144.0
2024-08-21,0.4437,0.59259,0.43744,0.58119,17047344.0
2024-08-22,0.58264,0.76289,0.52169,0.73852,17825948.0
2024-08-23,0.74116,0.79621,0.66601,0.75169,12922845.0
2024-08-24,0.75215,0.8091,0.69421,0.76139,11953075.0
2024-08-25,0.76015,0.78073,0.68047,0.70269,10621004.0
2024-08-26,0.70473,0.73633,0.63483,0.67741,14320927.0
2024-08-27,0.67466,0.76239,0.65401,0.66259,19650148.0
2024-08-28,0.6619,0.74888,0.6541,0.6561,12183295.0
2024-08-29,0.6541,0.6659,0.56167,0.59399,15925825.0
2024-08-30,0.59347,0.605,0.55483,0.564,6430083.0
2024-08-31,0.56379,0.58098,0.52163,0.53569,8569490.0
2024-09-01,0.53511,0.61618,0.53511,0.60947,8056727.0
2024-09-02,0.60828,0.63014,0.54,0.54168,6660467.0
2024-09-03,0.54223,0.61623,0.52114,0.59634,11470871.0
2024-09-04,0.59641,0.62901,0.525,0.53053,10739953.0
2024-09-05,0.53298,0.56798,0.46348,0.4947,16043999.0
2024-09-06,0.49461,0.53047,0.48715,0.49312,6836909.0
2024-09-07,0.49397,0.55145,0.49341,0.53996,10482260.0
2024-09-08,0.53956,0.6472,0.52526,0.61024,10657782.0
2024-09-09,0.6106,0.65753,0.5966,0.62893,6767404.0
2024-09-10,0.63215,0.63514,0.54548,0.59708,10440594.0
2024-09-11,0.59759,0.6796,0.59759,0.67343,11802037.0
2024-09-12,0.67361,0.75367,0.63684,0.72878,8446999.0
2024-09-13,0.72997,0.74235,0.7106,0.72026,6088891.0
2024-09-14,0.721,0.74811,0.67058,0.68874,7139891.0
2024-09-15,0.68895,0.70661,0.66248,0.69366,5799252.0
2024-09-16,0.69301,0.7636,0.67571,0.70534,7274180.0
2024-09-17,0.70563,0.84338,0.655,0.83856,10856107.0
2024-09-18,0.8431,0.93937,0.84035,0.88852,10819084.0
2024-09-19,0.88886,0.96785,0.87483,0.89708,12566001.0
2024-09-20,0.89724,0.92794,0.87023,0.91952,3514422.0
2024-09-21,0.91932,0.91984,0.81114,0.88695,7746008.0
2024-09-22,0.88766,0.98688,0.86419,0.92653,11062601.0
2024-09-23,0.92641,1.043,0.86947,1.0135,12345328.0
2024-09-24,1.0161,1.0778,0.97075,0.9845,9843205.0
2024-09-25,0.98295,1.0877,0.9626,1.028,13747032.0
2024-09-26,1.0278,1.0846,0.9164,0.93288,16819970.0
2024-09-27,0.93373,0.9597,0.89459,0.9251,10372147.0
2024-09-28,0.92589,1.0519,0.91159,0.98884,12645502.0
2024-09-29,0.98858,1.035,0.9235,0.94892,17795577.0
2024-09-30,0.94771,1.0588,0.91923,0.98181,28033433.0
2024-10-01,0.98102,1.0598,0.90204,0.97655,21600306.0
2024-10-02,0.97647,1.074,0.902,0.95589,25114102.0
2024-10-03,0.95582,1.1929,0.935,1.1621,18578725.0
2024-10-04,1.1646,1.2741,1.1351,1.2136,9440985.0
2024-10-05,1.213,1.4813,1.2027,1.3966,11595363.0
