date,open,high,low,close,volume
2020-09-13,3.2002,4.91,3.2002,3.2661,0.0
2020-09-14,3.2629,3.3258,2.9001,2.9332,0.0
2020-09-15,2.9299,2.9299,2.4316,2.5395,0.0
2020-09-16,2.54,2.936,2.3569,2.8855,0.0
2020-09-17,2.8821,3.15,2.724,3.108,0.0
2020-09-18,3.108,3.2509,2.955,3.0193,0.0
2020-09-19,3.0159,3.0173,2.6876,2.8635,0.0
2020-09-20,2.8567,3.03,2.4576,2.7539,0.0
2020-09-21,2.7544,3.01,2.6094,2.9183,0.0
2020-09-22,2.9196,3.0935,2.6863,2.8313,0.0
2020-09-23,2.835,3.2538,2.7607,3.1392,0.0
2020-09-24,3.1314,3.2698,2.898,3.1821,0.0
2020-09-25,3.1871,3.249,3.017,3.1262,0.0
2020-09-26,3.1275,3.1883,2.977,3.1617,0.0
2020-09-27,3.1596,3.2116,2.8909,2.9564,0.0
2020-09-28,2.956,3.0207,2.874,2.9517,0.0
2020-09-29,2.95,2.989,2.8285,2.9004,0.0
2020-09-30,2.9008,2.9968,2.6546,2.8701,0.0
2020-10-01,2.8694,2.8851,2.4224,2.6236,0.0
2020-10-02,2.6271,2.6689,2.5326,2.5454,0.0
2020-10-03,2.5447,2.5909,2.4266,2.5236,0.0
2020-10-04,2.5244,2.677,2.4561,2.6495,0.0
2020-10-05,2.6517,2.661,2.1346,2.1732,0.0
2020-10-06,2.1725,2.4,2.0854,2.3027,0.0
2020-10-07,2.3036,2.4629,2.0117,2.3716,0.0
2020-10-08,2.3717,2.6289,2.3101,2.5363,0.0
2020-10-09,2.5356,2.611,2.3907,2.407,0.0
2020-10-10,2.4065,2.4609,2.3378,2.4257,0.0
2020-10-11,2.4269,2.7096,2.4171,2.5825,0.0
2020-10-12,2.582,2.5889,2.3355,2.4048,0.0
2020-10-13,2.4053,2.4464,2.2337,2.3087,0.0
2020-10-14,2.3102,2.3443,2.1928,2.267,0.0
2020-10-15,2.2668,2.2708,2.103,2.1404,0.0
2020-10-16,2.1401,2.2425,2.11,2.2062,0.0
2020-10-17,2.2069,2.2649,2.1804,2.2186,0.0
2020-10-18,2.2167,2.2206,2.051,2.0578,0.0
2020-10-19,2.0576,2.1083,1.8457,1.8905,0.0
2020-10-20,1.8885,2.1098,1.8474,1.8933,0.0
2020-10-21,1.8933,2.0905,1.8629,1.9619,0.0
2020-10-22,1.962,1.9938,1.8502,1.9645,0.0
2020-10-23,1.9666,1.9734,1.88,1.9196,0.0
2020-10-24,1.9179,1.9281,1.7628,1.7937,0.0
2020-10-25,1.7946,1.8723,1.6162,1.6786,0.0
2020-10-26,1.6777,1.7542,1.5928,1.7135,0.0
2020-10-27,1.7131,1.7287,1.4555,1.5196,0.0
2020-10-28,1.5195,1.5773,1.4146,1.4325,0.0
2020-10-29,1.4321,1.4677,1.3379,1.4378,0.0
2020-10-30,1.4367,1.5501,1.4269,1.5472,0.0
2020-10-31,1.5474,1.6465,1.5132,1.6076,0.0
2020-11-01,1.6062,1.6426,1.4644,1.4741,0.0
2020-11-02,1.4729,1.4857,1.4109,1.4131,0.0
2020-11-03,1.4149,1.4166,1.2737,1.391,0.0
2020-11-04,1.3912,1.489,1.302,1.4011,0.0
2020-11-05,1.4015,1.9474,1.3954,1.8998,0.0
2020-11-06,1.8978,2.5,1.8324,2.0283,0.0
2020-11-07,2.0304,2.2868,1.965,2.1571,0.0
2020-11-08,2.1571,2.2024,1.9517,2.0393,0.0
2020-11-09,2.0417,2.3306,2.0088,2.2652,0.0
2020-11-10,2.2659,2.3041,1.9674,2.003,0.0
2020-11-11,2.0012,2.0618,1.8265,1.9083,0.0
2020-11-12,1.9082,2.0821,1.9,2.0191,0.0
2020-11-13,2.0182,2.0381,1.8749,1.92,0.0
2020-11-14,1.9206,2.2252,1.9131,2.0431,0.0
2020-11-15,2.0421,2.372,1.9859,2.268,0.0
2020-11-16,2.2681,2.3431,2.1263,2.207,0.0
2020-11-17,2.2041,2.2246,1.9977,2.1166,0.0
2020-11-18,2.1151,2.1883,2.0125,2.0797,0.0
2020-11-19,2.0802,2.2445,2.0515,2.1052,0.0
2020-11-20,2.1079,2.5204,2.0313,2.3991,0.0
2020-11-21,2.4013,2.4287,2.0302,2.1502,0.0
2020-11-22,2.1488,2.3611,2.1045,2.2826,0.0
2020-11-23,2.2839,2.484,2.1323,2.2894,0.0
2020-11-24,2.2896,2.4856,2.1686,2.2673,0.0
2020-11-25,2.2651,2.3097,1.712,1.9032,0.0
2020-11-26,1.902,1.9621,1.7643,1.8558,0.0
2020-11-27,1.8551,1.9382,1.7912,1.8821,0.0
2020-11-28,1.8813,1.9418,1.8439,1.9093,0.0
2020-11-29,1.9101,2.015,1.8979,1.959,0.0
2020-11-30,1.9594,2.1334,1.9032,1.9695,0.0
2020-12-01,1.9681,2.2047,1.9252,2.116,0.0
2020-12-02,2.1152,2.2223,2.0705,2.0989,0.0
2020-12-03,2.0985,2.1129,1.8256,1.8463,0.0
2020-12-04,1.8449,1.9816,1.8158,1.9776,0.0
2020-12-05,1.9776,1.9899,1.8097,1.8515,0.0
2020-12-06,1.8517,1.9006,1.81,1.8299,0.0
2020-12-07,1.8287,1.8322,1.6271,1.6617,0.0
2020-12-08,1.6617,1.6724,1.4969,1.6553,0.0
2020-12-09,1.6552,1.6644,1.5409,1.5686,0.0
2020-12-10,1.5686,1.5778,1.4316,1.4406,0.0
2020-12-11,1.4394,1.5337,1.4362,1.4886,0.0
2020-12-12,1.4879,1.65,1.454,1.5636,0.0
2020-12-13,1.564,1.6244,1.5198,1.5936,0.0
2020-12-14,1.5927,1.8012,1.5858,1.7534,0.0
2020-12-15,1.7534,1.7986,1.6,1.7869,0.0
2020-12-16,1.7865,1.8167,1.6382,1.6808,0.0
2020-12-17,1.68,1.7104,1.6317,1.7003,0.0
2020-12-18,1.701,1.7695,1.6562,1.6683,0.0
2020-12-19,1.6673,1.6888,1.5178,1.5638,0.0
2020-12-20,1.565,1.6198,1.4916,1.5347,0.0
2020-12-21,1.5353,1.5722,1.4696,1.4905,0.0
2020-12-22,1.4903,1.5133,1.069,1.1975,0.0
2020-12-23,1.1975,1.3859,1.1574,1.3638,0.0
2020-12-24,1.3654,1.4514,1.3444,1.4448,0.0
2020-12-25,1.4447,1.4463,1.3069,1.3215,0.0
2020-12-26,1.3209,1.4148,1.2544,1.3023,0.0
2020-12-27,1.3027,1.5222,1.2857,1.5169,0.0
2020-12-28,1.5165,1.7293,1.4321,1.666,0.0
2020-12-29,1.6661,1.686,1.5152,1.5304,0.0
2020-12-30,1.5319,1.5445,1.412,1.504,0.0
2020-12-31,1.5043,1.8498,1.489,1.8382,0.0
2021-01-01,1.8377,1.9951,1.7091,1.7976,0.0
2021-01-02,1.7978,2.3589,1.7956,2.1767,0.0
2021-01-03,2.1783,2.49,1.8182,2.4832,0.0
2021-01-04,2.4803,2.5012,2.0527,2.1355,0.0
2021-01-05,2.1385,2.1578,1.6734,1.8753,0.0
2021-01-06,1.8722,2.733,1.8123,2.3651,0.0
2021-01-07,2.365,3.848,2.18,3.222,0.0
2021-01-08,3.222,3.7,2.91,3.3776,0.0
2021-01-09,3.3757,3.764,3.15,3.446,0.0
2021-01-10,3.4453,3.5257,2.5833,3.0988,0.0
2021-01-11,3.0962,3.904,3.0477,3.6276,0.0
2021-01-12,3.629,3.6398,3.2472,3.5291,0.0
2021-01-13,3.5281,3.5674,3.1741,3.2949,0.0
2021-01-14,3.2949,3.4438,2.9739,3.2464,0.0
2021-01-15,3.2456,3.7157,3.1236,3.4259,0.0
2021-01-16,3.4249,4.02,3.3001,3.8328,0.0
2021-01-17,3.8344,4.1747,3.5942,3.7933,0.0
2021-01-18,3.7944,4.0443,3.5953,3.6276,0.0
2021-01-19,3.6279,3.7353,3.324,3.7133,0.0
2021-01-20,3.7153,3.7397,2.9451,2.9793,0.0
2021-01-21,2.9813,3.4972,2.5122,3.3286,0.0
2021-01-22,3.3282,3.6038,3.3,3.5094,0.0
2021-01-23,3.5082,3.7928,3.4802,3.6369,0.0
2021-01-24,3.6353,3.9867,3.44,3.7044,0.0
2021-01-25,3.7024,4.1073,3.6623,4.0447,0.0
2021-01-26,4.043,4.0447,3.5183,3.6727,0.0
2021-01-27,3.6726,3.9681,3.593,3.8139,0.0
2021-01-28,3.8115,3.9314,3.634,3.8409,0.0
2021-01-29,3.8429,4.3318,3.7673,4.2462,0.0
2021-01-30,4.244,4.8252,4.162,4.2628,0.0
2021-01-31,4.2644,4.6234,4.0986,4.6234,0.0
2021-02-01,4.62,5.4668,4.4649,5.2529,0.0
2021-02-02,5.2539,5.8225,5.0671,5.7373,0.0
2021-02-03,5.7373,6.575,5.5813,6.4358,0.0
2021-02-04,6.436,7.18,6.4272,6.7101,0.0
2021-02-05,6.7116,6.836,5.7099,6.1325,0.0
2021-02-06,6.132,6.8786,5.75,6.7037,0.0
2021-02-07,6.7028,8.1208,6.4777,7.8917,0.0
2021-02-08,7.8934,8.5344,7.5675,7.8335,0.0
2021-02-09,7.8412,9.1231,7.2879,9.1102,0.0
2021-02-10,9.1098,9.7175,8.7443,9.2215,0.0
2021-02-11,9.2197,9.9378,9.0606,9.2344,0.0
2021-02-12,9.2368,9.5429,8.6801,8.7627,0.0
2021-02-13,8.7649,9.2621,8.5616,8.7306,0.0
2021-02-14,8.7303,9.3467,7.587,8.8695,0.0
2021-02-15,8.8762,9.0065,7.9613,8.3036,0.0
2021-02-16,8.305,8.4721,7.5269,8.2533,0.0
2021-02-17,8.2552,9.3339,8.2552,8.9956,0.0
2021-02-18,8.9976,11.8291,8.5499,11.5096,0.0
2021-02-19,11.514,11.794,9.8169,9.9965,0.0
2021-02-20,9.9957,11.6436,9.8439,11.0851,0.0
2021-02-21,11.0805,14.555,8.88,14.3413,0.0
2021-02-22,14.3421,15.8026,11.3999,15.2413,0.0
2021-02-23,15.2513,18.1794,14.8462,17.2227,0.0
2021-02-24,17.2343,17.7942,13.718,13.8484,0.0
2021-02-25,13.8489,15.5453,13.1035,13.5941,0.0
2021-02-26,13.599,14.8596,12.9893,13.19,0.0
2021-02-27,13.1862,13.78,11.4245,13.1072,0.0
2021-02-28,13.0973,15.5512,13.0287,15.0036,0.0
2021-03-01,15.0005,15.2846,13.42,13.9565,0.0
2021-03-02,13.9628,14.7641,13.7627,14.0941,0.0
2021-03-03,14.0915,14.2854,12.7583,13.0784,0.0
2021-03-04,13.0804,13.1057,12.1419,12.5659,0.0
2021-03-05,12.5576,13.3026,11.8944,13.0512,0.0
2021-03-06,13.0586,14.0407,12.73,13.845,0.0
2021-03-07,13.8493,13.9463,13.1,13.6344,0.0
2021-03-08,13.6346,15.0332,13.3359,14.9102,0.0
2021-03-09,14.9155,15.249,14.055,14.2333,0.0
2021-03-10,14.2371,16.3334,13.6708,16.0763,0.0
2021-03-11,16.0798,16.5288,14.0713,14.5742,0.0
2021-03-12,14.5796,15.4449,13.9093,15.3216,0.0
2021-03-13,15.3267,15.4014,14.3662,14.4642,0.0
2021-03-14,14.468,14.8548,13.6121,14.184,0.0
2021-03-15,14.1823,14.3216,13.2504,13.6639,0.0
2021-03-16,13.6656,14.3129,13.0263,14.2288,0.0
2021-03-17,14.2327,14.78,13.9803,14.2183,0.0
2021-03-18,14.2142,14.4937,13.84,14.1535,0.0
2021-03-19,14.1579,14.9722,14.0978,14.1892,0.0
2021-03-20,14.1859,14.3876,13.634,14.3395,0.0
2021-03-21,14.3346,16.612,14.1739,14.7957,0.0
2021-03-22,14.8014,15.2136,14.0464,14.142,0.0
2021-03-23,14.1468,15.3607,13.5712,13.5875,0.0
2021-03-24,13.5827,13.7016,12.5356,12.9776,0.0
2021-03-25,12.9801,14.7999,12.35,14.7725,0.0
