date,open,high,low,close,volume
2024-12-09,0.6,0.7497,0.6,0.6937,0.0
2024-12-10,0.6939,0.7709,0.664,0.76,0.0
2024-12-11,0.7601,0.7944,0.6799,0.6883,0.0
2024-12-12,0.6885,0.6957,0.6437,0.6851,0.0
2024-12-13,0.685,0.755,0.6551,0.6865,0.0
2024-12-14,0.6866,0.7829,0.6578,0.7611,0.0
2024-12-15,0.7611,0.8558,0.7557,0.7973,0.0
2024-12-16,0.7975,0.8245,0.7037,0.7151,0.0
2024-12-17,0.7151,0.7313,0.6563,0.6624,0.0
2024-12-18,0.6625,0.6707,0.5759,0.6191,0.0
2024-12-19,0.6191,0.692,0.5358,0.6893,0.0
2024-12-20,0.6891,0.8147,0.6847,0.7458,0.0
2024-12-21,0.7461,0.7504,0.6234,0.6236,0.0
2024-12-22,0.6236,0.7989,0.6142,0.7846,0.0
2024-12-23,0.7847,0.8499,0.7534,0.81,0.0
2024-12-24,0.8099,0.8665,0.7978,0.8142,0.0
2024-12-25,0.8143,0.841,0.7615,0.7715,0.0
2024-12-26,0.7713,0.8181,0.7272,0.7963,0.0
2024-12-27,0.7961,0.9062,0.7873,0.891,0.0
2024-12-28,0.8912,0.94,0.8702,0.9173,0.0
2024-12-29,0.9173,0.9319,0.8493,0.8579,0.0
2024-12-30,0.858,0.9053,0.8394,0.8705,0.0
2024-12-31,0.8706,0.967,0.8648,0.9474,0.0
2025-01-01,0.9475,1.199,0.9188,1.1918,0.0
2025-01-02,1.1918,1.3433,1.1559,1.3252,0.0
2025-01-03,1.3252,1.4249,1.2469,1.3235,0.0
2025-01-04,1.3235,1.57,1.2657,1.5083,0.0
2025-01-05,1.5085,1.6495,1.45,1.5515,0.0
2025-01-06,1.5188,1.5419,1.3325,1.4163,8076907.5
2025-01-07,1.4156,1.4772,1.2986,1.3213,5434597.0
2025-01-08,1.3209,1.3642,1.0318,1.0943,4032403.8
2025-01-09,1.0892,1.3231,1.0866,1.1031,3577433.9
2025-01-10,1.1031,1.1439,1.0547,1.0978,2281657.1
2025-01-11,1.0953,1.1076,0.99312,0.99687,1386864.3
2025-01-12,0.9965,1.0336,0.87251,1.0025,4600114.6
2025-01-13,1.0,1.2453,0.98945,1.0957,4039961.4
2025-01-14,1.093,1.1577,0.93865,1.1171,3655500.3
2025-01-15,1.1177,1.1211,0.9816,1.016,2584927.6
2025-01-16,1.0186,1.5611,1.0031,1.5325,5837082.9
2025-01-17,1.5307,1.5494,1.31,1.4527,9093654.7
2025-01-18,1.4467,1.78,1.2573,1.4533,10746538.8
2025-01-19,1.4525,1.6543,1.3442,1.4609,10099198.7
2025-01-20,1.4558,1.6019,1.2202,1.4116,5566961.0
2025-01-21,1.4081,1.5574,1.3387,1.352,3643307.9
2025-01-22,1.3502,1.4059,1.2428,1.3616,3647183.0
2025-01-23,1.3629,1.4141,1.2,1.2064,3679918.4
2025-01-24,1.2032,1.2736,1.1667,1.2064,1843101.2
2025-01-25,1.2069,1.2516,1.1454,1.1487,1464969.9
2025-01-26,1.1481,1.1682,0.9733,1.1436,7369720.7
2025-01-27,1.14,1.166,1.0056,1.0384,2218190.9
2025-01-28,1.0305,1.2231,1.0304,1.1454,1980537.3
