date,open,high,low,close,volume
2023-05-02,1.3605,1.4097,1.2823,1.3941,6818697.5
2023-05-03,1.3941,1.4925,1.2961,1.329,10893698.0
2023-05-04,1.3295,1.3799,1.2593,1.3056,9615254.0
2023-05-05,1.3058,1.375,1.2692,1.3299,3652759.9
2023-05-06,1.3292,1.346,1.2211,1.2407,7217498.4
2023-05-07,1.2416,1.2432,1.0187,1.1359,17150268.0
2023-05-08,1.1355,1.2107,1.095,1.1826,20230313.9
2023-05-09,1.1832,1.241,1.1145,1.1786,23674359.3
2023-05-10,1.1785,1.1808,1.0338,1.073,16308703.4
2023-05-11,1.0734,1.1219,1.0126,1.114,18338215.7
2023-05-12,1.1142,1.1388,1.0855,1.0988,10813500.4
2023-05-13,1.0987,1.2026,1.0676,1.1586,16319742.4
2023-05-14,1.1584,1.2535,1.1237,1.1919,23345188.5
2023-05-15,1.1918,1.2058,1.1424,1.1642,13543913.7
2023-05-16,1.1646,1.2144,1.1137,1.2121,15319736.8
2023-05-17,1.2119,1.2228,1.1262,1.1409,10180318.3
2023-05-18,1.1406,1.1489,1.1177,1.1304,5344281.2
2023-05-19,1.1302,1.1337,1.1097,1.1235,2631061.8
2023-05-20,1.1239,1.1531,1.0559,1.0717,6634938.7
2023-05-21,1.0722,1.0773,1.0332,1.0496,10104766.7
2023-05-22,1.0497,1.0974,1.0232,1.0527,10727568.4
2023-05-23,1.052,1.0523,0.94311,0.9776,35495227.0
2023-05-24,0.97751,1.0096,0.93958,0.98154,29124562.1
2023-05-25,0.98158,1.0092,0.96363,0.9905,21524074.2
2023-05-26,0.99071,1.0173,0.98261,0.99803,33457339.4
2023-05-27,0.99792,1.0743,0.99193,1.0608,57060274.8
2023-05-28,1.0614,1.0986,1.0228,1.0391,120195546.6
2023-05-29,1.0393,1.0621,0.99333,1.001,51530212.4
2023-05-30,1.0004,1.0089,0.94254,0.97346,38578444.1
2023-05-31,0.97455,0.97918,0.93965,0.94491,43349171.6
2023-06-01,0.94448,0.96224,0.90406,0.9415,73528434.7
2023-06-02,0.94053,0.95644,0.90709,0.93326,36114581.9
2023-06-03,0.93305,0.97798,0.92675,0.9602,40079728.9
2023-06-04,0.96018,0.97102,0.74614,0.81631,94092413.2
2023-06-05,0.81683,0.84942,0.75433,0.83034,97277490.5
2023-06-06,0.8309,0.83101,0.74347,0.75673,149517004.5
2023-06-07,0.75639,0.79346,0.71426,0.72801,347890598.2
2023-06-08,0.72836,0.76228,0.70996,0.738,367352788.1
2023-06-09,0.7381,0.74159,0.5047,0.60911,674227583.5
2023-06-10,0.60911,0.62363,0.58802,0.60442,166206579.3
2023-06-11,0.60445,0.68623,0.56903,0.66282,271934401.8
2023-06-12,0.66282,0.72676,0.66119,0.69698,53485500.5
2023-06-13,0.69661,0.71153,0.62708,0.65014,2196909.7
2023-06-14,0.65001,0.65836,0.62067,0.64895,5139315.7
2023-06-15,0.6478,0.7196,0.62545,0.70579,474574.9
2023-06-16,0.70554,0.7741,0.70353,0.75199,412172.9
2023-06-17,0.74891,0.79137,0.71338,0.71906,300929.7
2023-06-18,0.71522,0.79139,0.70746,0.78347,480364.4
