date,open,high,low,close,volume
2025-01-15,0.8,0.822,0.7609,0.7831,0.0
2025-01-16,0.78449,0.84861,0.76181,0.78023,2469161.0
2025-01-17,0.77978,0.78563,0.66261,0.68153,3564328.0
2025-01-18,0.68073,0.687,0.55003,0.56511,7947286.0
2025-01-19,0.5652,0.62577,0.50197,0.51739,12726542.0
2025-01-20,0.51812,0.63369,0.50066,0.6064,10603465.0
2025-01-21,0.6064,0.65684,0.582,0.59448,16005316.0
2025-01-22,0.59354,0.606,0.56434,0.58178,6310339.0
2025-01-23,0.58106,0.58241,0.52768,0.53571,5330622.0
2025-01-24,0.53579,0.54736,0.52483,0.53816,3393948.0
2025-01-25,0.53858,0.55559,0.51428,0.51514,3526921.0
2025-01-26,0.51484,0.52086,0.45827,0.49454,5999108.0
2025-01-27,0.49477,0.49555,0.43483,0.43989,5598456.0
2025-01-28,0.43961,0.4997,0.43898,0.48725,4610979.0
2025-01-29,0.48725,0.53758,0.48583,0.51869,3913339.0
2025-01-30,0.51842,0.60163,0.50289,0.56467,6929823.0
2025-01-31,0.56467,0.57102,0.48646,0.4916,4805293.0
2025-02-01,0.49143,0.51579,0.42511,0.4586,9780338.0
2025-02-02,0.45869,0.48014,0.31259,0.469,21974989.0
2025-02-03,0.46977,0.47339,0.40904,0.43616,8045611.0
2025-02-04,0.43542,0.46377,0.42471,0.43944,5921429.0
2025-02-05,0.43943,0.47496,0.41784,0.42495,9297880.0
2025-02-06,0.42445,0.44866,0.38138,0.39439,5307313.0
2025-02-07,0.39508,0.41839,0.37542,0.41258,5726156.0
2025-02-08,0.41233,0.41822,0.3932,0.40975,3490600.0
2025-02-09,0.40977,0.4467,0.39811,0.43622,4091852.0
2025-02-10,0.43602,0.48101,0.4351,0.45349,9675945.0
2025-02-11,0.45314,0.56152,0.4505,0.55621,13974882.0
2025-02-12,0.55589,0.58716,0.52398,0.53338,16575699.0
2025-02-13,0.53373,0.55898,0.52959,0.54878,6214123.0
2025-02-14,0.54902,0.56153,0.50869,0.5148,6834080.0
2025-02-15,0.51406,0.53739,0.50761,0.52944,6505585.0
2025-02-16,0.52944,0.62454,0.52944,0.60912,32191281.0
2025-02-17,0.60736,0.62966,0.56533,0.59741,30299995.0
2025-02-18,0.59745,0.73683,0.59191,0.71189,30427818.0
2025-02-19,0.71185,0.90163,0.69665,0.8675,52454573.0
2025-02-20,0.86728,0.9924,0.82751,0.85568,93724539.0
2025-02-21,0.8559,0.91722,0.78828,0.80464,45327272.0
2025-02-22,0.80439,0.85852,0.798,0.85135,25384853.0
2025-02-23,0.85099,0.91887,0.7886,0.80692,62182650.0
2025-02-24,0.80824,0.81969,0.67591,0.76331,80943041.0
2025-02-25,0.76378,0.76941,0.66811,0.72867,49851681.0
2025-02-26,0.72956,0.74977,0.68552,0.697,30222815.0
2025-02-27,0.69721,0.69878,0.616,0.67277,39829554.0
2025-02-28,0.67297,0.76038,0.66694,0.72352,24211569.0
2025-03-01,0.72341,0.78171,0.71413,0.74714,30686892.0
2025-03-02,0.74735,0.74805,0.58596,0.5956,39809295.0
2025-03-03,0.59523,0.59844,0.49374,0.56376,46689934.0
2025-03-04,0.56195,0.61149,0.54001,0.59182,21460158.0
2025-03-05,0.59135,0.62169,0.52968,0.53271,24203068.0
2025-03-06,0.53272,0.54281,0.4992,0.50726,19338087.0
2025-03-07,0.50658,0.52094,0.49907,0.50786,8914600.0
2025-03-08,0.50776,0.51161,0.42983,0.43695,20818655.0
2025-03-09,0.43727,0.46723,0.40767,0.4264,23875805.0
2025-03-10,0.42725,0.44998,0.40266,0.42773,17984571.0
2025-03-11,0.42809,0.45753,0.41101,0.45085,17607593.0
2025-03-12,0.45117,0.50616,0.44601,0.48356,31308454.0
2025-03-13,0.48367,0.54844,0.47904,0.52698,32771964.0
2025-03-14,0.52773,0.56177,0.51807,0.54996,21027374.0
2025-03-15,0.55001,0.55084,0.48522,0.49509,22671828.0
2025-03-16,0.49551,0.51678,0.48964,0.50045,25735340.0
2025-03-17,0.50049,0.50049,0.46964,0.49458,14339728.0
2025-03-18,0.49417,0.5543,0.49417,0.55,30824847.0
2025-03-19,0.55,0.55857,0.50663,0.51126,29022210.0
