date,open,high,low,close,volume
2024-02-18,645.44,648.94,597.87,641.11,2082.697
2024-02-19,643.84,655.18,555.0,627.82,3344.983
2024-02-20,620.0,648.96,560.5,629.54,2601.349
2024-02-21,632.18,650.18,570.33,596.42,15727.378
2024-02-22,593.08,611.51,573.19,584.18,5293.084
2024-02-23,585.02,602.44,559.88,560.13,1742.917
2024-02-24,561.47,595.6,550.0,572.51,14406.691
2024-02-25,569.15,630.43,564.77,593.0,7946.096
2024-02-26,601.32,646.46,569.53,606.49,8229.238
2024-02-27,606.54,670.0,474.64,609.53,12037.369
2024-02-28,611.15,649.82,601.3,616.53,3746.421
2024-02-29,631.15,733.33,612.8,672.51,13264.502
2024-03-01,681.0,705.69,638.11,645.07,4840.483
2024-03-02,656.66,664.37,622.41,635.97,4085.069
2024-03-03,630.43,672.32,622.06,647.9,5013.898
2024-03-04,647.08,728.32,610.56,680.72,5590.6
2024-03-05,679.53,756.93,660.0,716.31,4586.898
2024-03-06,716.4,768.34,685.51,731.62,11112.462
2024-03-07,732.22,745.61,670.78,694.46,4751.637
2024-03-08,694.74,742.5,681.4,719.24,5559.343
2024-03-09,718.5,724.81,672.97,685.13,3599.633
2024-03-10,692.08,713.45,650.72,690.31,4052.338
2024-03-11,690.44,700.02,665.82,681.91,4106.061
2024-03-12,681.72,705.5,640.05,645.0,6219.613
2024-03-13,646.88,657.66,607.65,634.54,8056.783
2024-03-14,636.04,651.09,550.0,622.3,6417.076
2024-03-15,622.29,660.88,575.35,604.55,5240.113
2024-03-16,604.4,716.24,595.0,696.48,4794.651
2024-03-17,696.77,766.09,659.54,721.26,3790.109
2024-03-18,720.62,732.02,601.26,609.97,5712.28
2024-03-19,612.55,728.95,603.08,687.0,2226.539
2024-03-20,686.59,723.0,603.83,609.6,3265.097
2024-03-21,610.26,643.0,560.74,578.54,3527.816
2024-03-22,579.32,599.13,557.61,570.15,2101.147
2024-03-23,569.52,608.95,561.79,601.12,2690.565
2024-03-24,601.12,635.02,588.26,626.03,1781.832
2024-03-25,625.65,644.8,573.26,586.02,1807.133
2024-03-26,585.95,588.0,528.95,536.05,2211.555
2024-03-27,536.04,569.74,521.05,534.75,1765.472
2024-03-28,534.15,544.09,496.0,523.08,3059.367
2024-03-29,521.97,535.12,472.31,496.03,2759.008
2024-03-30,496.35,546.8,492.53,523.21,3304.834
2024-03-31,524.93,583.19,480.0,579.83,4713.583
2024-04-01,578.89,602.97,507.39,525.97,4317.825
2024-04-02,525.55,598.89,522.36,558.86,4718.602
2024-04-03,559.65,624.53,519.95,601.13,5603.412
2024-04-04,601.28,603.29,561.64,569.43,4972.892
2024-04-05,569.62,580.52,548.52,553.38,1312.805
2024-04-06,553.2,569.22,546.67,566.88,2076.544
2024-04-07,567.31,599.16,562.4,570.9,2616.506
2024-04-08,571.33,601.95,561.51,593.93,2140.207
2024-04-09,593.17,651.58,550.47,573.81,4642.868
2024-04-10,573.51,786.61,572.5,625.79,26278.634
2024-04-11,625.65,644.24,469.12,542.39,10129.421
2024-04-12,538.25,570.84,372.17,508.29,7459.015
2024-04-13,508.19,622.22,466.27,586.75,4854.803
2024-04-14,586.58,593.79,519.36,525.17,2007.763
2024-04-15,524.99,535.75,451.82,499.28,3210.448
2024-04-16,499.79,510.0,438.18,454.68,3053.73
2024-04-17,453.98,475.26,434.56,465.42,4292.541
2024-04-18,465.93,475.45,426.12,440.9,3674.352
2024-04-19,441.45,492.03,433.95,485.5,2552.157
2024-04-20,485.29,489.54,456.8,474.59,2502.582
2024-04-21,474.85,530.65,465.96,521.59,2889.646
2024-04-22,520.75,531.63,493.92,500.16,2429.582
2024-04-23,499.71,506.94,444.62,451.49,3589.83
2024-04-24,451.2,472.66,440.12,461.07,2712.218
2024-04-25,461.11,461.86,426.01,426.84,1212.068
2024-04-26,427.22,429.84,409.91,422.45,5961.936
2024-04-27,422.5,438.4,419.56,422.81,959.029
2024-04-28,422.86,430.13,384.44,401.92,2833.543
2024-04-29,402.62,406.54,365.99,388.96,4681.166
2024-04-30,388.63,392.39,340.61,381.71,5234.846
2024-05-01,381.34,414.12,366.47,405.33,2623.948
2024-05-02,405.0,435.53,391.01,426.23,3025.463
2024-05-03,426.24,469.97,424.1,447.01,2353.645
2024-05-04,446.88,479.52,430.37,455.58,2475.046
2024-05-05,455.73,488.11,439.04,442.05,3046.386
2024-05-06,442.31,456.94,418.45,419.34,3070.253
2024-05-07,418.96,428.37,376.84,392.24,4963.646
2024-05-08,392.0,408.19,381.69,393.72,2806.269
2024-05-09,393.55,400.07,367.49,377.26,2307.093
2024-05-10,377.36,385.17,371.11,375.11,3770.922
2024-05-11,374.75,382.42,359.93,363.36,1784.633
2024-05-12,363.32,376.61,340.43,357.67,19434.983
2024-05-13,357.64,359.61,334.26,344.2,3527.829
2024-05-14,344.11,397.79,341.45,389.88,5195.893
2024-05-15,390.16,405.35,375.17,381.98,4727.938
2024-05-16,382.4,398.62,377.0,380.7,1809.653
2024-05-17,380.67,390.3,375.76,382.43,1367.045
2024-05-18,382.69,394.02,359.5,365.87,2922.056
2024-05-19,365.55,418.21,358.96,407.02,12866.584
2024-05-20,407.8,451.21,390.21,424.48,8846.4
2024-05-21,424.16,476.57,403.89,447.11,11338.414
2024-05-22,447.95,490.77,430.0,450.45,13642.873
2024-05-23,450.75,469.12,422.75,436.71,2696.37
2024-05-24,436.58,448.33,422.66,425.08,1209.823
2024-05-25,425.19,445.53,417.21,436.25,1805.531
2024-05-26,436.27,451.09,425.56,438.76,844.798
2024-05-27,438.63,439.57,413.73,419.71,1181.064
2024-05-28,419.53,427.46,394.41,395.88,1167.133
2024-05-29,395.19,413.85,383.85,391.02,1861.978
2024-05-30,390.68,397.74,378.91,389.62,1496.995
2024-05-31,389.54,403.03,386.36,387.25,3639.949
2024-06-01,386.83,402.56,379.48,381.8,4499.821
2024-06-02,381.53,390.96,374.0,379.28,7251.005
2024-06-03,379.27,400.92,378.2,398.57,8966.793
2024-06-04,398.62,425.47,395.31,419.91,13393.668
2024-06-05,419.68,434.75,403.89,424.72,8021.836
2024-06-06,424.77,435.86,315.51,392.68,19758.77
2024-06-07,392.06,399.14,359.0,362.25,4839.383
2024-06-08,361.75,368.56,353.43,362.54,1861.899
2024-06-09,362.16,368.2,337.84,343.12,3755.103
2024-06-10,343.02,349.01,315.0,326.24,5280.806
2024-06-11,325.75,372.44,311.1,354.1,7428.392
2024-06-12,354.06,356.04,312.2,316.04,13303.904
2024-06-13,316.16,324.4,290.99,302.98,10788.677
2024-06-14,302.45,309.47,295.76,302.25,5439.761
2024-06-15,302.21,317.73,298.81,306.28,2987.87
2024-06-16,306.86,309.22,281.21,288.81,4236.665
2024-06-17,288.69,294.83,237.74,293.52,6670.545
2024-06-18,291.9,314.94,286.36,299.7,6500.085
2024-06-19,299.19,320.93,295.51,298.97,5900.788
2024-06-20,299.7,301.2,282.43,286.52,3690.169
2024-06-21,286.53,288.92,276.69,278.86,1315.032
2024-06-22,279.07,290.46,269.22,272.21,4718.616
2024-06-23,272.4,284.9,260.0,276.56,11631.501
2024-06-24,276.51,295.54,273.26,289.24,3035.06
2024-06-25,289.22,290.64,275.6,279.99,2688.538
2024-06-26,280.09,291.39,272.75,285.02,1770.452
2024-06-27,284.95,292.72,265.44,268.46,2780.926
2024-06-28,268.44,273.17,258.28,260.16,1779.383
2024-06-29,259.74,276.04,252.37,272.46,3412.76
2024-06-30,272.45,285.02,271.1,276.58,4113.719
2024-07-01,276.3,280.46,236.68,242.33,11636.16
2024-07-02,242.35,243.04,224.78,237.05,17487.107
2024-07-03,236.88,239.86,214.65,222.06,7759.206
2024-07-04,221.75,229.94,191.82,224.06,17230.85
2024-07-05,223.51,232.81,219.43,230.94,3691.478
2024-07-06,230.79,232.68,213.34,216.12,3252.049
2024-07-07,216.76,241.43,205.0,231.55,5142.291
2024-07-08,230.71,267.71,229.13,254.98,5177.339
2024-07-09,255.49,272.35,251.91,259.82,6122.733
