date,open,high,low,close,volume
2023-10-18,1.5153,1.5262,1.4887,1.5262,3283.2
2023-10-19,1.529,1.6789,1.5035,1.6789,64360.5
2023-10-20,1.65,1.8042,1.65,1.8042,4330.6
2023-10-21,1.8066,1.8975,1.7886,1.862,5456.0
2023-10-22,1.8986,2.0034,1.8699,2.0,8263.3
2023-10-23,2.003,2.5732,1.9788,2.4933,112592.3
2023-10-24,2.4933,2.8288,2.4894,2.8288,67034.3
2023-10-25,2.8328,3.1471,2.74,2.8445,31099.6
2023-10-26,2.8297,2.863,2.431,2.4725,14065.8
2023-10-27,2.4727,2.6686,2.4367,2.6308,16278.8
2023-10-28,2.6308,2.6585,2.529,2.5671,6972.0
2023-10-29,2.5671,3.0712,2.5671,2.8049,104599.4
2023-10-30,2.855,3.2,2.03,2.283,1576783.4
2023-10-31,2.2791,2.675,2.1411,2.5469,875745.4
2023-11-01,2.5515,2.85,2.2786,2.4052,1267183.1
2023-11-02,2.4148,2.4858,2.2282,2.3937,524152.7
2023-11-03,2.3899,2.4926,2.3569,2.4308,500512.4
2023-11-04,2.4343,2.4739,2.2489,2.308,372024.5
2023-11-05,2.3108,2.3941,2.2507,2.369,2021169.3
2023-11-06,2.37,2.4577,2.2253,2.3397,871346.4
2023-11-07,2.3381,2.4104,2.2976,2.3734,793561.3
2023-11-08,2.3737,2.6423,2.2441,2.4554,1495484.0
2023-11-09,2.4559,3.3,2.3656,3.1911,1565495.4
2023-11-10,3.1826,4.2632,3.1425,3.9717,2006539.4
2023-11-11,3.983,4.8467,3.7182,4.6295,2320404.7
2023-11-12,4.6311,5.9651,4.3634,4.3634,2723817.0
2023-11-13,4.4717,6.3658,4.225,5.989,2077611.7
2023-11-14,5.9867,6.5142,5.7364,5.8567,1685175.1
2023-11-15,5.8834,6.38,5.4357,5.7485,1466747.0
2023-11-16,5.7557,7.0815,5.7147,7.0612,1673351.2
2023-11-17,7.0494,7.4285,6.4138,7.1461,1010718.4
2023-11-18,7.1479,7.4075,6.6313,6.8032,899417.4
2023-11-19,6.8051,7.0699,5.8696,5.976,1151896.2
2023-11-20,5.9749,6.1401,5.0211,5.0329,2442051.4
2023-11-21,5.0308,6.3172,5.0244,6.107,1079033.5
2023-11-22,6.0924,6.3567,5.63,5.6403,578829.5
2023-11-23,5.6593,5.8148,5.4087,5.5248,838484.9
2023-11-24,5.5207,5.9823,5.4704,5.9568,552988.5
2023-11-25,5.9535,5.9603,5.3552,5.4419,483487.9
2023-11-26,5.4387,5.923,5.1438,5.8879,912758.3
2023-11-27,5.9006,6.4939,5.5,6.2422,622775.8
2023-11-28,6.2473,6.7034,5.984,6.0296,1025639.9
2023-11-29,6.0292,6.4967,5.9333,6.3893,658528.3
2023-11-30,6.4008,7.2658,6.2823,7.0992,943922.5
2023-12-01,7.1016,9.222,7.0531,8.8801,1823462.0
2023-12-02,8.8804,9.3124,8.0632,8.5964,1362249.9
2023-12-03,8.593,9.85,8.1348,8.9228,2876112.2
