date,open,high,low,close,volume
2025-01-17,8.7494,35.0,8.6541,28.433,69452445.6
2025-01-18,28.433,88.8,24.01,46.632,97010247.1
2025-01-19,46.644,64.239,34.5,36.47,51310790.5
2025-01-20,36.48,48.536,30.331,43.808,41349756.6
2025-01-21,43.809,44.56,36.092,36.848,12954739.9
2025-01-22,36.871,39.672,34.098,34.705,15706224.1
2025-01-23,34.7,35.473,29.094,30.172,8634000.0
2025-01-24,30.192,30.648,25.715,28.894,16387296.8
2025-01-25,28.903,32.357,27.075,27.402,10629667.8
2025-01-26,27.388,28.262,24.65,28.043,11765255.8
2025-01-27,28.044,30.544,26.272,27.331,10789439.1
2025-01-28,27.328,28.701,26.3,27.253,4819148.2
2025-01-29,27.263,28.325,25.797,26.06,3185240.9
2025-01-30,26.051,26.666,23.639,24.137,4456491.9
2025-01-31,24.134,25.042,18.519,19.68,11164878.7
2025-02-01,19.677,22.626,19.364,21.004,11825561.6
2025-02-02,21.017,21.199,15.881,19.672,15171672.5
2025-02-03,19.673,19.791,16.326,17.197,7039800.9
2025-02-04,17.196,20.647,17.196,18.155,6966791.8
2025-02-05,18.166,19.509,16.799,17.087,4615670.0
2025-02-06,17.088,18.259,16.15,16.571,4575001.9
2025-02-07,16.559,17.482,16.194,17.24,2068734.7
2025-02-08,17.248,17.932,15.322,15.874,3219083.0
2025-02-09,15.862,16.546,14.344,15.903,3163858.2
2025-02-10,15.914,16.794,15.211,15.351,1457214.9
2025-02-11,15.331,15.561,14.459,15.452,2021647.3
2025-02-12,15.446,17.946,15.289,16.292,4224811.7
2025-02-13,16.293,24.48,15.838,21.563,11784789.0
2025-02-14,21.517,22.4,18.1,18.675,6359604.3
2025-02-15,18.649,19.57,18.233,18.744,2772448.2
2025-02-16,18.745,19.341,16.821,17.179,4544672.6
2025-02-17,17.156,17.427,15.606,16.367,4272230.7
2025-02-18,16.369,17.409,16.054,17.03,2606096.6
2025-02-19,17.06,17.453,16.573,17.092,1656758.7
2025-02-20,17.088,17.39,15.67,15.897,2294399.1
2025-02-21,15.899,16.781,15.738,16.524,1148463.7
2025-02-22,16.525,16.6,15.819,16.134,555914.5
2025-02-23,16.134,16.299,12.241,12.928,3132354.6
2025-02-24,12.929,13.647,12.329,13.244,3531661.0
2025-02-25,13.25,13.336,12.441,13.305,1613436.6
2025-02-26,13.288,13.636,12.34,12.59,1292524.7
2025-02-27,12.59,13.529,11.076,12.955,6599233.0
2025-02-28,12.955,14.497,12.666,13.165,3318662.4
2025-03-01,13.166,17.749,13.129,16.965,6962142.7
