date,open,high,low,close,volume
2020-11-14,3.8133,4.2381,3.6134,3.8482,0.0
2020-11-15,3.8489,3.9447,3.4501,3.5688,0.0
2020-11-16,3.5689,3.8914,3.4772,3.8191,0.0
2020-11-17,3.8187,3.861,3.2694,3.4632,0.0
2020-11-18,3.4632,3.8951,3.23,3.7466,0.0
2020-11-19,3.7463,4.1,3.6833,3.8611,0.0
2020-11-20,3.8607,3.949,3.59,3.8467,0.0
2020-11-21,3.8484,3.98,3.4051,3.6853,0.0
2020-11-22,3.6833,4.2532,3.6334,4.1945,0.0
2020-11-23,4.1938,4.5059,3.9445,4.0747,0.0
2020-11-24,4.0758,4.2142,3.5324,3.68,0.0
2020-11-25,3.679,3.7755,3.0968,3.4341,0.0
2020-11-26,3.4349,3.5399,3.162,3.3073,0.0
2020-11-27,3.3073,3.532,3.2556,3.4611,0.0
2020-11-28,3.4604,3.5736,3.3605,3.5519,0.0
2020-11-29,3.5529,3.816,3.5328,3.7792,0.0
2020-11-30,3.7784,3.993,3.4027,3.5502,0.0
2020-12-01,3.5484,4.1751,3.4974,3.9477,0.0
2020-12-02,3.9461,4.0273,3.8,3.8855,0.0
2020-12-03,3.884,3.925,3.5,3.5203,0.0
2020-12-04,3.5201,3.7,3.442,3.6836,0.0
2020-12-05,3.6829,3.7947,3.5109,3.6519,0.0
2020-12-06,3.6515,3.884,3.5652,3.761,0.0
2020-12-07,3.7612,3.7698,3.28,3.3013,0.0
2020-12-08,3.301,3.3955,3.1175,3.3524,0.0
2020-12-09,3.3522,3.3733,3.1911,3.242,0.0
2020-12-10,3.2428,3.2506,2.91,2.9616,0.0
2020-12-11,2.9633,3.1772,2.9607,3.1245,0.0
2020-12-12,3.1239,3.3644,3.0726,3.3406,0.0
2020-12-13,3.3405,3.5453,3.2386,3.4801,0.0
2020-12-14,3.48,3.5196,3.3108,3.3307,0.0
2020-12-15,3.3307,3.5489,3.2438,3.5407,0.0
2020-12-16,3.5407,4.0077,3.4354,3.697,0.0
2020-12-17,3.697,3.8642,3.551,3.7705,0.0
2020-12-18,3.7705,4.25,3.7083,3.965,0.0
2020-12-19,3.9652,4.0333,3.707,3.7667,0.0
2020-12-20,3.7659,3.9289,3.4233,3.5166,0.0
2020-12-21,3.5148,3.7797,3.2845,3.7363,0.0
2020-12-22,3.7356,3.7827,3.0074,3.3176,0.0
2020-12-23,3.3199,3.5299,3.1619,3.5256,0.0
2020-12-24,3.5267,3.656,3.3749,3.5062,0.0
2020-12-25,3.5071,3.607,3.3614,3.42,0.0
2020-12-26,3.4208,3.8116,3.3543,3.6035,0.0
2020-12-27,3.6033,3.9497,3.5723,3.7336,0.0
2020-12-28,3.7324,3.8489,3.5025,3.6756,0.0
2020-12-29,3.6758,4.3875,3.631,4.154,0.0
2020-12-30,4.1536,5.2965,3.9376,5.155,0.0
2020-12-31,5.1549,5.274,4.6101,4.7407,0.0
2021-01-01,4.7421,5.1893,4.4863,4.8617,0.0
2021-01-02,4.8622,5.66,4.6801,5.5249,0.0
2021-01-03,5.5274,6.2476,4.869,5.432,0.0
2021-01-04,5.428,6.574,5.2069,6.2595,0.0
2021-01-05,6.2623,6.6141,6.0177,6.4222,0.0
2021-01-06,6.4277,6.8467,6.0201,6.279,0.0
2021-01-07,6.28,6.3898,5.4696,5.8836,0.0
2021-01-08,5.8878,6.3781,5.6717,6.2393,0.0
2021-01-09,6.2393,6.5964,5.5538,5.99,0.0
2021-01-10,5.99,6.012,4.4,5.2402,0.0
2021-01-11,5.2437,5.8285,4.968,5.5912,0.0
2021-01-12,5.5947,6.3927,5.2674,6.3426,0.0
2021-01-13,6.3449,7.1419,6.1838,6.973,0.0
2021-01-14,6.9724,7.5063,6.4028,7.3762,0.0
2021-01-15,7.3778,9.439,7.2043,8.4052,0.0
2021-01-16,8.4102,9.2,8.0784,8.6869,0.0
2021-01-17,8.6943,9.8911,8.314,9.2063,0.0
2021-01-18,9.2103,9.7299,8.4857,8.5996,0.0
2021-01-19,8.5982,9.0585,7.6578,8.988,0.0
2021-01-20,8.9819,9.0506,7.3256,7.5995,0.0
2021-01-21,7.5937,9.0365,7.0329,8.6951,0.0
2021-01-22,8.7005,9.55,8.5022,9.3467,0.0
2021-01-23,9.3505,12.3198,9.1673,12.0512,0.0
2021-01-24,12.0512,12.9089,10.8888,11.3156,0.0
2021-01-25,11.3138,14.2691,11.1621,13.9081,0.0
2021-01-26,13.9081,15.495,13.0081,14.7215,0.0
2021-01-27,14.7392,15.3845,13.5165,14.1217,0.0
2021-01-28,14.1218,15.8281,14.0657,15.6636,0.0
2021-01-29,15.668,19.6752,15.1132,19.5551,0.0
2021-01-30,19.5762,20.5829,17.4,17.7516,0.0
2021-01-31,17.7441,20.8307,16.7113,20.5017,0.0
2021-02-01,20.502,20.6525,18.131,19.0051,0.0
2021-02-02,19.0051,20.636,18.7406,19.7753,0.0
2021-02-03,19.7685,21.6916,19.028,20.1483,0.0
2021-02-04,20.1617,22.6875,19.5784,21.1991,0.0
2021-02-05,21.2027,21.7693,19.237,19.2986,0.0
2021-02-06,19.3031,19.7243,17.1,18.6843,0.0
2021-02-07,18.688,20.2672,18.1461,19.3793,0.0
2021-02-08,19.3758,20.0282,18.9628,19.5536,0.0
2021-02-09,19.5527,22.5,19.3,20.7165,0.0
2021-02-10,20.7054,22.1,20.1276,21.5345,0.0
2021-02-11,21.5283,24.0607,21.3087,22.7,0.0
2021-02-12,22.7001,23.7203,21.2515,21.8543,0.0
2021-02-13,21.8647,22.6854,20.7022,20.863,0.0
2021-02-14,20.8681,21.5872,16.7095,20.1047,0.0
2021-02-15,20.1012,21.3683,19.3868,20.4965,0.0
2021-02-16,20.4889,21.9506,19.1528,21.5581,0.0
2021-02-17,21.554,22.3486,20.6195,21.1869,0.0
2021-02-18,21.1954,21.598,19.2999,20.1054,0.0
2021-02-19,20.1075,33.2375,19.5245,28.7711,0.0
2021-02-20,28.7621,32.2,27.7029,28.84,0.0
2021-02-21,28.8478,29.2037,17.5103,27.7285,0.0
2021-02-22,27.7145,27.8225,18.0,24.8499,0.0
2021-02-23,24.8427,27.3533,23.0843,25.2542,0.0
2021-02-24,25.2452,27.0,23.1006,23.5103,0.0
2021-02-25,23.5014,25.2105,21.0002,23.1188,0.0
2021-02-26,23.1154,24.9006,22.306,23.5588,0.0
2021-02-27,23.5545,24.1537,20.5,22.2342,0.0
2021-02-28,22.2389,25.7729,22.0749,25.7718,0.0
2021-03-01,25.7716,27.52,24.5231,25.5372,0.0
2021-03-02,25.5487,27.6544,25.2839,25.3835,0.0
2021-03-03,25.3754,29.8298,24.7608,28.3053,0.0
2021-03-04,28.3097,28.8047,25.8538,28.3138,0.0
2021-03-05,28.3138,29.0983,27.2053,28.5264,0.0
2021-03-06,28.534,34.9329,28.4971,34.2945,0.0
2021-03-07,34.3012,34.9499,32.0501,33.3088,0.0
2021-03-08,33.3211,34.8801,32.4222,32.9799,0.0
2021-03-09,32.9779,33.6486,30.355,30.9415,0.0
2021-03-10,30.9503,31.8776,29.4415,31.0675,0.0
2021-03-11,31.0689,32.0367,29.2,30.9554,0.0
2021-03-12,30.9676,33.4571,30.2303,32.5155,0.0
2021-03-13,32.5329,33.8336,30.6348,30.6672,0.0
2021-03-14,30.6637,31.5829,29.5033,29.8326,0.0
2021-03-15,29.8109,30.09,27.9621,30.0805,0.0
2021-03-16,30.0803,31.7075,29.4164,31.349,0.0
2021-03-17,31.3427,31.683,29.7535,30.021,0.0
2021-03-18,30.0129,34.2899,29.4844,33.3195,0.0
2021-03-19,33.3326,35.2718,31.891,32.104,0.0
2021-03-20,32.1078,33.3457,31.5466,32.9581,0.0
2021-03-21,32.9709,35.9182,31.8113,32.8598,0.0
2021-03-22,32.8646,37.0032,30.282,31.0137,0.0
2021-03-23,31.0137,31.9022,25.272,27.2252,0.0
2021-03-24,27.2169,28.1008,25.6,26.523,0.0
2021-03-25,26.52,29.0436,26.4792,28.91,0.0
2021-03-26,28.91,29.5162,27.8361,28.2226,0.0
2021-03-27,28.2211,28.9477,27.3502,27.896,0.0
2021-03-28,27.9077,29.5714,27.5403,29.048,0.0
2021-03-29,29.0504,29.34,28.3215,28.6021,0.0
2021-03-30,28.6029,29.1,26.6265,28.1142,0.0
2021-03-31,28.1195,30.3845,28.1169,28.715,0.0
2021-04-01,28.7213,30.3688,28.7121,30.2742,0.0
2021-04-02,30.2729,32.5296,29.3376,29.4398,0.0
2021-04-03,29.4298,31.6282,28.9,30.9745,0.0
2021-04-04,30.978,31.3326,29.712,30.9,0.0
2021-04-05,30.9002,32.5512,30.078,31.2786,0.0
2021-04-06,31.2821,31.4792,27.7515,28.5772,0.0
2021-04-07,28.583,30.304,28.3533,30.2088,0.0
2021-04-08,30.2085,30.6267,29.3251,29.5525,0.0
2021-04-09,29.5519,30.8991,29.1944,29.8201,0.0
2021-04-10,29.8206,30.7368,29.2566,29.988,0.0
2021-04-11,29.9876,38.3448,29.6157,36.7741,0.0
2021-04-12,36.7763,37.2371,34.3,35.5052,0.0
