date,open,high,low,close,volume
2024-12-09,1.4101,1.74,1.4101,1.5622,0.0
2024-12-10,1.5624,1.9606,1.497,1.9109,0.0
2024-12-11,1.9116,2.1815,1.8185,2.1771,0.0
2024-12-12,2.1777,2.6255,2.1028,2.4601,0.0
2024-12-13,2.46,2.6514,2.4132,2.4497,0.0
2024-12-14,2.4498,2.78,2.3263,2.7157,0.0
2024-12-15,2.772,3.34,2.7235,2.9638,4769476.9
2024-12-16,2.9592,3.016,2.532,2.5828,5640611.6
2024-12-17,2.5826,2.9757,2.5181,2.5353,7965856.9
2024-12-18,2.5404,2.7274,2.1063,2.2727,9535675.3
2024-12-19,2.2724,2.842,2.004,2.8182,9686300.5
2024-12-20,2.8328,2.8518,2.4531,2.5028,3745634.6
2024-12-21,2.5031,2.5637,2.2302,2.3387,4756918.0
2024-12-22,2.3339,3.061,2.2575,3.0372,7302505.6
2024-12-23,3.0277,3.2821,2.9734,3.0396,6246062.1
2024-12-24,3.0356,3.2972,2.9,3.1782,4363975.5
2024-12-25,3.1739,3.298,2.8207,3.0333,6117833.9
2024-12-26,3.0315,3.603,2.9329,3.5467,6747308.2
2024-12-27,3.5581,3.5767,3.2598,3.4144,4520358.8
2024-12-28,3.4141,3.7442,3.3676,3.5996,5809284.8
2024-12-29,3.601,3.6744,3.2729,3.51,6962231.4
2024-12-30,3.5068,4.1431,3.4005,3.9245,7613274.2
2024-12-31,3.9238,4.6803,3.8314,4.631,7309478.1
2025-01-01,4.6324,5.1532,4.3624,4.542,13852563.1
2025-01-02,4.5437,4.6459,4.112,4.2833,12674898.0
2025-01-03,4.2877,4.5571,4.1514,4.425,6243462.1
2025-01-04,4.4211,4.4302,3.9614,4.009,4387337.3
2025-01-05,4.0075,4.4555,3.85,3.8708,6609010.0
2025-01-06,3.8678,4.1069,3.6322,3.6983,12013096.6
2025-01-07,3.7014,3.7425,3.213,3.5931,15645100.8
2025-01-08,3.5928,3.6039,3.0893,3.1222,8408071.8
2025-01-09,3.1197,3.5283,2.9205,3.1559,13247470.3
2025-01-10,3.1583,3.1649,2.8459,2.9935,8588259.0
2025-01-11,2.9934,3.007,2.6635,2.6878,6847902.8
2025-01-12,2.6848,2.8021,2.2278,2.6726,22586214.6
2025-01-13,2.6749,3.1254,2.6059,3.0083,15845244.2
2025-01-14,3.0112,4.0,2.8308,3.7839,16353611.2
2025-01-15,3.7839,3.9055,3.3418,3.3435,10006341.5
2025-01-16,3.3421,3.5675,3.2937,3.3155,8743326.2
2025-01-17,3.3214,3.3501,2.8047,3.0628,11514020.4
2025-01-18,3.0634,3.1742,2.5503,2.582,15874283.7
2025-01-19,2.5818,2.9195,2.3519,2.7089,9400953.5
2025-01-20,2.7059,2.8822,2.43,2.7326,7890788.8
2025-01-21,2.7309,3.1474,2.7021,2.7529,11334840.6
2025-01-22,2.7539,2.7794,2.5182,2.5826,7400147.7
2025-01-23,2.586,2.6862,2.4175,2.4418,4596724.2
2025-01-24,2.4359,2.655,2.3427,2.4366,6008784.9
2025-01-25,2.4484,2.5407,2.25,2.2534,3620363.5
2025-01-26,2.2534,2.2719,1.8755,2.1368,8574979.0
2025-01-27,2.1357,2.185,1.8275,1.8679,5735755.6
2025-01-28,1.8732,2.1405,1.869,1.9258,6633260.9
2025-01-29,1.9268,2.1455,1.8854,2.01,5647077.9
2025-01-30,2.0105,2.6247,1.947,1.9745,14963660.0
2025-01-31,1.963,2.093,1.5801,1.6013,10549126.3
2025-02-01,1.6012,1.6846,1.3478,1.4409,12746659.8
2025-02-02,1.443,1.6119,1.0476,1.5844,16856441.3
2025-02-03,1.5838,1.6373,1.3964,1.4369,9280113.8
2025-02-04,1.4347,1.5438,1.2768,1.2954,11321133.0
2025-02-05,1.2976,1.3574,1.105,1.1592,8758924.8
2025-02-06,1.1592,1.3727,1.1115,1.1497,10599334.1
2025-02-07,1.1469,1.2676,1.1398,1.2455,4688667.4
2025-02-08,1.2454,1.2913,1.0742,1.1359,4491458.1
2025-02-09,1.1367,1.2758,1.078,1.1959,7093436.2
2025-02-10,1.1959,1.4577,1.1931,1.3292,20343901.2
2025-02-11,1.3249,1.4117,1.1824,1.3789,17230470.2
2025-02-12,1.379,1.4319,1.2493,1.2808,7326815.6
2025-02-13,1.2837,1.4938,1.2633,1.4112,8839129.6
2025-02-14,1.4112,1.4123,1.2784,1.2976,3315657.5
2025-02-15,1.2976,1.3314,1.2367,1.252,4601856.4
2025-02-16,1.2518,1.2761,1.122,1.1514,16183514.8
2025-02-17,1.1519,1.1655,0.94159,1.0054,8277926.7
2025-02-18,1.0043,1.0321,0.9339,0.9691,6875802.1
2025-02-19,0.96858,1.1609,0.9496,1.145,15473014.1
2025-02-20,1.1451,1.32,1.0911,1.1224,16952609.9
2025-02-21,1.1177,1.2966,1.1,1.2373,5030828.7
2025-02-22,1.2385,1.2556,1.139,1.1717,4036522.9
2025-02-23,1.1721,1.2333,0.99286,1.0073,7352016.4
2025-02-24,1.0073,1.1345,0.96277,1.0991,9324189.3
2025-02-25,1.1,1.1923,1.075,1.1544,7129971.4
2025-02-26,1.1592,1.1914,1.042,1.0641,4475020.3
2025-02-27,1.0635,1.1113,0.97376,1.1032,6601319.6
2025-02-28,1.1071,1.1229,1.0273,1.0533,2396950.0
2025-03-01,1.0529,1.2252,1.025,1.213,3452384.2
2025-03-02,1.2156,1.2178,0.93451,0.9543,4766470.2
2025-03-03,0.95311,0.96135,0.80456,0.89003,8415114.9
2025-03-04,0.88989,0.92693,0.85404,0.8734,2037486.3
2025-03-05,0.87404,0.88,0.76448,0.78231,4984742.6
2025-03-06,0.78367,0.7973,0.70842,0.71785,4427712.2
2025-03-07,0.71808,0.75327,0.6795,0.69358,3039237.0
2025-03-08,0.69354,0.72519,0.6114,0.61411,6819990.6
2025-03-09,0.61675,0.6655,0.54868,0.55754,12223773.2
2025-03-10,0.55891,0.58994,0.51643,0.57281,8215504.7
2025-03-11,0.57687,0.60545,0.5436,0.60518,5755286.1
2025-03-12,0.60438,0.63205,0.55533,0.57626,5683316.6
2025-03-13,0.57627,0.70198,0.57358,0.67655,7644613.0
2025-03-14,0.6755,0.74428,0.66502,0.72346,3060086.8
2025-03-15,0.72585,0.7945,0.71682,0.7214,6054938.4
2025-03-16,0.72214,0.79412,0.70768,0.74795,5400668.1
2025-03-17,0.74782,0.74783,0.65722,0.67137,3785086.6
2025-03-18,0.67046,0.71475,0.64349,0.69957,10252125.9
2025-03-19,0.6999,0.71454,0.64406,0.67947,6589997.4
2025-03-20,0.68,0.73102,0.65978,0.72687,5093703.3
2025-03-21,0.72814,0.75258,0.68989,0.72065,3267186.9
2025-03-22,0.72133,0.7747,0.71418,0.77284,2968395.5
2025-03-23,0.77212,0.84289,0.73798,0.8061,4916796.5
2025-03-24,0.80325,0.82647,0.77235,0.80779,1957465.1
2025-03-25,0.80738,0.82642,0.73065,0.74716,3596065.0
2025-03-26,0.74721,0.7654,0.72277,0.74028,2132408.8
2025-03-27,0.74135,0.74529,0.64156,0.65821,3969059.1
2025-03-28,0.65841,0.66548,0.5953,0.60714,4018194.9
2025-03-29,0.60686,0.62577,0.58374,0.59894,3875135.0
2025-03-30,0.59995,0.60762,0.57097,0.57723,2485013.0
2025-03-31,0.57645,0.61338,0.57293,0.59777,2399269.9
2025-04-01,0.59847,0.61761,0.5334,0.54061,4932823.7
2025-04-02,0.54127,0.58412,0.53283,0.56071,2935565.6
2025-04-03,0.56154,0.56494,0.51522,0.546,1418067.8
2025-04-04,0.54595,0.55197,0.5229,0.54336,647163.0
2025-04-05,0.54274,0.54295,0.45199,0.46689,2847630.1
2025-04-06,0.46746,0.49888,0.4193,0.4707,4214226.1
2025-04-07,0.4708,0.49026,0.4353,0.43842,2686863.6
2025-04-08,0.43896,0.49745,0.4168,0.48272,4942807.4
2025-04-09,0.48318,0.48476,0.44126,0.45069,3558922.5
2025-04-10,0.45059,0.57381,0.447,0.52673,13102966.2
2025-04-11,0.5274,0.61602,0.51859,0.6117,7637755.6
2025-04-12,0.61079,0.63588,0.52276,0.54033,7989453.1
