date,open,high,low,close,volume
2023-07-23,2.5691,2.5876,2.0005,2.1657,565923.1
2023-07-24,2.1575,2.4486,1.9003,2.26,848046.6
2023-07-25,2.2469,2.5593,2.1474,2.2503,612882.0
2023-07-26,2.2503,2.3138,2.0811,2.0964,676762.4
2023-07-27,2.0637,2.2324,2.0563,2.2197,630914.6
2023-07-28,2.2151,2.3774,2.1739,2.3459,572839.5
2023-07-29,2.3411,2.4768,2.2222,2.2896,665330.4
2023-07-30,2.2875,2.3712,2.2473,2.3164,578571.5
2023-07-31,2.3219,2.4458,2.2021,2.4263,487904.3
2023-08-01,2.4346,2.5236,2.3121,2.3599,548656.0
2023-08-02,2.3568,2.3719,2.2603,2.3239,515575.9
2023-08-03,2.3236,2.3392,2.1485,2.1727,303413.5
2023-08-04,2.1758,2.1823,2.098,2.1312,251126.6
2023-08-05,2.1302,2.1647,2.0137,2.0377,225586.9
2023-08-06,2.0418,2.1071,2.0186,2.0402,267223.7
2023-08-07,2.0412,2.0491,1.91,1.9396,319824.3
2023-08-08,1.9419,1.9626,1.808,1.8331,480813.1
2023-08-09,1.8333,1.8535,1.6716,1.6795,595536.0
2023-08-10,1.6795,1.7686,1.657,1.7433,687551.1
2023-08-11,1.7391,1.8175,1.7227,1.7558,468331.5
2023-08-12,1.7602,1.8385,1.7602,1.7679,432868.8
2023-08-13,1.7672,1.8151,1.7448,1.7668,284208.8
2023-08-14,1.7697,1.7918,1.5815,1.6197,428345.1
2023-08-15,1.619,1.6316,1.481,1.5225,917372.7
2023-08-16,1.5217,1.5426,1.1909,1.3675,943995.5
2023-08-17,1.364,1.5779,1.3226,1.5413,1120352.8
2023-08-18,1.5408,1.5408,1.4479,1.479,700761.6
2023-08-19,1.4783,1.5396,1.46,1.4676,596445.7
2023-08-20,1.4681,1.5275,1.4267,1.4748,499459.6
2023-08-21,1.4744,1.4971,1.3795,1.4316,405625.6
2023-08-22,1.4373,1.444,1.3364,1.4063,469548.3
2023-08-23,1.4101,1.4696,1.3738,1.3985,338277.1
2023-08-24,1.3993,1.3993,1.2453,1.2677,585028.9
2023-08-25,1.265,1.3235,1.2327,1.2927,316383.2
2023-08-26,1.2922,1.312,1.2683,1.3107,170368.4
2023-08-27,1.3117,1.3225,1.1998,1.2079,296033.2
2023-08-28,1.2063,1.3852,1.1157,1.2976,351573.5
2023-08-29,1.3043,1.3271,1.2031,1.2225,587141.7
2023-08-30,1.2223,1.2583,1.1283,1.1348,473043.8
2023-08-31,1.1389,1.1439,1.0962,1.1243,468776.6
2023-09-01,1.1234,1.2077,1.1049,1.1336,585160.3
2023-09-02,1.1341,1.151,1.101,1.1298,249431.1
2023-09-03,1.1244,1.1632,1.0348,1.0474,335842.6
2023-09-04,1.0408,1.0959,1.0192,1.0703,849785.2
2023-09-05,1.0711,1.3217,1.051,1.2837,897717.0
2023-09-06,1.2857,1.3804,1.1972,1.2282,1820847.9
2023-09-07,1.2283,1.2522,1.1114,1.1355,584321.4
2023-09-08,1.135,1.1795,1.1198,1.168,585068.5
2023-09-09,1.1664,1.1802,1.061,1.0915,554623.1
2023-09-10,1.0906,1.1065,0.99997,1.0089,1184905.4
2023-09-11,1.0093,1.058,0.97108,1.0093,907511.7
2023-09-12,1.0088,1.0387,0.97236,1.0135,924256.8
2023-09-13,1.0149,1.1163,0.99599,1.066,1251701.0
2023-09-14,1.0671,1.3722,1.0488,1.3259,2494606.9
2023-09-15,1.325,1.6876,1.3127,1.5045,2222980.2
2023-09-16,1.496,1.5037,1.2226,1.2613,1776558.0
2023-09-17,1.2612,1.4903,1.2338,1.3516,1395218.1
2023-09-18,1.3483,1.4235,1.3199,1.3747,342155.9
2023-09-19,1.3736,1.5733,1.3535,1.5581,547013.7
2023-09-20,1.5576,1.63,1.378,1.5128,1359497.1
2023-09-21,1.5139,1.6265,1.455,1.6018,469267.6
2023-09-22,1.6047,1.68,1.4907,1.5075,213394.5
2023-09-23,1.5033,1.6609,1.4942,1.6178,200839.2
2023-09-24,1.6234,1.7564,1.5705,1.7179,400993.8
2023-09-25,1.7187,1.8008,1.634,1.6906,410240.1
2023-09-26,1.6909,1.8307,1.6742,1.7979,323642.7
2023-09-27,1.795,1.8914,1.7756,1.7914,386665.6
2023-09-28,1.7901,1.8481,1.689,1.7283,343501.5
2023-09-29,1.7283,1.8106,1.6542,1.667,194546.8
2023-09-30,1.672,1.7971,1.6644,1.7753,217860.6
2023-10-01,1.7799,1.7973,1.6144,1.6387,276827.6
2023-10-02,1.6401,1.6735,1.5208,1.5299,219024.2
2023-10-03,1.5347,1.558,1.453,1.5412,311708.6
2023-10-04,1.5413,1.5851,1.4901,1.5062,270004.1
2023-10-05,1.5086,1.6846,1.5045,1.6514,494977.0
2023-10-06,1.6552,1.6778,1.5852,1.6,96078.2
2023-10-07,1.6032,1.6325,1.5666,1.5824,239840.1
2023-10-08,1.5829,1.6003,1.4963,1.5483,182874.3
2023-10-09,1.5496,1.567,1.5089,1.5484,90747.4
2023-10-10,1.5512,1.6481,1.5296,1.6306,231708.8
2023-10-11,1.6292,1.6362,1.4484,1.4615,179315.5
2023-10-12,1.4622,1.5048,1.4273,1.4847,242921.3
2023-10-13,1.4856,1.5165,1.4618,1.4955,162374.5
2023-10-14,1.4944,1.5448,1.4741,1.529,112803.1
2023-10-15,1.5278,1.6831,1.5089,1.6073,357058.2
2023-10-16,1.6099,1.668,1.5858,1.6242,590607.9
2023-10-17,1.6234,1.6401,1.4514,1.4537,316053.2
2023-10-18,1.4534,1.4926,1.4062,1.4508,336010.4
2023-10-19,1.4526,1.5689,1.4341,1.5165,195570.8
2023-10-20,1.5194,1.658,1.4983,1.6067,170613.9
2023-10-21,1.6082,1.7211,1.5697,1.6332,396633.6
2023-10-22,1.6319,1.6703,1.4851,1.6547,915650.9
2023-10-23,1.6523,1.8059,1.595,1.6776,1240569.2
2023-10-24,1.6785,1.8256,1.6572,1.8064,1362362.1
2023-10-25,1.8073,1.9284,1.6846,1.8564,1691912.0
2023-10-26,1.8493,1.9515,1.7528,1.8766,1246131.2
2023-10-27,1.8753,1.9548,1.8147,1.8379,790905.2
2023-10-28,1.8378,1.8695,1.7932,1.8,372604.1
2023-10-29,1.8028,1.9379,1.8028,1.8867,299045.8
2023-10-30,1.8876,2.0525,1.8695,2.0364,377830.8
2023-10-31,2.031,2.0447,1.8403,1.887,488014.8
2023-11-01,1.8915,1.9236,1.7055,1.7508,396337.8
2023-11-02,1.751,1.8705,1.7022,1.8552,211300.8
2023-11-03,1.8547,1.9015,1.843,1.8687,154823.8
2023-11-04,1.8684,1.8922,1.795,1.8224,337374.0
2023-11-05,1.8208,1.8695,1.7804,1.8229,870161.6
2023-11-06,1.8219,1.8551,1.7387,1.8437,507590.6
2023-11-07,1.8401,1.8599,1.7918,1.8336,286014.3
2023-11-08,1.8348,1.9137,1.6003,1.7606,729907.2
2023-11-09,1.7611,1.9979,1.6863,1.9647,384567.3
2023-11-10,1.9614,2.0894,1.9021,1.9421,367298.6
2023-11-11,1.9413,1.9846,1.8537,1.9514,384068.6
2023-11-12,1.9474,2.585,1.8833,2.3135,550510.3
2023-11-13,2.3061,2.3384,2.1172,2.3027,526845.4
2023-11-14,2.3177,2.4538,2.2814,2.3625,617413.8
2023-11-15,2.3612,2.5288,2.1498,2.1844,645182.7
2023-11-16,2.1824,2.2574,1.8687,1.9903,1364650.5
2023-11-17,1.9926,2.1188,1.8182,2.0603,963080.9
2023-11-18,2.0506,2.578,2.004,2.4167,1545295.9
2023-11-19,2.4174,2.7109,2.1715,2.1983,1159453.5
2023-11-20,2.2013,2.5,2.1824,2.2375,2001879.8
2023-11-21,2.2364,2.6,2.2351,2.5124,798850.5
2023-11-22,2.5111,2.5482,2.3174,2.3765,479096.4
2023-11-23,2.3765,2.5672,2.351,2.4755,512173.2
2023-11-24,2.4796,2.8758,2.4518,2.7344,808663.6
2023-11-25,2.7339,2.7596,2.5719,2.6639,664568.4
2023-11-26,2.6582,2.7781,2.4586,2.5087,545781.8
2023-11-27,2.5068,2.5753,2.401,2.5199,573509.6
2023-11-28,2.5205,2.6376,2.3243,2.342,380279.6
2023-11-29,2.3415,2.4512,2.3162,2.4369,514503.7
2023-11-30,2.4377,2.5228,2.3745,2.4041,250400.7
2023-12-01,2.3992,2.5991,2.3992,2.5576,304817.4
2023-12-02,2.5573,2.6109,2.4239,2.4676,503048.3
2023-12-03,2.4662,2.5785,2.355,2.4641,1039609.0
2023-12-04,2.4622,2.5385,2.3736,2.4515,700096.0
2023-12-05,2.4564,2.5463,2.4032,2.4315,912071.6
2023-12-06,2.4411,2.5219,2.3354,2.5026,1407567.8
2023-12-07,2.5053,2.5494,2.4322,2.4905,552326.0
2023-12-08,2.4902,2.59,2.4459,2.49,1018063.7
2023-12-09,2.4893,2.7574,2.4841,2.6942,884060.6
2023-12-10,2.6953,2.7032,2.3724,2.4505,2173502.0
2023-12-11,2.4475,2.4985,2.3565,2.4216,940768.9
2023-12-12,2.4205,2.6043,2.3107,2.5249,895119.2
2023-12-13,2.5237,2.6855,2.5039,2.6211,1037490.7
2023-12-14,2.6204,2.7256,2.4633,2.4653,1049794.2
2023-12-15,2.4669,4.55,2.4191,3.8245,4236061.3
2023-12-16,3.8167,4.7829,3.7242,4.21,5510992.0
2023-12-17,4.1976,4.336,3.6484,3.9549,5034333.1
2023-12-18,3.9477,4.3379,3.6911,3.7309,2862146.1
2023-12-19,3.7297,3.8157,3.4203,3.4966,2241195.0
2023-12-20,3.485,3.8689,3.4486,3.5345,1019781.6
2023-12-21,3.5326,3.7714,3.4703,3.6979,859329.9
