date,open,high,low,close,volume
2020-09-20,0.2466,0.2481,0.229,0.2308,0.0
2020-09-21,0.2309,0.2345,0.2291,0.2329,0.0
2020-09-22,0.2329,0.235,0.2201,0.2214,0.0
2020-09-23,0.2215,0.2338,0.2192,0.2326,0.0
2020-09-24,0.2326,0.2447,0.2294,0.2415,0.0
2020-09-25,0.2415,0.2457,0.2374,0.2414,0.0
2020-09-26,0.2414,0.2446,0.2373,0.2435,0.0
2020-09-27,0.2435,0.2486,0.2393,0.2412,0.0
2020-09-28,0.2412,0.2467,0.2384,0.2428,0.0
2020-09-29,0.2428,0.2429,0.2374,0.2416,0.0
2020-09-30,0.2417,0.2446,0.2336,0.2382,0.0
2020-10-01,0.2382,0.2394,0.2281,0.2338,0.0
2020-10-02,0.2338,0.2351,0.2324,0.2327,0.0
2020-10-03,0.2327,0.2503,0.2314,0.2481,0.0
2020-10-04,0.248,0.2545,0.2462,0.2503,0.0
2020-10-05,0.2503,0.2594,0.2399,0.2454,0.0
2020-10-06,0.2455,0.2514,0.2405,0.2486,0.0
2020-10-07,0.2486,0.253,0.242,0.2515,0.0
2020-10-08,0.2514,0.2568,0.2496,0.253,0.0
2020-10-09,0.253,0.2606,0.2525,0.2541,0.0
2020-10-10,0.2541,0.2587,0.2533,0.2554,0.0
2020-10-11,0.2555,0.2584,0.2487,0.2561,0.0
2020-10-12,0.2562,0.2604,0.2527,0.2567,0.0
2020-10-13,0.2567,0.2586,0.246,0.2492,0.0
2020-10-14,0.2492,0.2503,0.2429,0.246,0.0
2020-10-15,0.2459,0.248,0.2373,0.2403,0.0
2020-10-16,0.2402,0.2434,0.2386,0.2408,0.0
2020-10-17,0.2407,0.2437,0.2401,0.2422,0.0
2020-10-18,0.2422,0.2497,0.2401,0.2457,0.0
2020-10-19,0.2457,0.2507,0.2413,0.2434,0.0
2020-10-20,0.2434,0.2558,0.2427,0.2511,0.0
2020-10-21,0.2512,0.2641,0.2,0.2572,0.0
2020-10-22,0.2572,0.2596,0.2501,0.2552,0.0
2020-10-23,0.2552,0.2579,0.2527,0.2564,0.0
2020-10-24,0.2564,0.2573,0.2507,0.2534,0.0
2020-10-25,0.2534,0.2594,0.2433,0.2481,0.0
2020-10-26,0.2481,0.2543,0.2475,0.2526,0.0
2020-10-27,0.2526,0.2568,0.2443,0.2454,0.0
2020-10-28,0.2454,0.2471,0.239,0.2424,0.0
2020-10-29,0.2424,0.244,0.229,0.2388,0.0
2020-10-30,0.2388,0.2435,0.2373,0.2396,0.0
2020-10-31,0.2395,0.2415,0.2363,0.2398,0.0
2020-11-01,0.2398,0.2449,0.2324,0.2353,0.0
2020-11-02,0.2353,0.2442,0.2273,0.2394,0.0
2020-11-03,0.2394,0.2405,0.2318,0.2373,0.0
2020-11-04,0.2373,0.2474,0.2368,0.2456,0.0
2020-11-05,0.2457,0.2618,0.241,0.2588,0.0
2020-11-06,0.2588,0.2681,0.2439,0.249,0.0
2020-11-07,0.2489,0.2571,0.2471,0.2538,0.0
2020-11-08,0.2538,0.2562,0.2455,0.2507,0.0
2020-11-09,0.2508,0.265,0.248,0.2543,0.0
2020-11-10,0.2542,0.2602,0.2526,0.256,0.0
2020-11-11,0.256,0.2584,0.2523,0.2551,0.0
2020-11-12,0.2551,0.2662,0.2535,0.2662,0.0
2020-11-13,0.2662,0.2778,0.2614,0.2683,0.0
2020-11-14,0.2684,0.2771,0.2642,0.27,0.0
2020-11-15,0.2699,0.2907,0.2675,0.2885,0.0
2020-11-16,0.2885,0.3056,0.2875,0.303,0.0
2020-11-17,0.303,0.3094,0.2802,0.2934,0.0
2020-11-18,0.2934,0.3074,0.284,0.304,0.0
2020-11-19,0.304,0.3321,0.2967,0.3306,0.0
2020-11-20,0.3307,0.4719,0.3299,0.4639,0.0
2020-11-21,0.4638,0.498,0.4032,0.4465,0.0
2020-11-22,0.4465,0.6216,0.4322,0.6157,0.0
2020-11-23,0.6155,0.7839,0.5666,0.6951,0.0
2020-11-24,0.6954,0.7293,0.5816,0.6314,0.0
2020-11-25,0.6312,0.6532,0.4555,0.537,0.0
2020-11-26,0.537,0.5867,0.5033,0.5631,0.0
2020-11-27,0.5631,0.6492,0.538,0.6258,0.0
2020-11-28,0.6257,0.6384,0.5828,0.6059,0.0
2020-11-29,0.6059,0.6821,0.597,0.6648,0.0
2020-11-30,0.6648,0.6836,0.5721,0.6114,0.0
2020-12-01,0.6114,0.6375,0.5952,0.6303,0.0
2020-12-02,0.6303,0.6432,0.6154,0.6308,0.0
2020-12-03,0.6307,0.6354,0.542,0.5534,0.0
2020-12-04,0.5532,0.5964,0.5481,0.5853,0.0
2020-12-05,0.5854,0.629,0.5793,0.6216,0.0
2020-12-06,0.6216,0.6248,0.5905,0.6085,0.0
2020-12-07,0.6084,0.611,0.5492,0.5587,0.0
2020-12-08,0.5586,0.6053,0.5034,0.5826,0.0
2020-12-09,0.5824,0.5885,0.5512,0.5708,0.0
2020-12-10,0.5709,0.573,0.5074,0.5127,0.0
2020-12-11,0.5127,0.5478,0.4857,0.5065,0.0
2020-12-12,0.5065,0.5278,0.4856,0.5138,0.0
2020-12-13,0.5138,0.5193,0.4888,0.498,0.0
2020-12-14,0.498,0.5079,0.4642,0.4685,0.0
2020-12-15,0.4684,0.5749,0.437,0.5686,0.0
2020-12-16,0.5687,0.6584,0.5406,0.5777,0.0
2020-12-17,0.5776,0.6142,0.5513,0.5843,0.0
2020-12-18,0.5841,0.6054,0.5656,0.577,0.0
2020-12-19,0.5772,0.5875,0.5311,0.5559,0.0
2020-12-20,0.5558,0.5699,0.4985,0.5152,0.0
2020-12-21,0.5153,0.5227,0.4012,0.4452,0.0
2020-12-22,0.4451,0.4473,0.2111,0.2588,0.0
2020-12-23,0.2588,0.378,0.2371,0.3394,0.0
2020-12-24,0.3394,0.386,0.2759,0.3178,0.0
2020-12-25,0.3178,0.3289,0.2831,0.2952,0.0
2020-12-26,0.2952,0.3124,0.2656,0.2844,0.0
2020-12-27,0.2843,0.3113,0.2326,0.2473,0.0
2020-12-28,0.2475,0.2528,0.1707,0.2213,0.0
2020-12-29,0.2214,0.2368,0.191,0.2113,0.0
2020-12-30,0.2112,0.2295,0.2046,0.2196,0.0
2020-12-31,0.2195,0.2516,0.2159,0.2377,0.0
2021-01-01,0.2377,0.2385,0.21,0.221,0.0
2021-01-02,0.2211,0.2402,0.2153,0.2265,0.0
2021-01-03,0.2263,0.263,0.2152,0.2361,0.0
2021-01-04,0.2361,0.2433,0.2155,0.2258,0.0
2021-01-05,0.2259,0.2744,0.2215,0.2489,0.0
2021-01-06,0.2491,0.3722,0.2456,0.3243,0.0
2021-01-07,0.3244,0.3499,0.2842,0.3206,0.0
