date,open,high,low,close,volume
2023-11-18,0.004331,0.004525,0.004331,0.004433,1987404.0
2023-11-19,0.004435,0.005618,0.003639,0.003925,389561952.0
2023-11-20,0.003891,0.004363,0.003253,0.003575,903205186.0
2023-11-21,0.003536,0.005206,0.003501,0.004529,312756281.0
2023-11-22,0.004525,0.004823,0.003926,0.004247,224641091.0
2023-11-23,0.004272,0.004304,0.003831,0.004129,294429299.0
2023-11-24,0.004136,0.004562,0.004081,0.004349,498781396.0
2023-11-25,0.004351,0.004467,0.003925,0.004048,373137001.0
2023-11-26,0.004044,0.004112,0.003506,0.003792,334451954.0
2023-11-27,0.003795,0.004288,0.003655,0.004157,383599703.0
2023-11-28,0.004145,0.004592,0.004024,0.004085,277292018.0
2023-11-29,0.004077,0.004152,0.003859,0.00388,107619823.0
2023-11-30,0.00388,0.004117,0.003805,0.004038,143670131.0
2023-12-01,0.004034,0.004868,0.004004,0.004861,283861795.0
2023-12-02,0.004847,0.0055,0.004623,0.005339,446558049.0
2023-12-03,0.005347,0.007014,0.005,0.006287,705280869.0
2023-12-04,0.006276,0.007707,0.005856,0.007557,553892318.0
2023-12-05,0.007542,0.008577,0.007328,0.007546,524015461.0
2023-12-06,0.007572,0.011447,0.007455,0.010044,709224025.0
2023-12-07,0.010058,0.013561,0.009209,0.013007,748942745.0
2023-12-08,0.013014,0.01484,0.010752,0.011048,562185544.0
2023-12-09,0.011016,0.01275,0.009933,0.012537,454662796.0
2023-12-10,0.012545,0.013437,0.011122,0.011934,987351725.0
2023-12-11,0.011886,0.013645,0.011304,0.011479,440739285.0
2023-12-12,0.011512,0.015075,0.007658,0.012956,954929804.0
2023-12-13,0.01295,0.029807,0.012245,0.024556,1042601762.0
2023-12-14,0.024517,0.035,0.021598,0.023766,777209827.0
2023-12-15,0.023781,0.026766,0.02036,0.021834,400460890.0
2023-12-16,0.021817,0.024966,0.019545,0.022782,406351409.0
2023-12-17,0.022851,0.02344,0.018351,0.020908,388327219.0
2023-12-18,0.020896,0.02308,0.01865,0.01899,224684139.0
2023-12-19,0.018986,0.021665,0.017574,0.018959,415001414.0
2023-12-20,0.018943,0.021724,0.018344,0.020784,419479151.0
2023-12-21,0.020766,0.022917,0.0185,0.01937,341439940.0
2023-12-22,0.01938,0.020146,0.017811,0.019978,126712373.0
2023-12-23,0.019973,0.020068,0.017848,0.018154,207089375.0
2023-12-24,0.018195,0.019339,0.017565,0.018697,103173149.0
2023-12-25,0.018702,0.019046,0.014768,0.01621,196276732.0
2023-12-26,0.016206,0.01625,0.014212,0.014568,365944865.0
2023-12-27,0.014525,0.015678,0.012419,0.014951,292429580.0
2023-12-28,0.01491,0.016878,0.014,0.014963,463650747.0
2023-12-29,0.01494,0.0151,0.013813,0.014056,200812920.0
2023-12-30,0.014062,0.014519,0.013014,0.013364,165606606.0
2023-12-31,0.013363,0.015036,0.012822,0.015018,195270984.0
2024-01-01,0.015024,0.015417,0.013417,0.013485,344551219.0
2024-01-02,0.013512,0.013828,0.008889,0.011626,564528898.0
2024-01-03,0.011637,0.01259,0.011254,0.011929,201323964.0
2024-01-04,0.011952,0.012044,0.010524,0.011172,203452324.0
2024-01-05,0.011157,0.011661,0.010094,0.010733,147619455.0
2024-01-06,0.010735,0.011498,0.010109,0.010298,120012694.0
2024-01-07,0.010268,0.013054,0.009364,0.012138,350945142.0
2024-01-08,0.012152,0.014342,0.011537,0.014248,543229821.0
2024-01-09,0.014208,0.018079,0.012859,0.01618,695370132.0
2024-01-10,0.016226,0.0175,0.014649,0.016153,427187351.0
2024-01-11,0.016197,0.016348,0.013053,0.013772,427329254.0
2024-01-12,0.013844,0.015608,0.013067,0.015304,245609213.0
2024-01-13,0.015257,0.015738,0.014174,0.014222,318576198.0
2024-01-14,0.014232,0.014516,0.013526,0.013627,163120652.0
2024-01-15,0.01364,0.014466,0.013457,0.014077,133759713.0
2024-01-16,0.014072,0.0145,0.01317,0.013435,111248031.0
2024-01-17,0.013435,0.013487,0.011818,0.012045,187004516.0
2024-01-18,0.012059,0.012252,0.010895,0.011946,165200373.0
2024-01-19,0.011945,0.012037,0.011226,0.011693,64613171.0
2024-01-20,0.011676,0.01211,0.011352,0.011391,84711810.0
2024-01-21,0.011388,0.011473,0.010325,0.010451,176246036.0
2024-01-22,0.010414,0.010946,0.009756,0.01082,251096659.0
2024-01-23,0.01081,0.011325,0.010426,0.011071,217319910.0
2024-01-24,0.011076,0.011687,0.01035,0.011288,146286147.0
2024-01-25,0.011303,0.012489,0.011019,0.011849,189696820.0
2024-01-26,0.011847,0.012043,0.011296,0.011644,53743091.0
2024-01-27,0.011647,0.012682,0.011423,0.011577,135087790.0
2024-01-28,0.011542,0.01211,0.0114,0.012027,203935431.0
2024-01-29,0.012002,0.012258,0.011201,0.011251,119251973.0
2024-01-30,0.011247,0.011334,0.010512,0.010649,279580243.0
2024-01-31,0.010645,0.010825,0.010214,0.010742,132603209.0
2024-02-01,0.010745,0.010859,0.010372,0.010534,169702804.0
2024-02-02,0.010542,0.010632,0.01031,0.010347,60550154.0
2024-02-03,0.010341,0.010409,0.010013,0.010072,66645203.0
2024-02-04,0.010071,0.010616,0.009586,0.010163,193857378.0
2024-02-05,0.010166,0.010194,0.009849,0.009932,120473313.0
2024-02-06,0.009936,0.011171,0.009806,0.010451,175331931.0
2024-02-07,0.010459,0.010649,0.010297,0.010365,122302594.0
2024-02-08,0.010365,0.012793,0.010287,0.012148,767671890.0
2024-02-09,0.01215,0.013834,0.012139,0.013311,566397187.0
2024-02-10,0.01331,0.014565,0.0105,0.012351,553051564.0
2024-02-11,0.012339,0.013875,0.011769,0.013206,439384427.0
2024-02-12,0.013201,0.013544,0.011638,0.012541,431470831.0
2024-02-13,0.012541,0.014498,0.012316,0.01436,452216533.0
2024-02-14,0.014359,0.014691,0.0136,0.013909,698766893.0
2024-02-15,0.013909,0.015036,0.012841,0.013316,1107566081.0
2024-02-16,0.013315,0.013429,0.012421,0.012871,178957535.0
2024-02-17,0.01289,0.01335,0.012683,0.013067,367433562.0
2024-02-18,0.013069,0.01339,0.012815,0.013015,205640487.0
2024-02-19,0.013018,0.013122,0.011842,0.012391,346545648.0
2024-02-20,0.012355,0.012375,0.011144,0.011767,181870295.0
2024-02-21,0.011767,0.012189,0.011191,0.011661,94922232.0
2024-02-22,0.011648,0.011929,0.011144,0.011311,190930253.0
2024-02-23,0.011343,0.01184,0.011055,0.011711,85851410.0
2024-02-24,0.011715,0.012124,0.011428,0.011966,98169441.0
2024-02-25,0.011941,0.013882,0.011613,0.013494,368761031.0
2024-02-26,0.013469,0.016114,0.013245,0.01489,868098523.0
2024-02-27,0.014897,0.019225,0.006622,0.019225,2031233631.0
2024-02-28,0.019243,0.025782,0.018543,0.022115,1177567035.0
2024-02-29,0.022124,0.026243,0.020755,0.024904,1200535628.0
2024-03-01,0.024925,0.029363,0.022924,0.024498,688647968.0
2024-03-02,0.024513,0.027643,0.01961,0.027313,888105444.0
2024-03-03,0.027306,0.04938,0.024692,0.037779,2198624162.0
2024-03-04,0.037734,0.042651,0.022524,0.030541,1523690105.0
2024-03-05,0.030507,0.037,0.028298,0.030006,545914006.0
2024-03-06,0.030063,0.030846,0.026598,0.027074,434488836.0
2024-03-07,0.027085,0.035037,0.02705,0.031812,491922987.0
2024-03-08,0.03191,0.034484,0.030261,0.03399,242992072.0
2024-03-09,0.033982,0.033989,0.029559,0.031062,232571778.0
2024-03-10,0.031038,0.032693,0.028242,0.031072,314659035.0
2024-03-11,0.031119,0.032053,0.026649,0.028899,415269143.0
2024-03-12,0.028893,0.033041,0.02837,0.031997,310921174.0
2024-03-13,0.031984,0.036853,0.030567,0.034159,663159557.0
2024-03-14,0.034151,0.036706,0.028,0.029517,591251681.0
2024-03-15,0.029628,0.030516,0.024225,0.025138,403400158.0
2024-03-16,0.025132,0.028675,0.023805,0.028165,278738428.0
2024-03-17,0.028122,0.028122,0.022992,0.023595,351338633.0
2024-03-18,0.023576,0.024048,0.019541,0.021601,619866126.0
2024-03-19,0.021551,0.025217,0.020472,0.024497,413734697.0
2024-03-20,0.024507,0.024612,0.022203,0.022851,252328024.0
2024-03-21,0.022845,0.024386,0.021079,0.021739,197757727.0
2024-03-22,0.021741,0.023321,0.021464,0.022057,112389110.0
2024-03-23,0.022044,0.024323,0.021848,0.024124,141170505.0
2024-03-24,0.024151,0.026223,0.023112,0.025304,204463718.0
2024-03-25,0.025365,0.027807,0.02516,0.026934,253449327.0
2024-03-26,0.026915,0.027408,0.024875,0.025848,141767276.0
2024-03-27,0.025878,0.029445,0.025386,0.028416,187645946.0
2024-03-28,0.028417,0.029251,0.026135,0.026341,183416888.0
2024-03-29,0.026335,0.029337,0.026142,0.027091,175286913.0
2024-03-30,0.027082,0.028385,0.026944,0.028152,105227556.0
2024-03-31,0.02808,0.02808,0.024853,0.025814,106141903.0
2024-04-01,0.025776,0.025776,0.022353,0.022656,160450089.0
2024-04-02,0.022675,0.02362,0.021659,0.02235,87969864.0
2024-04-03,0.022347,0.024407,0.021906,0.023173,86864369.0
2024-04-04,0.023148,0.023148,0.021239,0.021785,67010281.0
2024-04-05,0.021789,0.023008,0.021628,0.022738,64330585.0
2024-04-06,0.022743,0.024149,0.02263,0.023498,74587709.0
2024-04-07,0.023501,0.024861,0.022883,0.024463,194615437.0
2024-04-08,0.024461,0.02475,0.022062,0.022232,94842474.0
2024-04-09,0.022226,0.022899,0.02054,0.022695,108375559.0
2024-04-10,0.022691,0.022691,0.0214,0.021666,70374581.0
2024-04-11,0.021614,0.022092,0.014172,0.017349,291450077.0
2024-04-12,0.017322,0.017617,0.012126,0.015357,359083122.0
2024-04-13,0.015346,0.016608,0.014579,0.016243,119672576.0
2024-04-14,0.016205,0.017031,0.014146,0.014648,66815852.0
2024-04-15,0.014602,0.014853,0.013731,0.014669,131049820.0
2024-04-16,0.014668,0.015045,0.013627,0.013938,185851726.0
2024-04-17,0.01393,0.014894,0.01357,0.01471,157308133.0
2024-04-18,0.014704,0.01524,0.013226,0.01479,132867901.0
2024-04-19,0.014782,0.019829,0.01448,0.019529,231194705.0
2024-04-20,0.019519,0.022141,0.018643,0.020848,384753043.0
2024-04-21,0.020841,0.021603,0.019275,0.020267,300756050.0
2024-04-22,0.020234,0.024967,0.019877,0.024746,356402932.0
2024-04-23,0.02479,0.028505,0.023866,0.024496,739982399.0
2024-04-24,0.024497,0.029819,0.022665,0.02688,690684735.0
2024-04-25,0.026858,0.027835,0.02486,0.025502,564597063.0
2024-04-26,0.025506,0.026841,0.023378,0.024538,381759294.0
2024-04-27,0.024548,0.02762,0.024548,0.025115,231731454.0
2024-04-28,0.025141,0.025821,0.023852,0.025456,290313443.0
2024-04-29,0.025464,0.025967,0.021472,0.022691,356048850.0
2024-04-30,0.022658,0.024428,0.020622,0.022962,678689678.0
2024-05-01,0.022947,0.026264,0.021513,0.025315,406154631.0
2024-05-02,0.025314,0.027897,0.024851,0.027198,289518804.0
2024-05-03,0.027193,0.029324,0.027161,0.027535,186437319.0
2024-05-04,0.027553,0.027879,0.026187,0.026355,290747043.0
2024-05-05,0.026364,0.027947,0.024643,0.024912,511197799.0
2024-05-06,0.024919,0.025554,0.023723,0.023769,117300254.0
2024-05-07,0.023793,0.024601,0.022797,0.02342,151784720.0
2024-05-08,0.02337,0.025144,0.022848,0.024539,163624141.0
2024-05-09,0.024545,0.025412,0.022541,0.022884,137701503.0
2024-05-10,0.022893,0.023701,0.022649,0.022912,21563579.0
2024-05-11,0.022909,0.023367,0.022577,0.022767,12816371.0
2024-05-12,0.022764,0.025423,0.021443,0.02335,272313722.0
2024-05-13,0.023332,0.024782,0.022564,0.022917,216478401.0
2024-05-14,0.02294,0.025231,0.022939,0.024913,209024168.0
2024-05-15,0.024899,0.0265,0.023522,0.023884,469771575.0
2024-05-16,0.023893,0.025235,0.02353,0.024412,108321883.0
2024-05-17,0.02441,0.027029,0.023633,0.02631,281445482.0
2024-05-18,0.026312,0.028328,0.025013,0.025169,433153659.0
2024-05-19,0.025157,0.031258,0.024411,0.030576,551780899.0
2024-05-20,0.0306,0.03453,0.030135,0.032927,940142321.0
2024-05-21,0.033013,0.03502,0.031003,0.032394,525795373.0
2024-05-22,0.03245,0.037558,0.030727,0.035333,1000279311.0
2024-05-23,0.035282,0.035856,0.032093,0.033145,344365699.0
2024-05-24,0.033149,0.037258,0.033135,0.035003,317336001.0
2024-05-25,0.035004,0.036156,0.033765,0.033913,206258310.0
2024-05-26,0.03392,0.039549,0.033885,0.039216,419727133.0
2024-05-27,0.039167,0.044548,0.037219,0.041197,508435396.0
2024-05-28,0.041291,0.044014,0.036105,0.036314,419505528.0
2024-05-29,0.036335,0.037617,0.032342,0.033808,460293649.0
2024-05-30,0.03382,0.036526,0.033046,0.034435,339328560.0
2024-05-31,0.034435,0.035367,0.033115,0.033115,118250513.0
2024-06-01,0.033138,0.033667,0.030746,0.031722,179558838.0
2024-06-02,0.031659,0.035215,0.030941,0.032018,423098018.0
2024-06-03,0.03197,0.033798,0.031553,0.033175,229254772.0
2024-06-04,0.033175,0.03588,0.0329,0.033966,414030961.0
2024-06-05,0.033964,0.034108,0.031759,0.031789,233957840.0
2024-06-06,0.031803,0.032339,0.024531,0.028782,482577497.0
2024-06-07,0.028801,0.029858,0.027034,0.027396,280545787.0
2024-06-08,0.02738,0.029131,0.027213,0.028603,110236866.0
2024-06-09,0.028581,0.028787,0.026774,0.027061,166671061.0
2024-06-10,0.02703,0.028326,0.025501,0.027122,398585660.0
2024-06-11,0.027103,0.030768,0.025774,0.028947,393783818.0
2024-06-12,0.028846,0.028846,0.0251,0.025608,349787262.0
2024-06-13,0.025704,0.026389,0.022858,0.024218,313284393.0
2024-06-14,0.024207,0.02548,0.024009,0.024428,98718484.0
2024-06-15,0.024443,0.02564,0.023948,0.025259,185471571.0
2024-06-16,0.025256,0.025641,0.021802,0.022953,486791736.0
2024-06-17,0.022947,0.023048,0.019712,0.021089,448726422.0
2024-06-18,0.021085,0.022639,0.020625,0.02107,314222851.0
2024-06-19,0.021012,0.022743,0.02083,0.021135,207888782.0
2024-06-20,0.021127,0.02139,0.019696,0.020375,207594649.0
2024-06-21,0.020359,0.021269,0.019941,0.020643,98167949.0
2024-06-22,0.020592,0.021444,0.019808,0.019942,152349602.0
2024-06-23,0.019935,0.02193,0.018077,0.021766,247651068.0
2024-06-24,0.021725,0.023853,0.021662,0.02324,214461332.0
2024-06-25,0.023218,0.024022,0.021877,0.0219,249849088.0
2024-06-26,0.021879,0.025153,0.021491,0.024687,255611091.0
2024-06-27,0.024653,0.02489,0.022193,0.022591,233036098.0
2024-06-28,0.022583,0.023189,0.021942,0.022332,105109636.0
2024-06-29,0.022282,0.02313,0.021537,0.022628,79339997.0
2024-06-30,0.022631,0.026116,0.022484,0.025585,205655086.0
2024-07-01,0.025602,0.027216,0.02489,0.025436,239018438.0
2024-07-02,0.025441,0.025695,0.021693,0.022465,543217519.0
2024-07-03,0.022441,0.02284,0.020562,0.020654,379250847.0
2024-07-04,0.020643,0.02299,0.018084,0.021797,468881502.0
2024-07-05,0.021831,0.023851,0.021305,0.023164,106990068.0
2024-07-06,0.023175,0.023189,0.020909,0.021078,143021069.0
2024-07-07,0.021084,0.025297,0.019913,0.023965,560236175.0
2024-07-08,0.023943,0.026875,0.02378,0.025889,474630812.0
2024-07-09,0.02589,0.026899,0.025344,0.026451,279073806.0
2024-07-10,0.026474,0.027701,0.02333,0.023479,341974598.0
